,Unnamed: 0,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,"Top diplomats of S. Korea, US reassure peaceful resolution of N. Korean nuke issue","The top diplomats of South Korea and the United States held a telephone conversation Friday to mark the end of the year and committed continued close cooperation in 2018 for a peaceful and diplomatic resolution of North Korea's nuclear issue, the foreign ministry said.In the 20-minute conversation, Foreign Minister Kang Kyung-wha and Secretary of State Rex Tillerson reaffirmed that their countries' collaboration and ...","The top diplomats of South Korea and the United States held a telephone conversation Friday to mark the end of the year and committed continued close cooperation in 2018 for a peaceful and diplomatic resolution of North Korea's nuclear issue, the foreign ministry said.In the 20-minute conversation, Foreign Minister Kang Kyung-wha and Secretary of State Rex Tillerson reaffirmed that their countries' collaboration and alliance grows stronger than ever as they strive to deal with North Korea's nuclear and missile programs, according to the Ministry of Foreign Affairs. Tillerson stressed the importance of the trilateral cooperation involving Japan in resolving the North Korean nuclear issue, possibly a reference to the icy Seoul-Tokyo relationship following the Moon Jae-in government's recent conclusion that their 2015 agreement on Japan's wartime atrocity on Koreans was flawed. Foreign Minister Kang Kyung-wha Kang shared Tillerson's understanding and stressed that South Korea-Japan cooperation in security and economy will be pursued in a stable manner despite their feuds over history, the ministry said. Kang also confirmed her participation in a foreign ministers' meeting in Vancouver on Jan. 16, which the US will co-host, in order to reaffirm solidarity against North Korea's nuclear and missile programs. The meeting will bring together top diplomats of the countries that sent their troops to fight for the South in the 1950-53 Korean War.","held telephone conversation friday ,top diplomats of korea ,minute conversation foreign minister ,resolution of korean nuke ,conversation friday to mark","['South Korea', 'the United States', ""North Korea 's"", 'Kang Kyung - wha', 'State', 'Rex Tillerson']",26,"[ 1.          1.          1.         ... -0.41123223  0.58896345
  0.33886129]",Yonhap,North Korea,12,2017,"solidarity against north korea nuclear ,20 minute conversation foreign minister ,top diplomats of south korea ,resolving the north korean nuclear ,reaffirm solidarity against north korea","['South Korea', 'the United States', ""North Korea 's"", 'Kang Kyung - wha', 'State', 'Rex Tillerson', ""North Korea 's"", 'the Ministry of Foreign Affairs', 'Tillerson', 'Japan', 'north korean', 'Seoul', 'Japan', 'Koreans', 'Kang Kyung - wha', 'Kang', 'Tillerson', 'South Korea', 'Japan', 'Kang', 'Vancouver', 'US', ""North Korea 's""]",3,"[ 1.          1.          1.         ... -0.41123223  0.58896345
  0.33886129]"
1,1,NK leader's public activity falls some 30% this year,"North Korean leader Kim Jong-un reduced public appearances by about 30 percent this year with his inspections focused on military affairs, an analysis of news reports showed Friday.Kim conducted 94 inspections between Jan. 1 and Dec. 28, compared with last year's 133, according to Yonhap News Agency's analysis of North Korea's state media reports. It marked the fewest public appearances since he took office in late 2...","North Korean leader Kim Jong-un reduced public appearances by about 30 percent this year with his inspections focused on military affairs, an analysis of news reports showed Friday.Kim conducted 94 inspections between Jan. 1 and Dec. 28, compared with last year's 133, according to Yonhap News Agency's analysis of North Korea's state media reports. It marked the fewest public appearances since he took office in late 2011.""Some analysis showed that this indicates that the regime has been stably controlled and  has strengthened internal solidarity, reducing the need for public activity,"" Lee Eugene, vice spokesperson at Seoul's unification ministry, told a briefing. Military-related tours accounted for 44 percent, the largest portion, while inspections related to the economy came in at some 27 percent, it showed.North Korea focused on nuclear weapons and missile programs this year. It conducted its sixth and most powerful nuclear test in September and launched intercontinental ballistic missiles  three times, most recently in late November.In July and August, Kim engaged in no economy-related public events, as the North apparently focused on missile testing.This year, Kim concentrated on advancing nuclear and missile programs, one pillar of his signature policy of developing nukes in tandem with the economy, commonly known as the ""byongjin"" policy.Jo Yong-won, a vice director of the ruling party's central committee, accompanied Kim the most this year as 34 cases were recorded in North Korea's media reports.Top military official Hwang Pyong-so used to rank first as an entourage member until October, but his name could not be found in the North's media since then as he was punished after the party's probe into a key military organ.Lee said that she has no information to confirm a foreign report that Hwang may have been executed.","news reports showed friday ,fewest public appearances since ,activity falls some 30 ,kim conducted 94 inspections ,year north korean leader","['north korean', 'Kim Jong - un', 'Kim', ""Yonhap News Agency 's"", ""North Korea 's""]",26,"[ 0.          0.          1.         ... -0.71340281  0.86530972
 -0.00153052]",Yonhap,North Korea,12,2017,"friday kim conducted 94 inspections ,news reports showed friday kim ,of news reports showed friday ,kim jong un reduced public ,took office in late 2011","['north korean', 'Kim Jong - un', 'Kim', ""Yonhap News Agency 's"", ""North Korea 's"", 'Lee Eugene', 'Seoul', 'North Korea', 'Kim', 'Kim', 'Jo Yong - won', 'Kim', ""North Korea 's"", 'Hwang Pyong - so', 'Lee']",14,"[ 0.          0.          1.         ... -0.71340281  0.86530972
 -0.00153052]"
2,2,"US, Russian foreign ministers agree on diplomatic solution to NK issue","WASHINGTON -- The top diplomats of the United States and Russia have agreed to work together to peacefully resolve the issue of North Korea's nuclear and ballistic missile programs, the State Department said Wednesday.US Secretary of State Rex Tillerson and Russian Foreign Minister Sergey Lavrov reached the agreement during a phone call Tuesday, according to the department's spokeswoman, Heather Nauert.""The two discu...","WASHINGTON -- The top diplomats of the United States and Russia have agreed to work together to peacefully resolve the issue of North Korea's nuclear and ballistic missile programs, the State Department said Wednesday.US Secretary of State Rex Tillerson and Russian Foreign Minister Sergey Lavrov reached the agreement during a phone call Tuesday, according to the department's spokeswoman, Heather Nauert.""The two discussed concerns related to the DPRK's destabilizing nuclear program and emphasized that neither the United States nor Russia accepts the DPRK as a nuclear power,"" she said in a readout, using the acronym for North Korea's official name, the Democratic People's Republic of Korea.North Korea this year conducted its sixth and most powerful nuclear test and a series of ballistic missile launches, including the Nov. 29 test of a new intercontinental ballistic missile capable of reaching anywhere in the US. This TASS file photo shows U.S. Secretary of State Rex Tillerson  and Russian Foreign Minister Sergey Lavrov. Washington has pushed a ""maximum pressure"" campaign of economic sanctions and diplomatic isolation to force Pyongyang to denuclearize. But concerns also persist of a possible US military strike on the North.Tillerson and Lavrov ""agreed that they will continue to work toward a diplomatic solution to achieve a denuclearized Korean peninsula,"" Nauert said.According to a Russian foreign ministry statement quoted by AFP, Lavrov told Tillerson that it is ""necessary to move from the language of sanctions to the negotiating process as soon as possible.""The statement Tuesday also said Lavrov ""highlighted that it is unacceptable to exacerbate tensions around the Korean peninsula with Washington's aggressive rhetoric toward Pyongyang and increasing military preparations in the region.""","russian foreign ministers agree ,said wednesday us secretary ,ministers agree on diplomatic ,during phone call tuesday ,wednesday us secretary","['WASHINGTON', 'the United States', 'Russia', ""North Korea 's"", 'the State Department', 'US', 'State', 'Rex Tillerson', 'russian', 'Sergey Lavrov', 'Heather Nauert']",26,"[ 0.          1.          1.         ... -0.56472725  0.4585537
  0.42299613]",Yonhap,North Korea,12,2017,"department said wednesday us secretary ,agreement during phone call tuesday ,the dprk destabilizing nuclear program ,wednesday us secretary of state ,statement tuesday also said lavrov","['WASHINGTON', 'the United States', 'Russia', ""North Korea 's"", 'the State Department', 'US', 'State', 'Rex Tillerson', 'russian', 'Sergey Lavrov', 'Heather Nauert', 'DPRK', 'the United States', 'Russia', 'dprk', ""North Korea 's"", ""the Democratic People 's Republic of Korea"", 'North Korea', 'US', 'TASS', 'U.S.', 'State', 'Rex Tillerson', 'russian', 'Sergey Lavrov', 'Washington', 'Pyongyang', 'US', 'Tillerson', 'Lavrov', 'korean', 'Nauert', 'russian', 'AFP', 'Lavrov', 'Tillerson', 'Lavrov', 'korean', 'Washington', 'Pyongyang']",11,"[ 0.          1.          1.         ... -0.56472725  0.4585537
  0.42299613]"
3,3,"Opposition leader says NK ICBMs designed for invasion, not regime protection","The leader of the main opposition Liberty Korea Party claimed Wednesday that North Korea's development of intercontinental ballistic missiles is intended to keep US forces at bay and invade South Korea for unification on its own terms.Hong Joon-pyo made the remarks during a lecture for university students, renewing calls for the liberal Moon Jae-in government to craft a clear road map for resolving the escalating nuc...","The leader of the main opposition Liberty Korea Party claimed Wednesday that North Korea's development of intercontinental ballistic missiles is intended to keep US forces at bay and invade South Korea for unification on its own terms.Hong Joon-pyo made the remarks during a lecture for university students, renewing calls for the liberal Moon Jae-in government to craft a clear road map for resolving the escalating nuclear standoff with the regime led by the ""unpredictable"" leader Kim Jong-un."" are designed to block the US' participation in a war when the North makes an attempt at unification by force,"" Hong said at the Busan City Hall in the southern port city, 450 kilometers south of Seoul.""It is not for preserving its regime but for an invasion into the South,"" the hawkish conservative politician added.Following the North's tests on ICBMs in July and November, a flurry of speculation over its intentions have emerged. Some have argued Pyongyang seeks to possess nuclear-tipped long-range missiles for its regime survival, while others have said it wants to bolster its bargaining power in future negotiations with Washington or Seoul. Hong Joon-pyo, the leader of the main opposition Liberty Korea Party, speaks during a lecture for university students at Busan City Hall in the southern port city, 450 kilometers south of Seoul, on Dec. 27, 2017. Concerns have also risen that the completion of the North's ICBM program could undercut the South Korea-US alliance, as it could put American cities at risk and thus weaken the credibility of Washington's security commitment to Seoul.During the lecture, Hong also pointed to the Donald Trump administration's ""America First"" mantra, raising doubts over whether Washington can quickly come to the defense of Seoul if it is in a security crisis.""The US is a country that puts the foremost priority on its national interests. The issue of South Korea comes next ,"" he said.Hong, in addition, said that the period between late autumn and early spring is when the likelihood of war rises, as he pressed the government to devise a stronger security policy against an increasingly provocative Pyongyang.""By March next year, the situation is the most dangerous. After March when trees start to grow thick, it would be difficult to find targeting points ,"" Hong said. ""The president should come out and talk about a road map of how his government would eliminate the North's nukes and protect the lives and properties of the 50 million population, but he still does not give his answer.""","icbms designed for invasion ,lecture for university students ,korea party claimed wednesday ,south korea for unification ,leader says nk icbms","['Liberty Korea Party', ""North Korea 's"", 'US', 'South Korea', 'Moon Jae -']",26,"[ 1.          0.          1.         ... -0.19078937  0.43476582
  0.23487882]",Yonhap,North Korea,12,2017,"invade south korea for unification ,korea party speaks during lecture ,resolving the escalating nuclear standoff ,to seoul during the lecture ,claimed wednesday that north korea","['Liberty Korea Party', ""North Korea 's"", 'US', 'South Korea', 'Moon Jae -', 'Kim Jong - un', 'US', 'Hong', 'Seoul', 'Pyongyang', 'Washington', 'Seoul', 'Hong', 'Liberty Korea Party', 'Busan City Hall', 'Seoul', 'South Korea', 'US', 'american', 'Washington', 'Seoul', 'Hong', 'Donald Trump', 'Washington', 'Seoul', 'US', 'South Korea', 'Pyongyang', 'Hong']",7,"[ 1.          0.          1.         ... -0.19078937  0.43476582
  0.23487882]"
4,4,Army blames faulty parts operation for K9 explosion,"South Korea's Army said Tuesday a mechanical flaw triggered the explosion of a K-9 Thunder self-propelled howitzer in August that left three soldiers dead and four others wounded.The howitzer blew up abruptly while in use at a shooting range in Cheorwon, Gangwon Province. The Army has since suspended the operation of K9s for training purposes, although it remains operational for combat ones.The detonator ignited by i...","South Korea's Army said Tuesday a mechanical flaw triggered the explosion of a K-9 Thunder self-propelled howitzer in August that left three soldiers dead and four others wounded.The howitzer blew up abruptly while in use at a shooting range in Cheorwon, Gangwon Province. The Army has since suspended the operation of K9s for training purposes, although it remains operational for combat ones.The detonator ignited by itself and some components functioned abnormally, the Army said after a joint investigation joined by 113 government, military officials and civilian experts. This photo taken on Aug. 18, 2016, shows a K-9 self-propelled howitzers during an exercise in an army unit near the Demiliterized Zone. The announcement indicated no human error or mistake at the time of the accident. In a press release, however, it did not directly mention the responsibility of the manufacturer of the artillery system, Hanwha Land Systems, an affiliate of Hanwha Techwin.The Army plans to resume the use of K9s at training sites ""in stages"" and take additional safety measures for troops operating K9s, plus a better maintenance system.","others wounded the howitzer ,tuesday mechanical flaw triggered ,explosion south korea army ,left three soldiers dead ,korea army said tuesday","[""South Korea 's"", 'Army', 'Cheorwon', 'Gangwon Province', 'Army', 'k9s']",26,"[ 1.          0.          0.         ... -0.47460335  0.6448971
  0.3909483 ]",Yonhap,Defense,12,2017,"four others wounded the howitzer ,tuesday mechanical flaw triggered the ,three soldiers dead and four ,others wounded the howitzer blew ,south korea army said tuesday","[""South Korea 's"", 'Army', 'Cheorwon', 'Gangwon Province', 'Army', 'k9s', 'Army', 'k-9', 'Hanwha Land Systems', 'Hanwha Techwin', 'Army', 'k9s', 'k9s']",17,"[ 1.          0.          0.         ... -0.47460335  0.6448971
  0.3909483 ]"
5,5,Resolution 2397 may cut NK's annual exports by $250 mln: Seoul official,"The latest United Nations sanctions are expected to cut North Korea's foreign currency revenue from exports by approximately US$250 million a year, the foreign ministry here forecast Saturday. North Korean leader Kim Jong-un. Yonhap""North Korea is projected to suffer an export loss of about$250 million due to the newest U.N. sanctions resolution. The amount accounts for about 10 percent of its annual exports,"" said a...","The latest United Nations sanctions are expected to cut North Korea's foreign currency revenue from exports by approximately US$250 million a year, the foreign ministry here forecast Saturday. North Korean leader Kim Jong-un. Yonhap""North Korea is projected to suffer an export loss of about$250 million due to the newest U.N. sanctions resolution. The amount accounts for about 10 percent of its annual exports,"" said a ranking ministry official.   ""On the import side, the North is expected to sustain a reduction of some $1.2 billion, or about 30 percent of its annual imports,"" said the official.   The U.N. Security Council unanimously passed toughened sanctions against North Korea on Friday , condemning its latest test of an intercontinental ballistic missile on Nov. 29.Resolution 2397 additionally bans U.N. member states from importing North Korean food, agricultural products, machinery, electrical equipment, minerals, earth and rocks, lumber and ships.   The anticipated decline in Pyongyang's imports came as U.N.members are prohibited from exporting industrial machinery, vehicles and steel and other metals to the North.   The official, however, noted that ""the North's expected trade losses are just estimated figures. Depending on statistics methods, the disparity could be wider.""   Referring to the new resolution's call for a further reduction of 500,000 barrels in petroleum supply for North Korea, the official expected a reduction of 90 percent in the annual supply volume.   The official also paid attention to the planned expulsion of overseas North Korean workers from U.N. member states within 24 months.   He predicted that the expulsion, if enforced thoroughly, will slash the North's foreign currency revenues by $200 million to $500 million a year.    Thus, the anticipated export loss and suspension of overseas labor dispatch are expected to cut Pyongyang's foreign currency income by $450 million to $750 million annually, the official forecast.","cut nk annual exports ,saturday north korean leader ,may cut nk annual ,250 mln seoul official ,latest united nations sanctions","['United Nations', ""North Korea 's"", 'north korean', 'Kim Jong - un', 'Yonhap""North Korea', 'U.N.']",26,"[ 0.          0.          1.         ... -0.29416677  0.56238163
  0.13538349]",Yonhap,North Korea,12,2017,"north korea on friday condemning ,cut pyongyang foreign currency income ,friday condemning its latest test ,forecast saturday north korean leader ,expected to cut north korea","['United Nations', ""North Korea 's"", 'north korean', 'Kim Jong - un', 'Yonhap""North Korea', 'U.N.', 'the U.N. Security Council', 'North Korea', 'U.N.', 'north korean', 'Pyongyang', 'North Korea', 'north korean', 'U.N.', 'Pyongyang']",13,"[ 0.          0.          1.         ... -0.29416677  0.56238163
  0.13538349]"
6,6,Seoul mulling another offer of military talks to NK: reports,"South Korea may make another offer of military talks with North Korea early next year, local media reported Thursday. Citing unnamed government sources, a local daily reported that the measure is included in the draft of the Moon Jae-in administration’s “denuclearization roadmap.” The roadmap is one of the 100 tasks set out by the new administration in July.  A South Korean soldier is seen standing guard as three...","South Korea may make another offer of military talks with North Korea early next year, local media reported Thursday. Citing unnamed government sources, a local daily reported that the measure is included in the draft of the Moon Jae-in administration’s “denuclearization roadmap.” The roadmap is one of the 100 tasks set out by the new administration in July.  A South Korean soldier is seen standing guard as three North Korean soldiers observe the south side of Panmunjeom in a photograph taken on Nov. 27. YonhapThe roadmap is said to be focused on South Korea taking the initiative in resolving inter-Korean issues, including the matter of Pyongyang’s nuclear ambitions. As part of its plans to take the lead, Seoul hopes to prompt a response from Pyongyang by suggesting ways to ease military tensions on the peninsula. Aside from military talks, other possible measures contained in the roadmap include those aimed at easing tensions and preventing accidental clashes along the border. Offering humanitarian aid, reunion of separated families and other nonmilitary measures are said to be being considered as secondary options. The news follows days after President Moon Jae-in revealed that South Korea-US joint military drills scheduled to be held during next year’s PyeongChang Olympics could be pushed back. The Winter Olympics and Paralympics will be held from Feb. 9 to Feb. 25 and March 9 to March 18, respectively. In an interview with the US broadcaster NBC on Tuesday, Moon revealed that Seoul had suggested pushing back major joint military drills to Washington. Cheong Wa Dae, however, denied reports that the exercises -- Key Resolve and Foal Eagle -- will be scaled down.On Tuesday, however, US Secretary of State Rex Tillerson said that he was not aware of any such developments during a joint press conference with Canadian Foreign Affairs Minister Chrystia Freeland.“They’re carried out on a scheduled basis. We announce them in advance. There’s nothing surprising about them, and I’m not aware of any plans to change what is scheduled,” Tillerson said, saying that the exercises have been in place for a number of years. In response, Moon‘s chief press secretary Yoon Young-chan on Wednesday said that the matter was being discussed by South Korean and US militaries.Seoul had suggested military talks in July, but Pyongyang ignored the offer. Since 2000, when the first-ever inter-Korean defense ministers’ talks were held, the two sides have held 39 working-level military talks. The most recent working-level talks were held in February 2011, about three months after North Korea’s shelling of South Korea’s Yeongpyeong Island in the West Sea. The two sides also held the second defense ministerial talks in November 2007, and seven general-level talks. By Choi He-suk","july south korean soldier ,next year local media ,seoul mulling another offer ,new administration in july ,local media reported thursday","['South Korea', 'North Korea', 'south korean']",26,"[ 1.          0.          1.         ... -0.61707878  0.85527885
  0.41084787]",Choi He-suk,North Korea,12,2017,"months after north korea shelling ,july south korean soldier ,tuesday moon revealed that seoul ,three months after north korea ,in july south korean soldier","['South Korea', 'North Korea', 'south korean', 'north korean', 'YonhapThe', 'South Korea', 'inter - korean', 'Pyongyang', 'Seoul', 'Pyongyang', 'Moon Jae -', 'South Korea', 'US', 'Paralympics', 'US', 'NBC', 'Moon', 'Seoul', 'Washington', 'Dae', 'US', 'State', 'Rex Tillerson', 'canadian', 'Chrystia Freeland', 'Tillerson', 'Yoon Young - chan', 'south korean', 'US', 'Seoul', 'Pyongyang', 'inter - korean', 'North Korea ’s', 'South Korea ’s', 'Choi He - suk']",6,"[ 1.          0.          1.         ... -0.61707878  0.85527885
  0.41084787]"
7,7,US blames N. Korea for massive cyberattack in May,"WASHINGTON -- The United States on Tuesday accused North Korea of conducting a major cyberattack that affected hundreds of thousands of computers across the world in May.The attack used the WannaCry ransomware and hit hospitals in Britain, reportedly disrupting the health care system there.""After careful investigation, the United States is publicly attributing the massive WannaCry cyberattack to North Korea,""Thomas B...","WASHINGTON -- The United States on Tuesday accused North Korea of conducting a major cyberattack that affected hundreds of thousands of computers across the world in May.The attack used the WannaCry ransomware and hit hospitals in Britain, reportedly disrupting the health care system there.""After careful investigation, the United States is publicly attributing the massive WannaCry cyberattack to North Korea,""Thomas Bossert, assistant to President Donald Trump for homeland security and counterterrorism, said at a briefing at the White House. ""We do not make this allegation lightly. We do so with evidence and we do so with partners."" The announcement came hours after Bossert leveled the charge in an op-ed in the Wall Street Journal late Monday.In the piece titled ""It's Official: North Korea is Behind WannaCry,"" Bossert slammed the attack as ""cowardly, costly and careless."" Citing the attack on Britain, he said, ""These disruptions put lives at risk.""Britain has already put the blame on the communist regime.On Tuesday, Bossert said Australia, Canada, New Zealand and Japan also agreed with the US conclusion and joined it in denouncing North Korea for the attack. He lauded ""corporate partners,"" including Microsoft and Facebook, for acting on their own initiative to disrupt the activity of North Korean hackers.""We don't have a lot of room left here to apply pressure to change their behavior,"" the adviser said, arguing that Trump has used ""just about every lever"" short of starving the North Korean people to force the regime to change its belligerent course.Still, he said it is important to call them out and let them know they are responsible.""I think at this point, some of the benefit that comes from this attribution is letting them know we're going to move to stop their behavior,"" he added.While ransomware is often used to raise money, that did not seem to be North Korea's main goal.""It's interesting. We don't really know how much money they raised, but they didn't seem to architect it in a way that a smart ransomware attacker would do so,"" Bossert said.Victims were required to pay ransom money to unlock their computers, but once it became known that didn't work, the payments stopped.""I think in this case, this was a reckless attack. I think it was meant to cause havoc and destruction,"" Bossert said. ""The money was an ancillary side benefit. I don't think they got a lot of it.""North Korea is known to exploit various illicit channels to fund their nuclear and ballistic missile programs. Tensions have run high in the wake of Pyongyang's sixth nuclear test in September and its recent launch of a new intercontinental ballistic missile capable of hitting anywhere in the US.","massive cyberattack in may ,korea for massive cyberattack ,ransomware and hit hospitals ,tuesday accused north korea ,cyberattack that affected hundreds","['WASHINGTON', 'the United States', 'North Korea', 'WannaCry', 'Britain', 'the United States', 'WannaCry', 'North Korea,""Thomas']",26,"[ 0.          2.          1.         ... -0.24734005  0.4551883
  0.27064437]",Yonhap,North Korea,12,2017,"wannacry ransomware and hit hospitals ,north korea for the attack ,major cyberattack that affected hundreds ,on tuesday accused north korea ,attributing the massive wannacry cyberattack","['WASHINGTON', 'the United States', 'North Korea', 'WannaCry', 'Britain', 'the United States', 'WannaCry', 'North Korea,""Thomas Bossert', 'Donald Trump', 'Bossert', 'the Wall Street Journal', 'North Korea', 'behind WannaCry', 'Bossert', 'Britain', 'Bossert', 'Australia', 'Canada', 'New Zealand', 'Japan', 'US', 'North Korea', 'Microsoft', 'north korean', 'Trump', 'north korean', ""North Korea 's"", 'Bossert', 'victim', 'Bossert', 'Korea', 'Pyongyang', 'US']",15,"[ 0.          2.          1.         ... -0.24734005  0.4551883
  0.27064437]"
8,8,"Hopes for better Seoul-Beijing ties, but challenges linger","President Moon Jae-in’s visit to China presents opportunity for South Korea to mend economic ties following a dispute over its deployment of a US anti-missile system, but challenges remain as Beijing appears to maintain its assertive stance on security issues. 　Wrapping up his four-day state visit on Saturday, President Moon received reassurance from the Chinese leaders that Beijing will resume economic and trade c...","President Moon Jae-in’s visit to China presents opportunity for South Korea to mend economic ties following a dispute over its deployment of a US anti-missile system, but challenges remain as Beijing appears to maintain its assertive stance on security issues. Wrapping up his four-day state visit on Saturday, President Moon received reassurance from the Chinese leaders that Beijing will resume economic and trade cooperation that has been suspended since South Korea pressed ahead with the much-controversial installation of the Terminal High Altitude Area Defense battery.But challenges loom over South Korea’s future dealings with China, as Beijing appeared to argue that the agreement was only “condition-based” and still wants the eventual removal of THAAD, pressuring Moon to choose between economic ties with China and a military alliance with the US. “Although we have yet to resolve the THAAD issue completely, we expect there will be a dramatic decrease in the frequency and intensity of China’s mentioning of THAAD,” said a senior official from South Korea’s presidential office Cheong Wa Dae on Sunday, a day after Moon returned from his four-day visit to China. South Korea`s president Moon Jae-in shakes hands with his Chinese counterpart Xi Jingping. YonhapThe official, who told reporters under the condition of customary anonymity, said Moon and Xi have managed to remove “hard feelings” over the THAAD dispute and build personal trust by holding extensive meetings in different settings.In a bid to reinvigorate stalled bilateral exchanges, the two countries decided to resume a total of 77 government-level talks between the two countries, including ministerial-level talks on economic cooperation, Cheong Wa Dae spokesperson Yoon Young-chan said Sunday. The spokesperson reiterated president Moon’s pledge to link his economic policies to China’s ambitious Belt and Road Initiative. China, for its part, gave assurance that many Chinese tourists would visit South Korea during the 2018 PyeongChang Winter Olympics.“The two countries agreed to restore stalled exchanges and cooperation and share a common understanding that they will continue to work on improving ties on practical matters,” Yoon said during the briefing. Despite the presidential office’s reiterations of mending bilateral ties, analysts remained cautious about the prospect of future relations as both countries have yet to resolve THAAD disputes completely amid mounting criticism against China’s assertive stance on security issues. One of their concerns is that the Chinese pledge to lift restrictive measures against the South Korean companies would be only “provisional,” depending upon the Moon administration’s stance over what China called “three no policies.” Following the agreement to patch up the THAAD dispute in October, controversy has since emerged over whether Seoul made a pledge that it will never deploy an additional THAAD battery, participate in a US-led strategic missile defense system or create a trilateral military alliance with the US and Japan.“It is a positive sign that both countries kicked off their efforts to improve bilateral relations, but given the apparent difference over THAAD, Seoul and Beijing must focus on managing their conflicts in the longer term.” Kim Han-kwon, a professor at Korea National Diplomatic Academy.While South Korea insists that THAAD is only aimed at North Korea’s missile and nuclear threat, China suspects that its powerful radar system could be used to spy into its territory. In an interview with the Chinese state broadcaster CCTV before leaving Seoul, Moon said Beijing did not need to worry about the anti-missile system because South Korea would ensure that its radar does not penetrate Chinese territory.By Yeo Jun-suk","beijing will resume economic ,visit on saturday president ,challenges linger president moon ,beijing ties but challenges ,better seoul beijing ties","['Moon Jae - in', 'China', 'South Korea', 'US', 'Beijing', 'Moon', 'chinese', 'Beijing']",26,"[ 1.          0.          0.         ... -0.65821916  0.46982971
 -0.05697706]",Yeo Jun-suk,Foreign Policy,12,2017,"cctv before leaving seoul moon ,state visit on saturday president ,leaving seoul moon said beijing ,four day visit to china ,korea future dealings with china","['Moon Jae - in', 'China', 'South Korea', 'US', 'Beijing', 'Moon', 'chinese', 'Beijing', 'South Korea', 'the Terminal High Altitude Area Defense', 'South Korea ’s', 'China', 'Beijing', 'Moon', 'China', 'US', 'thaad', 'China', 'South Korea ’s', 'Cheong', 'Moon', 'China', 'Moon Jae - in', 'chinese', 'Xi Jingping', 'Moon', 'Xi', 'Yoon Young - chan', 'Moon', 'China', 'China', 'chinese', 'South Korea', 'PyeongChang', 'Yoon', 'China', 'chinese', 'south korean', 'Moon', 'China', 'Seoul', 'US', 'US', 'Japan', 'THAAD', 'Seoul', 'Beijing', 'Kim Han - kwon', 'Korea National Diplomatic Academy', 'South Korea', 'North Korea ’s', 'China', 'chinese', 'CCTV', 'Seoul', 'Moon', 'Beijing', 'South Korea', 'chinese', 'Yeo Jun - suk']",13,"[ 1.          0.          0.         ... -0.65821916  0.46982971
 -0.05697706]"
9,9,Rival parties issue conflicting comments on Moon's China visit,"South Korea's rival parties again issued conflicting commentaries on Saturday on President Moon Jae-in's ongoing visit to China.The ruling Democratic Party said Moon's Chinese visit paved the ground for restoring the bilateral relationship ruined during the previous government, dismissing opposition parties' criticism of humiliating diplomacy by the Moon government.(Yonhap)Democratic Party floor spokesman Kang Hoon-s...","South Korea's rival parties again issued conflicting commentaries on Saturday on President Moon Jae-in's ongoing visit to China.The ruling Democratic Party said Moon's Chinese visit paved the ground for restoring the bilateral relationship ruined during the previous government, dismissing opposition parties' criticism of humiliating diplomacy by the Moon government.Democratic Party floor spokesman Kang Hoon-sik said in a commentary, ""President Moon's China visit has achieved important outcomes. What is particularly notable is the agreement with Chinese President Xi Jinping on the four principles of Korean Peninsula issues. The agreement is meaningful as the two leaders joined hands to enhance regional peace and security.""Kang also said he expects some economic effects after Chinese Premier Li Keqiang mentioned re-operation of bilateral economic channels during his meeting with Moon on Friday.""Moon's visit provided a very important clue to the restoration of South Korea-China relations ruined during the previous government. The opposition parties should stop political offensive on the matter and both ruling and opposition parties should together pursue national interests,"" said the spokesman.The main opposition Liberty Korea Party, however, continued its offensive against Moon's Chinese visit, calling it ""obvious damage to national dignity.""Liberty Korea Party's floor spokeswoman Shin Bo-ra said in a commentary, ""The  people were frustrated to see President Moon's frequent eating alone in China, Beijing's unilateral schedule changes and the beatings of Korean journalists.""""No joint statement was issued after Moon's summit talks with Xi. Any diplomatic outcome can hardly be visible. Nevertheless, self-praise by Cheong Wa Dae and the ruling party are embarrassing,"" said Shin.She noted that the so-called four principles agreement, announced by the Moon government as one of the outcomes of the summit with Xi, was not included in a press statement issued by the Chinese side.Moon is scheduled to return home Saturday after visiting Beijing and Chongqing.","on moon china visit ,conflicting commentaries on saturday ,government dismissing opposition parties ,moon china visit south ,china the ruling democratic","[""South Korea 's"", 'Moon Jae - in', 'China', 'Democratic Party', 'Moon', 'chinese', 'the Moon government.(Yonhap)Democratic Party', 'Kang Hoon - s']",26,"[ 1.          0.          0.         ... -0.49465236  0.37613308
  0.45181656]",Ock Hyun-ju,Politics,12,2017,"commentary president moon china visit ,commentaries on saturday on president ,president moon china visit ,home saturday after visiting beijing ,in commentary president moon china","[""South Korea 's"", 'Moon Jae - in', 'China', 'Democratic Party', 'Moon', 'chinese', 'Moon', 'Democratic Party', 'Kang Hoon - sik', 'Moon', 'China', 'chinese', 'Xi Jinping', 'chinese', 'Li Keqiang', 'Moon', 'South Korea', 'China', 'Liberty Korea Party', 'Moon', 'chinese', ""Korea Party 's"", 'Shin Bo - ra', 'Moon', 'China', 'Beijing', 'korean', 'Moon', 'Xi', 'Shin', 'Moon', 'Xi', 'chinese', 'Moon', 'Beijing', 'Chongqing']",13,"[ 1.          0.          0.         ... -0.49465236  0.37613308
  0.45181656]"
