,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,0,CFR survey puts N. Korea crisis atop list of international concerns for New Year,"A potential crisis involving North Korea ranked atop the list of international concerns for the United States in the New Year, according to a Council on Foreign Relations survey.The annual Preventive Priorities Survey put ""a severe crisis in North Korea"" in the Tier 1 category of concerns, along with a potential military confrontation between Russia and NATO; a highly disruptive cyberattack on US critical infrastruct...","A potential crisis involving North Korea ranked atop the list of international concerns for the United States in the New Year, according to a Council on Foreign Relations survey.The annual Preventive Priorities Survey put ""a severe crisis in North Korea"" in the Tier 1 category of concerns, along with a potential military confrontation between Russia and NATO; a highly disruptive cyberattack on US critical infrastructure; and a mass casualty terrorist attack on the US homeland.The CFR said in the report that a severe crisis in the North could be ""caused by nuclear or intercontinental ballistic missile weapons testing, a military provocation, or internal political instability.The think tank said that it sent the survey to nearly 7,000 US government officials, foreign policy experts, and academics, of whom more than 500 responded. Each was asked to estimate the likelihood and impact on US interests of each of the contingencies, it said.It was believed to be the first time that a North Korea crisis has topped the annual list of international concerns for New Year, though the issue has been classified as a Tier 1 international concern in previous surveys.""Donald J. Trump assumes office at a particularly turbulent time. It may not be long before his administration is tested by a serious foreign crisis,"" CFR said in the report. ""The new administration must decide how active it wants to be in managing the risks a more turbulent world poses to US interests.""Most American experts agree that North Korea will be one of the biggest problems facing the Trump administration as the communist nation stepped up its development of a nuclear-tipped missile capable of reaching the continental US.Outgoing President Barack Obama also reportedly warned Trump of the dangers the North poses to the US when the two met at the White House last month.During the election campaign, Trump said he would pressure China to exercise its influence over North Korea as the main food and energy provider to rein in the regime in Pyongyang, saying the North is basically China's problem to fix.But he also expressed a willingness to hold direct talks with North Korean leader Kim Jong-un over ""hamburgers,"" a remark seen as aimed at underscoring the point he's a great negotiator. However, the remark invited huge criticism that such a meeting would only bolster the North's dictator.","puts korea crisis atop ,north korea ranked atop ,survey puts korea crisis ,korea crisis atop list ,nato highly disruptive cyberattack","['North Korea', 'the United States', 'a Council on Foreign Relations', 'Preventive Priorities Survey', 'North Korea', 'Russia', 'NATO', 'US']",21,"[ 2.          1.          1.         ... -0.50166827  0.63564813
  0.30433172]",KH디지털2,North Korea,12,2016,"severe crisis in north korea ,crisis involving north korea ranked ,obama also reportedly warned trump ,north korea crisis has topped ,terrorist attack on the us","['North Korea', 'the United States', 'a Council on Foreign Relations', 'Preventive Priorities Survey', 'North Korea', 'Russia', 'NATO', 'US', 'US', 'CFR', 'US', 'US', 'North Korea', 'J. Trump', 'CFR', 'US', 'american', 'North Korea', 'Trump', 'Barack Obama', 'US', 'Trump', 'China', 'North Korea', 'Pyongyang', 'China', 'north korean', 'Kim Jong - un']",5,"[ 2.          1.          1.         ... -0.50166827  0.63564813
  0.30433172]"
1,1,1,More than 35% of newlyweds had no kids in 2015,"More than 35 percent of newlywed couples had no children last year amid the country's chronically low birthrate and late marriage trend, government data showed Monday.According to the data compiled by Statistics Korea, some 1.47 million couples married in the past five years as of November 2015, with 80.1 percent of them consisting of first-time brides and grooms.Out of the total, 35.5 percent of newlywed couples had...","More than 35 percent of newlywed couples had no children last year amid the country's chronically low birthrate and late marriage trend, government data showed Monday.According to the data compiled by Statistics Korea, some 1.47 million couples married in the past five years as of November 2015, with 80.1 percent of them consisting of first-time brides and grooms.Out of the total, 35.5 percent of newlywed couples had no kids, while the percentage rose to 42.1 percent in those couples who both work. Among couples with a single breadwinner, however, only 29.9 percent were childless.Matches with the husband and wife both in their early 30s accounted for 18.8 percent of all newlywed couples, closely followed by duos where the husband was between 30-34 years and the wife between 25-29 years at 18.4 percent. Also, 506,000 couples, or 42.9 percent, were double-income families, and the percentage reached 50 percent for those who married less than one year ago.Among 853,000 marriages that include salaried workers, 30.6 percent of them have a combined annual income of 30 to 50 million won, while 21.9 percent are in the basket of 50 to 70 million won, and 18.4 percent are in the 10 to 30 million won income group.The findings reflect that an increasing number of South Korean people get married and have children when they are older, or give up on tying the knot and having babies altogether.A separate survey showed that half of people thought that marriage is necessary in their lives last year, down from 56.8 percent polled in 2014.The average age that a woman has her first child was 31.2 last year, up from 31 years in 2014. Some 23.9 percent of first-time moms were over 35 years of age.The country's fertility rate, or the average number of babies that a woman is projected to have during her lifetime, has hovered around 1.2 since it dropped to a record low of 1.08 in 2005.It reached 1.24 in 2015, marking the second-lowest fertility rate among members of the Organization for Economic Cooperation and Development, following Portugal with 1.23 based on available data compiled in 2014.The average birthrate of OECD countries was 1.68 as of 2014.","35 percent of newlywed ,47 million couples married ,than 35 of newlyweds ,35 of newlyweds had ,percent of newlywed couples",['Statistics Korea'],21,"[ 0.          0.          0.         ... -0.73387015  0.59593201
  0.1165146 ]",임정요,Social affairs,12,2016,"35 percent of newlywed couples ,newlywed couples had no kids ,total 35 percent of newlywed ,than 35 percent of newlywed ,35 percent of newlywed","['Statistics Korea', 'match', 'south korean', 'the Organization for Economic Cooperation and Development', 'Portugal', 'OECD']",15,"[ 0.          0.          0.         ... -0.73387015  0.59593201
  0.1165146 ]"
2,2,2,More single persons turn to self-employment due to lack of jobs,"A growing number of unmarried persons are starting their own businesses apparently due to a lack of jobs, a report suggested Monday, noting the jobless rate of young people has remained record high.According to the report from Statistics Korea, 12.2 percent of all single men were self-employed as of end-2015.The figure marked an increase of 4.8 percentage points from 7.4 percent at the end of 2006.Accordingly, the av...","A growing number of unmarried persons are starting their own businesses apparently due to a lack of jobs, a report suggested Monday, noting the jobless rate of young people has remained record high.According to the report from Statistics Korea, 12.2 percent of all single men were self-employed as of end-2015.The figure marked an increase of 4.8 percentage points from 7.4 percent at the end of 2006.Accordingly, the average ratio of earned income in overall income for single male households dropped to 75 percent from 87.3 percent over the cited period.The ratio of business income, on the other hand, spiked from 7.8 percent to 18.9 percent.That of female households also more than doubled from 10.5 percent to 21.9 percent.""The reason the earned income ratios of both men and women have been lowered appears to be related to a drop in youth employment,"" the report said.In November, the jobless rate of people aged between 15 and 29 years came to 8.2 percent, the statistic office said earlier.The tally marked only a 0.1 percentage point increase from the same month last year, but also the highest in 13 years for the month of November.","monday noting the jobless ,growing number of unmarried ,lack of jobs growing ,jobs report suggested monday ,statistics korea 12 percent",['Statistics Korea'],21,"[ 0.          0.          0.         ... -0.56240553  0.52370894
  0.50953126]",임정요,Social affairs,12,2016,"monday noting the jobless rate ,households dropped to 75 percent ,male households dropped to 75 ,suggested monday noting the jobless ,monday noting the jobless",['Statistics Korea'],5,"[ 0.          0.          0.         ... -0.56240553  0.52370894
  0.50953126]"
3,3,3, Korea sees record worst flu outbreak,"South Korea’s seasonal influenza among young patients shows no sign of abating, reaching a record-high number of flu patients this week since the government began monitoring in 1997.According to the Korea Centers for Disease Control and Prevention, a record high number of young patients were diagnosed with flu in the past week as of Friday. Per 1,000 outpatient and emergency room visits of those aged 7-18, 153 were ...","South Korea’s seasonal influenza among young patients shows no sign of abating, reaching a record-high number of flu patients this week since the government began monitoring in 1997.According to the Korea Centers for Disease Control and Prevention, a record high number of young patients were diagnosed with flu in the past week as of Friday. Per 1,000 outpatient and emergency room visits of those aged 7-18, 153 were flu patients. The previous record was set in 2013 at 115 flu cases per 1,000 hospital visits. A nurse examines a child at a pediatrics clinic in Seoul on Friday. A total number of suspected cases for seasonal influenza reached 61.8 patients per 1,000 visits across the nation, about a 77 percent jump from 34.8 cases, the KCDC said. By age group, those aged six or below showed the highest number of infected cases at 59.6 patients, followed by those aged 19-49 at 51.5.Those aged 65 or more showed the least number of flu cases at nine per 1,000 hospital visits, followed by those aged 50-64 with 22.2 cases. The virus currently raging is the influenza A virus subtype H3N2, the doctors said.While doctors stress that simple hygiene etiquette is the most effective way to prevent the spread of the contagious virus, they said that the influenza B virus is likely to appear early next year.“Seasonal flu shows different types of aspects of spreading and considering the current spread of influenza A, the second round of seasonal flu -- influenza B -- may begin spreading early next year,” said Doctor Jung Yong-pil of Asan Medical Center.“These two different strains of the virus share almost identical symptoms such as high fever, headache and muscle pain,” Jung added. Getting a vaccination, either a flu shot or a nasal-spray type vaccination, is a simple method to reduce the chances of catching both influenza A and B, experts say, but fundamental preventive steps such as washing hands often can sometimes work better.According to Doctor Lee Jae-gab of Hallym University Gangnam Sacred Heart Hospital, it is difficult to expect which subtype virus of influenza B would spreading, making it hard to guess which vaccination to get for prevention.“There are two subtypes of virus under influenza A and B, while a vaccination cannot always create the specific antibodies to resist the viruses, it depends on people,” Lee said.“That’s why doctors stress flu prevention methods, such as wearing a mask and washing hands often, as the most certain and basic ways to stay away from a cold,” he added.The Ministry of Health and Welfare announced earlier this week that it would temporarily expand the health insurance coverage for those aged 10-18, so they can get antiviral drugs such as Tamiflu at a 30 percent discount and promptly receive treatment.By Kim Da-sol","record worst flu outbreak ,flu patients this week ,sees record worst flu ,worst flu outbreak south ,worst flu outbreak","['South Korea ’s', 'the Korea Centers for Disease Control and Prevention']",21,"[ 0.          0.          0.         ... -0.45462513  0.50120986
 -0.01915696]",Korea Herald,Social affairs,12,2016,"flu patients this week since ,seasonal influenza reached 61 patients ,of flu patients this week ,of friday per 000 outpatient ,2013 at 115 flu cases","['South Korea ’s', 'the Korea Centers for Disease Control and Prevention', 'Seoul', 'KCDC', 'H3N2', 'Jung Yong - pil', 'Jung', 'Lee Jae - gab', 'Hallym University Gangnam Sacred Heart Hospital', 'Lee', 'the Ministry of Health and Welfare', 'Kim Da - sol']",6,"[ 0.          0.          0.         ... -0.45462513  0.50120986
 -0.01915696]"
4,4,4,N. Korea ranks No. 1 for military spending relative to GDP: State Department report,"North Korea ranked No. 1 in the world for military expenditures relative to its gross domestic product between 2004-2014, spending nearly a quarter of its GDP on the armed forces, an annual State Department report showed Thursday.According to the State Department's World Military Expenditures and Arms Transfers 2016 report, the North's military expenditures averaged about $3.5 billion a year. That accounts for 23.3 p...","North Korea ranked No. 1 in the world for military expenditures relative to its gross domestic product between 2004-2014, spending nearly a quarter of its GDP on the armed forces, an annual State Department report showed Thursday.According to the State Department's World Military Expenditures and Arms Transfers 2016 report, the North's military expenditures averaged about $3.5 billion a year. That accounts for 23.3 percent of the country's average GDP of $15 billion during the period.Oman was a distant second on the list, spending 11.4 percent of its GDP on the military, followed by Saudi Arabia with 8.6 percent, South Sudan with 8.4 percent and the African nation of Eritrea with 6.9 percent, according to the report.South Korea spent about 2.6 percent of its GDP on the military, the 47th largest in the world, while Japan was in 136th place by spending an average 1 percent of its GDP on the military during the period, according to the report.In absolute terms, however, the North's annual military spending during the period ranked only 46th in the world, while South Korea's ranked 11th, spending an average $30 billion. The US was by far the world's No. 1 with $701 billion a year on average, way ahead of runner-up China's $114 billion.In 2014 alone, the US military expenditures amounted to $656 billion, while China's totaled $157 billion. The gap between the two countries narrowed significantly from last year's report that put the US military spending in 2012 at $724 billion, compared with China's $126 billion.North Korea's 2012 military spending came to $4.17 billion, while South Korea's expenditures totaled $39.3 billion, according to the report.The US was by far the biggest arms exporter in the world, selling an average $120 billion worth of weapons to foreign countries annually during the period. Russia came next but trailed with only $8 billion worth of exports.North Korea ranked 31st on the list, with about $100 million of annual arms exports. But Pyongyang's arms exports accounted for 6.6 percent of its total exports, making the country the No. 1 in terms of the proportion of weapons to total exports, the report showed.","2014 spending nearly quarter ,arms transfers 2016 report ,expenditures averaged about billion ,quarter of its gdp ,department report showed thursday","['North Korea', 'State Department', ""the State Department 's""]",21,"[ 1.          0.          0.         ... -0.44073451  0.32190564
  0.44500962]",임정요,North Korea,12,2016,"korea expenditures totaled 39 billion ,114 billion in 2014 alone ,billion north korea 2012 military ,only billion worth of exports ,2004 2014 spending nearly quarter","['North Korea', 'State Department', ""the State Department 's"", 'Oman', 'Saudi Arabia', 'South Sudan', 'african', 'Eritrea', 'South Korea', 'Japan', ""South Korea 's"", 'US', 'China', 'US', 'China', 'US', 'China', ""North Korea 's"", ""South Korea 's"", 'US', 'Russia', 'North Korea', 'Pyongyang']",5,"[ 1.          0.          0.         ... -0.44073451  0.32190564
  0.44500962]"
5,5,5,Population aging getting faster in S. Korea,"South Korea is fast becoming an aged society amid record-low childbirths and marriages, official data showed Thursday.The number of newborn babies in the country declined 13.9 percent on-year to 31,600 in October, according to Statistics Korea.It marks the lowest since such data were first compiled here in 2000.A total of 349,000 babies were born in the first 10 months of this year, down 6.4 percent from a year earli...","South Korea is fast becoming an aged society amid record-low childbirths and marriages, official data showed Thursday.The number of newborn babies in the country declined 13.9 percent on-year to 31,600 in October, according to Statistics Korea.It marks the lowest since such data were first compiled here in 2000.A total of 349,000 babies were born in the first 10 months of this year, down 6.4 percent from a year earlier.""Given the trend, the number of babies born this year is expected to stand at 413,000 this year, the lowest level since relevant data became available,"" a Statistics Korea official said.South Korea also continued to suffer a decreasing number of marriages. The number totaled 22,000 during the month, down 5.2 percent from a year earlier. It's the smallest October figure since 21,780 recorded in 2015.That of marriages in the January-October period also dropped 6.4 percent on-year to 227,900.""It's certain that the number of marriages will fall below 300,000 this year,"" the official added. Meanwhile, 645,000 South Koreans moved their residence in November, a 0.8 percent drop on-year, the third consecutive month of a decline.","of 349 000 babies ,country declined 13 percent ,population aging getting faster ,amid record low childbirths ,349 000 babies","['South Korea', 'Statistics Korea']",21,"[ 0.          0.          0.         ... -0.67935228  0.65036541
 -0.2614986 ]",KH디지털2,Social affairs,12,2016,"349 000 babies were born ,november percent drop on year ,declined 13 percent on year ,october period also dropped percent ,third consecutive month of decline","['South Korea', 'Statistics Korea', 'Statistics Korea', 'South Korea', 'South Koreans']",5,"[ 0.          0.          0.         ... -0.67935228  0.65036541
 -0.2614986 ]"
6,6,6,Korea’s cancer occurrence rate falls for three consecutive years,"The cancer occurrence rate among South Koreans has fallen for three consecutive years, government data showed Tuesday.According to data tallied by the Korea Central Cancer Registry, 217,057 patients were diagnosed with cancer in 2014 -- 289.1 cases per 100,000 people -- down 4.5 percent from the 227,188 patients in 2013. The KCCR began collecting data on the occurrence rate of cancer in 1999. It peaked in 2012 with 3...","The cancer occurrence rate among South Koreans has fallen for three consecutive years, government data showed Tuesday.According to data tallied by the Korea Central Cancer Registry, 217,057 patients were diagnosed with cancer in 2014 -- 289.1 cases per 100,000 people -- down 4.5 percent from the 227,188 patients in 2013. The KCCR began collecting data on the occurrence rate of cancer in 1999. It peaked in 2012 with 323.3 cases per 100,000 people, but has since been on a gradual decline. By type of cancer, thyroid cancer topped the list with 30,806 people diagnosed in 2014 -- about 28.1 percent lower than in the previous year -- followed by colorectal cancer, lung cancer, breast cancer, liver cancer and prostate cancer.Researchers said the fall in the occurrence rate of thyroid cancer compared to previous years could be due to the heightened public awareness regarding overdiagnosis and the resulting unncessary surgery.Among the five kinds of cancer monitored by the National Cancer Information Center, breast cancer was the only type that showed an increasing trend, with the number of cases rising by 5.7 percent from 17,398 in 2013 to 18,381 in 2014. The data also showed that 1 in 35 South Koreans have suffered or have been suffering cancer since 1999, amounting to a total of approximately 1.46 million as of January 2015. Based on the life expectancy of South Koreans, at 82 years old, 2 in 5 men and 1 in 3 women are likely to develop cancer in their lifetime, researchers found.South Korea’s occurrence rate of cancer was 265.7 cases per 100,000 people, similar to the Organization for Economic Cooperation and Development average of 270.3 cases per 100,000 people. By Kim Da-sol","cancer occurrence rate falls ,188 patients in 2013 ,consecutive years the cancer ,with cancer in 2014 ,government data showed tuesday","['South Koreans', 'the Korea Central Cancer Registry', 'KCCR']",21,"[ 0.          0.          0.         ... -0.60474753  0.58673435
  0.45306119]",Kim Da-sol,Social affairs,12,2016,"cancer registry 217 057 patients ,cancer in 2014 289 cases ,been suffering cancer since 1999 ,cancer was 265 cases per ,35 south koreans have suffered","['South Koreans', 'the Korea Central Cancer Registry', 'KCCR', 'the National Cancer Information Center', 'South Koreans', 'South Koreans', 'South Korea ’s', 'the Organization for Economic Cooperation and Development', 'Kim Da - sol']",5,"[ 0.          0.          0.         ... -0.60474753  0.58673435
  0.45306119]"
7,7,7,Ministry maps out plan to prevent human infections of AI,"The government on Tuesday mapped out plans to tighten controls to prevent humans from being infected with a highly pathogenic bird flu strain, a week after it elevated its watch level from “alert” to “serious,” the highest level in the country’s disease control system.The Ministry of Health and Welfare said Tuesday it has dispatched quarantine officials to monitor human infections and cull infected poultry at 42...","The government on Tuesday mapped out plans to tighten controls to prevent humans from being infected with a highly pathogenic bird flu strain, a week after it elevated its watch level from “alert” to “serious,” the highest level in the country’s disease control system.The Ministry of Health and Welfare said Tuesday it has dispatched quarantine officials to monitor human infections and cull infected poultry at 42 sites across the nation.Officials will also provide residents with 15,300 doses of antiviral drugs and 20,060 items of protective clothing in case the outbreak spreads to people, the ministry added. Currently, there have been no reports of infections through people or livestock.Chung Ki-seok, head of the Korea Centers for Disease Control and Prevention, speaks Tuesday in a briefing held at Sejong Government Complex. “While the possibility of the bird flu infection spreading to humans is extremely low, simple but fundamental steps, such as washing hands for 30 seconds and avoiding visiting poultry farms or habitats for migratory birds can prevent the outbreak spreading to people,” said Chung Ki-seok, head of the Korea Centers for Disease Control and Prevention in a briefing.“We also ask that citizens who find symptoms or suspicious cases visit ministry-designated hospitals. We appointed some 17 hospitals across the nation equipped with special sanitation facilities to report and treat cases immediately,” Chung added.As of Monday, 9,183 people working at poultry farms or participating in the mass culling of poultry at the disease-hit areas had been vaccinated and classified as a high-risk group to receive state monitoring.Authorities said 26 people among the high-risk group reported flu-like symptoms, but just one of them was confirmed with the H3N2 strain of the seasonal flu.The highly pathogenic H5N6 strain of the flu is currently being examined at the National Institute of Environmental Research to find out if the outbreak can spread to people, authorities added. The CDC said it also published and distributed guidelines for bird flu prevention measures in 14 different languages, including Thai, Chinese, Tagalog, Vietnamese and more, in an aim to help foreign workers in rural areas understand the situation and follow the measures. Officials said that while the seasonal flu is sweeping the country at an alarming pace, it is theoretically possible for a human to catch both seasonal flu and bird flu infections, but it is very less likely for the outbreak to spread to people. “The most significant step for people to prevent both  viruses is to wash hands often and eat heated food,” the CDC official said.By Kim Da-sol","bird flu strain week ,government on tuesday mapped ,flu strain week after ,tuesday mapped out plans ,pathogenic bird flu strain",['the Ministry of Health and Welfare'],21,"[ 0.          0.          0.         ... -0.64097333  0.36836189
  0.40194052]",Kim Da-sol,Social affairs,12,2016,"bird flu strain week after ,pathogenic bird flu strain week ,prevention speaks tuesday in briefing ,the bird flu infection spreading ,distributed guidelines for bird flu","['the Ministry of Health and Welfare', 'Chung Ki - seok', 'the Korea Centers for Disease Control and Prevention', 'Chung Ki - seok', 'the Korea Centers for Disease Control and Prevention', 'Chung', 'H3N2', 'the National Institute of Environmental Research', 'CDC', 'Thai', 'Tagalog', 'Vietnamese', 'CDC', 'Kim Da - sol']",18,"[ 0.          0.          0.         ... -0.64097333  0.36836189
  0.40194052]"
8,8,8,Unmarried population in their 30s rises to record high in 2015,"More than 35 percent of thirtysomethings in South Korea remained unmarried last year amid a widespread late marriage trend in the country, census data showed Monday.According to the 2015 census by Statistics Korea, out of 42.7 million people aged 15 or over, 13.4 million, or 31.3 percent, were single, up from 30.6 percent five years earlier.At the same time, the percentage of unmarried people in their 30s reached 36....","More than 35 percent of thirtysomethings in South Korea remained unmarried last year amid a widespread late marriage trend in the country, census data showed Monday.According to the 2015 census by Statistics Korea, out of 42.7 million people aged 15 or over, 13.4 million, or 31.3 percent, were single, up from 30.6 percent five years earlier.At the same time, the percentage of unmarried people in their 30s reached 36.3 percent in 2015, up 7.1 percentage points from 2010 data. The figure has been on a sharp rise since 2000, when it was about 13 percent.By gender, 28.1 percent of women in their 30s remained unmarried, with single males accounting for 44.2 percent of the age group.The data showed that women with higher educational background get married less than others, as 18.9 percent of university graduates and 23.4 percent of those who have master's degrees were single, while only 9.4 percent of females aged over 30 were unmarried.","thirtysomethings in south korea ,35 percent of thirtysomethings ,record high in 2015 ,42 million people aged ,widespread late marriage trend","['South Korea', 'Statistics Korea']",21,"[ 0.          0.          0.         ... -0.53241581  0.38696942
  0.42596364]",임정요,Social affairs,12,2016,"year amid widespread late marriage ,of thirtysomethings in south korea ,their 30s reached 36 percent ,42 million people aged 15 ,than 35 percent of thirtysomethings","['South Korea', 'Statistics Korea']",2,"[ 0.          0.          0.         ... -0.53241581  0.38696942
  0.42596364]"
9,9,9,Korean’s sodium intake down 19% from 5 years ago,"South Koreans now consume about 19 percent less sodium compared to five years ago, data showed Sunday.According to the Korea Health Promotion Foundation, the average Korean’s daily sodium intake in 2015 was 3,871 milligrams, about a 19 percent decrease from 4,785 milligrams in 2010.The KHPF attributed the reduction in sodium intake to a well-being trend in the local food industry -- in particular the introductions o...","South Koreans now consume about 19 percent less sodium compared to five years ago, data showed Sunday.According to the Korea Health Promotion Foundation, the average Korean’s daily sodium intake in 2015 was 3,871 milligrams, about a 19 percent decrease from 4,785 milligrams in 2010.The KHPF attributed the reduction in sodium intake to a well-being trend in the local food industry -- in particular the introductions of new MSG-free, low-sodium instant noodles and traditional paste products for health-conscious consumers.Sodium intake for South Koreans peaked at 5,260 mg in 2005, but has since been in a gradual decline.  Experts warn that an excessive intake of high-sodium products may pose health risks linked to stomach cancer, heart disease and more. In 2010, the government released a countermeasure plan to reduce Korean’s sodium intake by 20 percentage points by 2020.","average korean daily sodium ,785 milligrams in 2010 ,19 percent less sodium ,decrease from 785 milligrams ,korean sodium intake down","['South Koreans', 'the Korea Health Promotion Foundation', 'Korean ’s']",21,"[ 0.          0.          0.         ... -0.38198712  0.40813982
 -0.14479639]",Kim Da-sol,Social affairs,12,2016,"low sodium instant noodles and ,the average korean daily sodium ,about 19 percent less sodium ,low sodium instant noodles ,to reduce korean sodium intake","['South Koreans', 'the Korea Health Promotion Foundation', 'Korean ’s', 'MSG', 'South Koreans', 'korean ’s']",2,"[ 0.          0.          0.         ... -0.38198712  0.40813982
 -0.14479639]"
