,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector
0,0,0,Korea to sign contract on KF-X next week,"South Korea's state arms procurement agency said Thursday it will sign a formal contract next week on its fighter jet development project, known as KF-X.The Defense Acquisition Procurement Administration plans to ink the deal with Korea Aerospace Industries Ltd., the country's sole aircraft maker.""Negotiations over the formal contract on the KF-X program are going well. It seems to be possible to sign it around Dec. ...","South Korea's state arms procurement agency said Thursday it will sign a formal contract next week on its fighter jet development project, known as KF-X.The Defense Acquisition Procurement Administration plans to ink the deal with Korea Aerospace Industries Ltd., the country's sole aircraft maker.""Negotiations over the formal contract on the KF-X program are going well. It seems to be possible to sign it around Dec. 28,"" the agency official said on the condition of anonymity.South Korea hopes to produce its own fighter jet to replace the aging fleet of F-4s and F-5s by mid-2020.Last month, KAI secured Indonesia's assurance that it will pay for 20 percent of the total cost expected to reach $15 billion.Under the contract between the DAPA and KAI, six test planes will be manufactured by 2025, according to the official.The KF-X project received a boost from the U.S. pledge to transfer some of its jet technologies. But South Korea faces a daunting task of finding an alternative as the U.S. made it clear that four core technologies will be excluded.Those are the active electronically scanned radar, infrared search-and-rescue system, electro-optical targeting pod and radio frequency jammer.South Korea, meanwhile, plans to launch a task force for the project on Jan. 1 next year that will be composed of 70-80 officials and experts. (Yonhap)","sign formal contract next week ,formal contract next week ,formal contract next week on ,arms procurement agency said thursday ,own fighter jet to replace","[""South Korea 's"", 'KF - X.The Defense Acquisition Procurement Administration', 'Korea Aerospace Industries Ltd.', 'KF', 'South Korea', 'f-5s', 'KAI', 'Indonesia', 'DAPA', 'KAI', 'KF', 'U.S.', 'South Korea', 'U.S.', 'South Korea']",7,"[ 4.          1.          1.         ... -0.09117447  0.58989984
  0.47169915]"
1,1,1,Korea inspects pilot system of local T-50 trainers,"South Korea said Monday it was looking into the pilot-related system of its T-50 trainer aircraft following the crash of a jet in Indonesia over the weekend.Two pilots were killed in a crash on Sunday of the plane South Korea exported to Indonesia, during an air show celebrating the 70th anniversary of Indonesia's flight school in Yogyakarta, a tourist city on the main island of Java. While the Indonesian defense min...","South Korea said Monday it was looking into the pilot-related system of its T-50 trainer aircraft following the crash of a jet in Indonesia over the weekend.Two pilots were killed in a crash on Sunday of the plane South Korea exported to Indonesia, during an air show celebrating the 70th anniversary of Indonesia's flight school in Yogyakarta, a tourist city on the main island of Java. While the Indonesian defense ministry is investigating the cause of the crash, South Korea is conducting its own safety checks on 48 T-50 Golden Eagles, an official said.""On our part, we plan to examine the pilot system of the (South Korean) Air Force's T-50s,"" Defense Ministry spokesman Kim Min-seok told reporters.The Air Force briefly grounded all of the T-50s in service for inspection.Some of them resumed flights in the afternoon but the Air Force said it would continue efforts to see if there is any glitch.The T-50 is a single-engine, two-seater aircraft, jointly built by Korean aerospace company Korea Aerospace Industries and U.S. defense manufacturing giant Lockheed Martin.  The doomed plane was apparently spinning out of control during its aerobatic maneuvering in the Indonesian air show and crashed into an air force base complex, according to local media in the Southeast Asian country. (Yonhap)","trainer aircraft following the crash ,weekend two pilots were killed ,indonesian air show and crashed ,killed in crash on sunday ,crash of jet in indonesia","['South Korea', 'Indonesia', 'South Korea', 'Indonesia', 'Indonesia', 'Yogyakarta', 'Java', 'indonesian', 'South Korea', 'south korean', ""Air Force 's"", 'Defense Ministry', 'Kim Min - seok', 'the Air Force', 'the Air Force', 'korean', 'Korea Aerospace Industries', 'U.S.', 'Lockheed Martin', 'indonesian', 'southeast asian']",7,"[ 3.          0.          0.         ... -0.42434183  0.30428731
  0.26078653]"
2,2,2,China votes against U.N. resolution on N. Korea rights despite,"A newspaper published by China's Communist Party said Saturday that Beijing voted against a U.N.resolution on North Korea's human rights record despite ""some domestic pressures,"" urging Pyongyang to be ""grateful"" about the Chinese vote. The U.N. General Assembly adopted a resolution calling for referring North Korea to the International Criminal Court for human rights violations this week. A total of 119 nations vote...","A newspaper published by China's Communist Party said Saturday that Beijing voted against a U.N.resolution on North Korea's human rights record despite ""some domestic pressures,"" urging Pyongyang to be ""grateful"" about the Chinese vote. The U.N. General Assembly adopted a resolution calling for referring North Korea to the International Criminal Court for human rights violations this week. A total of 119 nations voted for the resolution and 19 nations, including China, against it, with 48 abstentions.In an editorial, the state-run Global Times said the Chinese vote against the U.N. resolution ""does not mean we endorse the human rights situation in North Korea.""It said the Chinese vote was based on Beijing's long-standing policy of non-interference.Last week, an all-female propaganda band formed by North Korean leader Kim Jong-il abruptly canceled a three-day concert in Beijing. Both China and North Korea remain tightlipped over the reason of the cancellation. ""The abrupt canceling of a North Korean girl band's planned show in Beijing has also created some sentiments among the Chinese people,"" the editorial said. ""North Korea should be aware of the fact that the Chinese government made the vote under certain domestic pressures. It should also be grateful,"" it said. ""North Korean authorities should also strive to provide a positive environment, so that the Chinese public can better appreciate the country,"" it said. China, a key ally of North Korea, has expressed displeasure about the North's nuclear weapons program, but defended Pyongyang at the U.N. on other issues, including human rights. Despite this week's resolution, chances of an actual referral are slim because it is not legally binding. An actual referral should be blocked by China. North Korea has long been labeled one of the worst human rights violators. The communist regime does not tolerate dissent, holds hundreds of thousands of people in political prison camps and keeps tight control over outside information.But the North has bristled at such criticism, calling it a U.S.-led attempt to topple its regime. (Yonhap)","saturday that beijing voted against ,chinese vote against the resolution ,the chinese vote against the ,said the chinese vote against ,the chinese vote against","['China', 'Communist Party', 'Beijing', ""North Korea 's"", 'Pyongyang', 'chinese', 'the U.N. General Assembly', 'North Korea', 'the International Criminal Court', 'China', 'Global Times', 'chinese', 'U.N.', 'North Korea', 'chinese', 'Beijing', 'north korean', 'Kim Jong - il', 'Beijing', 'China', 'North Korea', 'north korean', 'Beijing', 'chinese', 'North Korea', 'chinese', 'north korean', 'chinese', 'China', 'North Korea', 'Pyongyang', 'U.N.', 'China', 'North Korea']",12,"[ 0.          0.          0.         ... -0.46353638  0.46717751
  0.32125735]"
3,3,3,China still mum on N. Korean band's abrupt cancellation,"China's foreign ministry on Tuesday remained tightlipped on the reason for the sudden cancellation of a concert in Beijing by an all-female band formed by the North's leader Kim Jong-un.North Korea's Moranbong Band had been scheduled to perform in Beijing last Saturday, but abruptly headed home hours before the concert began. China's official Xinhua News Agency attributed the cancellation to unspecified ""communicatio...","China's foreign ministry on Tuesday remained tightlipped on the reason for the sudden cancellation of a concert in Beijing by an all-female band formed by the North's leader Kim Jong-un.North Korea's Moranbong Band had been scheduled to perform in Beijing last Saturday, but abruptly headed home hours before the concert began. China's official Xinhua News Agency attributed the cancellation to unspecified ""communication issues."" South Korea's intelligence agency told Rep. Joo Ho-young, head of the National Assembly's intelligence committee, on Monday that the cancellation might have been related to a dispute between North Korea and China over the band's performance full of songs praising leader Kim. Asked about the possible reason, China's foreign ministry spokesman Hong Lei replied, ""I have nothing new to add"" to the Xinhua report. During a regular press briefing on Monday, Hong gave little away on what the ""communication issues"" were, why the concert by North Korea's Moranbong Band was canceled, or how it would impact bilateral relations with North Korea.North Korea's state media has published no reports about the cancellation.The concert had been seen as a fresh sign that ties between the allies were getting warmer after years of strain over North Korea's nuclear ambitions. (Yonhap)","cancellation of concert in beijing ,perform in beijing last saturday ,beijing last saturday but abruptly ,home hours before the concert ,before the concert began china","['China', 'Beijing', 'Kim Jong - un', ""North Korea 's"", 'Moranbong Band', 'Beijing', 'China', 'Xinhua News Agency', ""South Korea 's"", 'Joo Ho - young', ""the National Assembly 's"", 'North Korea', 'China', 'Kim', 'China', 'Hong Lei', 'Xinhua', 'Hong', ""North Korea 's"", 'Moranbong Band', 'North Korea', ""North Korea 's"", ""North Korea 's""]",12,"[ 1.          0.          0.         ... -0.63610554  0.17077488
  0.61862862]"
4,4,4,North Korean band's performance in Beijing canceled,"Performances by North Korea's all-female propaganda band in Beijing were canceled, an official at a Chinese theater where it was to perform said Saturday, with members of the band abruptly heading back to Pyongyang.   The Moranbong Band had been scheduled to perform for three days in Beijing from Saturday, in an apparent sign of warming relations between the two countries.  ""The performance was canceled,"" said th...","Performances by North Korea's all-female propaganda band in Beijing were canceled, an official at a Chinese theater where it was to perform said Saturday, with members of the band abruptly heading back to Pyongyang.   The Moranbong Band had been scheduled to perform for three days in Beijing from Saturday, in an apparent sign of warming relations between the two countries.  ""The performance was canceled,"" said the official at the National Center for the Performing Arts in Beijing. The official declined to give his name.   In a brief notice posted on the Chinese theater's website, the theater confirmed the cancellation of the performances by the North Korean band, expressing ""deep regret"" over the cancellation.  China's state-run Xinhua news agency reported, citing a ""relevant department,"" that the concert ""cannot be staged as scheduled due to communication issues at the working level.""  Officials at China's foreign ministry were not immediately available for comments on Saturday.   Chinese and Japanese media reports say members of the North Korean band were seen departing for Pyongyang earlier in the day.   It was not immediately known why the North Korean band returned home hours before the performances, which are not open to the public and an invitation-only, were to begin.   Some North Korean watchers speculated that Pyongyang might have canceled the performances because top Chinese leaders, including President Xi Jinping, declined to attend.   Others said there might have been complaints from North Korea over media coverage of the band's leader, Hyon Song-wol, who is reportedly a former girlfriend of North Korean leader Kim Jong-un. Kim Yong-hyun, a professor of North Korean studies at Dongguk University in Seoul, said the abrupt cancellation of the performances might have been due to stories about Hyon that undermine the ""dignity"" of the North Korean leader.   ""Possibility is high that the abrupt cancellation may be related to the 'top dignity,'"" the professor said, referring to the North Korean leader's dignity and authority.   Yang Moo-jin, a professor of the University of North Korean Studies in Seoul, said that if the cancellation is related to news stories about the band's leader, ""There might have been prior consent between the two sides.""   ""If so, it would have little impact on bilateral ties between North Korea and China,"" Yang said.  However, Yang said news coverage about Hyon by the South Korean media might have had a negative impact on inter-Korean talks that were being held at North Korea's border city of Kaesong.  The band's ""friendship performances,"" described by North Korea's state media, were seen as the latest sign that Pyongyang is trying to mend ties with Beijing after years of strain following the North's third nuclear test in early 2013.  Since Liu Yunshan, the Chinese Communist Party's fifth-ranked official, visited Pyongyang in October and held talks with North Korean leader Kim, there have been signs of improvement in bilateral ties.  The band, known for its interpretive performances of the totalitarian state's propaganda songs and Western pop music, including the ""Theme from Rocky,"" was formed in 2012 following an order by North Korea's young leader Kim.  At the National Center for the Performing Arts in Beijing, some Chinese guests who were invited to the North Korean band's concert voiced complaints over the cancellation.   ""This is a diplomatic discourtesy,"" said a 50-year-old invitee. (Yonhap)","band in beijing were canceled ,canceled the performances because ,beijing were canceled an official ,have canceled the performances because ,canceled the performances because top","[""North Korea 's"", 'Beijing', 'chinese', 'Pyongyang', 'the Moranbong Band', 'Beijing', 'the National Center for the Performing Arts', 'Beijing', 'chinese', 'north korean', 'China', 'Xinhua news agency', 'China', 'chinese', 'japanese', 'north korean', 'Pyongyang', 'north korean', 'north korean', 'Pyongyang', 'chinese', 'Xi Jinping', 'North Korea', 'Hyon Song - wol', 'north korean', 'Kim Jong - un', 'Kim Yong - hyun', 'north korean', 'Dongguk University', 'Seoul', 'north korean', 'north korean', 'Yang Moo - jin', 'the University of North Korean Studies', 'Seoul', 'North Korea', 'China', 'Yang', 'Yang', 'south korean', 'inter - korean', ""North Korea 's"", 'Kaesong', ""North Korea 's"", 'Pyongyang', 'Beijing', 'Liu Yunshan', ""the Chinese Communist Party 's"", 'Pyongyang', 'north korean', 'Kim', 'Rocky', ""North Korea 's"", 'Kim', 'the National Center for the Performing Arts', 'Beijing', 'chinese', 'north korean']",12,"[ 0.          0.          0.         ... -0.78502643  0.22357175
  0.34500119]"
5,5,5,North Korean band leader appears in China after execution rumors,"Hyon Song-wol, leader of North Korea's all-female propaganda band, appeared in public Friday, quelling a series of rumors and many media reports that she was executed in 2013. Hyon heads the Moranbong Band, hand-picked by North Korea's young leader Kim Jong-un, who sent the band to Beijing on Thursday for a six-day ""friendship"" tour, in an apparent move that indicates that once-strained ties between the allies are wa...","Hyon Song-wol, leader of North Korea's all-female propaganda band, appeared in public Friday, quelling a series of rumors and many media reports that she was executed in 2013. Hyon heads the Moranbong Band, hand-picked by North Korea's young leader Kim Jong-un, who sent the band to Beijing on Thursday for a six-day ""friendship"" tour, in an apparent move that indicates that once-strained ties between the allies are warming.Upon her arrival Friday morning at a luxury hotel in central Beijing where members of the band are staying, Hyon greeted reporters with a ""Hello."" Asked about the rumors, Hyon replied with a grin, ""Where do you come from?"" Repeatedly asked by reporters about the band's three days of performances, she was tight-lipped and got on an elevator. Hyon had been rumored to have been executed in 2013 for reportedly making and distributing pornographic videotapes.However, North Korea's state media reported in May last year that Hyon made a speech at a conference. The band, known for its interpretive performances of the totalitarian state's propaganda songs and Western pop music, including the ""Theme from Rocky,"" was formed in 2012 following an order by Kim.It will perform for three days at the National Center for the Performing Arts in Beijing starting Saturday, marking its first performance in a foreign country.The band's ""friendship performances,"" described by North Korea's state media, are the latest sign that Pyongyang is trying to mend ties with Beijing after years of strain following the North's third nuclear test in early 2013.Since Liu Yunshan, the Chinese Communist Party's fifth-ranked official, visited Pyongyang in October and held talks with North Korean leader Kim, there have been signs of improvement in bilateral ties. (Yonhap)","band to beijing on thursday ,north korea all female propaganda ,warming upon her arrival friday ,arts in beijing starting saturday ,band appeared in public friday","['Hyon Song - wol', ""North Korea 's"", 'the Moranbong Band', ""North Korea 's"", 'Kim Jong - un', 'Beijing', 'Beijing', 'Hyon', ""North Korea 's"", 'Hyon', 'Rocky', 'Kim', 'the National Center for the Performing Arts', 'Beijing', ""North Korea 's"", 'Pyongyang', 'Beijing', ""the Chinese Communist Party 's"", 'Pyongyang', 'north korean', 'Kim']",3,"[ 0.          0.          0.         ... -0.37098488  0.46602437
  0.45991388]"
6,6,6,Containers carrying bottled water arrive in S. Korea via North Korean port,"Containers carrying bottled water produced near North Korea arrived in South Korea on Monday via a North Korean port as part of a three-way logistics project involving the two Koreas and Russia, government officials said.  Ten containers full of bottled water produced at Erdaobaihe in northeastern China arrived at Busan, South Korea's southeastern port city, earlier in the day after leaving from the North Korean ci...","Containers carrying bottled water produced near North Korea arrived in South Korea on Monday via a North Korean port as part of a three-way logistics project involving the two Koreas and Russia, government officials said.  Ten containers full of bottled water produced at Erdaobaihe in northeastern China arrived at Busan, South Korea's southeastern port city, earlier in the day after leaving from the North Korean city of Rajin bordering Russia, officials said.  The mineral water was produced at a factory run by Nongshim, South Korea's largest noodle maker, in Erdaobaihe, a town close to Mount Baekdu in North Korea, the highest peak on the Korean Peninsula.  The shipment is part of the two Koreas' third pilot operation of the project, which calls for shipping some 120,000 tons of Russian coal to three South Korean ports from the North Korean port city of Rajin.  The coal, which was transported from Russia's border city of Khasan on a re-connected railway, arrived in South Korea in late November.  The so-called Rajin-Khasan logistics project is a symbol of three-way cooperation and an exception to Seoul's punitive sanctions against Pyongyang following the North's deadly sinking of a South Korean warship in 2010.  In November 2014, the first shipment carrying 40,500 tons of Russian coal arrived in South Korea without incident in the first test run of the project. The second test was conducted in April.  The project is also part of President Park Geun-hye's vision for a united Eurasia, known as the Eurasia Initiative, which calls for linking energy and logistics infrastructure across Asia and Europe. (Yonhap)","south korea largest noodle maker ,monday via north korean port ,korea largest noodle maker in ,korea on monday via north ,korea largest noodle maker","['North Korea', 'South Korea', 'north korean', 'Koreas', 'Russia', 'China', 'Busan', ""South Korea 's"", 'north korean', 'Rajin', 'Russia', 'Nongshim', ""South Korea 's"", 'Erdaobaihe', 'North Korea', 'Koreas', 'russian', 'south korean', 'north korean', 'Rajin', 'Russia', 'Khasan', 'South Korea', 'Rajin', 'Khasan', 'Seoul', 'Pyongyang', 'south korean', 'russian', 'South Korea', 'Park Geun', 'Eurasia']",7,"[ 5.          0.          0.         ... -0.51364952  0.79591209
 -0.31723705]"
7,7,7,Chinese ambassador hails progress in ties with Korea,"China's top envoy to Seoul on Thursday hailed the progress in bilateral ties, citing close cooperation in politics, the economy and people-to-people exchanges.  Amb. Qiu Guohong said the two countries have entered into an era of ""three highs"" marked by political trust, economic cooperation and cultural exchange.  ""Looking back on the development of China-South Korea relations this year, there truly was a lot of s...","China's top envoy to Seoul on Thursday hailed the progress in bilateral ties, citing close cooperation in politics, the economy and people-to-people exchanges.  Amb. Qiu Guohong said the two countries have entered into an era of ""three highs"" marked by political trust, economic cooperation and cultural exchange.  ""Looking back on the development of China-South Korea relations this year, there truly was a lot of success,"" he said in his congratulatory remarks at a forum held among state-run research institutions of the two countries.  Political ties were strengthened through a series of high-level visits between the sides, including President Park Geun-hye's attendance at a World War II anniversary event in Beijing and Chinese Premier Li Keqiang's visit to Seoul for trilateral summit talks also involving Japanese Prime Minister Shinzo Abe, Qiu said.  The ratification of the South Korea-China free trade agreement by South Korea's National Assembly is expected to provide new momentum to the two countries' growth and improve bilateral trade in terms of both quality and volume, he added.  On cultural exchanges, the ambassador said the people of the two countries have developed positive feelings toward each other as South Korea and China take turns hosting the ""Year of Visiting China"" and the ""Year of Visiting South Korea.""  ""I am certain that we will achieve the great goal of joint development, regional prosperity, Asian revival and partners in global prosperity,"" he said.  The forum, now in its third year, was launched under a joint statement adopted during Park's visit to China in June 2013. This year, it brought together 15 state research institutions from both sides. (Yonhap)","seoul on thursday hailed the ,envoy to seoul on thursday ,to seoul for trilateral summit ,china top envoy to seoul ,seoul on thursday hailed","['China', 'Seoul', 'Qiu Guohong', 'China', 'South Korea', 'Park Geun', 'Beijing', 'Chinese', 'Li Keqiang', 'Seoul', 'japanese', 'Shinzo Abe', 'Qiu', 'South Korea', 'China', ""South Korea 's"", 'National Assembly', 'South Korea', 'China', 'asian', 'Park', 'China']",13,"[ 4.          0.          0.         ... -0.85858738  0.72696638
  0.10263258]"
8,8,8,North Korea wants to learn from China's Hainan on tourism: envoy,"North Korea wants to learn tourism know-how from China's southern resort island of Hainan as it seeks to set up an international tourism zone at its scenic Mount Kumgang, according to the North's ambassador to China on Wednesday. Ji Jae-ryong, North Korea's ambassador to China, made the remarks during a meeting with Luo Baoming, Hainan's Communist Party chief and provincial governor, on Monday, the Chinese Communist ...","North Korea wants to learn tourism know-how from China's southern resort island of Hainan as it seeks to set up an international tourism zone at its scenic Mount Kumgang, according to the North's ambassador to China on Wednesday. Ji Jae-ryong, North Korea's ambassador to China, made the remarks during a meeting with Luo Baoming, Hainan's Communist Party chief and provincial governor, on Monday, the Chinese Communist Party said in an article posted on its website. North Korea is seeking to attract foreign tourists to the Mount Kumgang resort on its east coast after unveiling a project to build the ""Wonsan-Mount Kumgang international tourism zone"" earlier this year. The North's mountain resort, developed by the South Korean company Hyundai Asan, opened in 1998 as a symbol of inter-Korean reconciliation, but Seoul halted tours in July 2008 after a North Korean soldier shot and killed a South Korean tourist who had strayed into a restricted military zone there. During the meeting with Luo in Hainan, Ji said that ""North Korea is currently accelerating construction of the Wonsan-Mount Kumgang international tourist zone."" ""We would like to learn more from Hainan's experience, expand cooperation in areas such as tourism and fisheries, and make efforts to further strengthen the North Korea-China friendship,"" Ji told Luo, according to the statement. Luo told Ji that Hainan wants to ""facilitate pragmatic cooperation"" with North Korea in the field of tourism. Under international sanctions over nuclear and missile ambitions, North Korea has promoted tourism as a source of earning much-needed hard currency since Kim took power in late 2011. (Yonhap)","ambassador to china on wednesday ,korea wants to learn tourism ,north korea ambassador to china ,governor on monday the chinese ,to china on wednesday","['North Korea', 'China', 'Hainan', 'Mount Kumgang', 'China', 'Ji Jae - ryong', ""North Korea 's"", 'China', 'Luo Baoming', 'Hainan', 'Communist Party', 'the Chinese Communist Party', 'North Korea', 'south korean', 'Hyundai', 'Asan', 'inter - korean', 'Seoul', 'north korean', 'south korean', 'Luo', 'Hainan', 'Ji', 'North Korea', 'Hainan', 'North Korea', 'China', 'Ji', 'Luo', 'Luo', 'Ji', 'Hainan', 'North Korea', 'North Korea', 'Kim']",12,"[ 0.          0.          0.         ... -0.45855623  0.61141777
  0.38766566]"
9,9,9,New Marine Corps brigade created in Jeju,"A new Marine Corps brigade was launched Tuesday to undertake a mission to defend the southern resort island of Jeju and its adjacent area, the Marine Corps said.The new 9th Brigade will take over the mission to secure the safety of the southern island area from the Navy-led Jeju Defense Command, which was recently decommissioned in a reshuffle.The Navy established the new Jeju Naval Base Squadron in lieu of the disso...","A new Marine Corps brigade was launched Tuesday to undertake a mission to defend the southern resort island of Jeju and its adjacent area, the Marine Corps said.The new 9th Brigade will take over the mission to secure the safety of the southern island area from the Navy-led Jeju Defense Command, which was recently decommissioned in a reshuffle.The Navy established the new Jeju Naval Base Squadron in lieu of the dissolved command to take charge of a naval base which will be launched early next year along the southern coast of the resort island.The 500-strong Marine Corps brigade includes an emergency response battalion tasked with defense against enemy infiltration or terrorist attacks, as well as other disaster situations, according to the Marine Corps. The battalion will also be in charge of protecting airport and harbor facilities on Jeju and its surrounding area, it also added.With its recent acquisition of a decontamination vehicle, the 9th Brigade also plans to operate a special response team against potential chemical, biological and radiological attacks. About 500 military and government officials, including Lt. Gen.Lee Sang-hoon, the chief commander of the Marine Corps, were present at the ceremony to mark the establishment of the new unit on Jeju Island, according to the Marine Corps. (Yonhap)","corps brigade was launched tuesday ,new marine corps brigade ,brigade was launched tuesday ,launched tuesday to undertake mission ,brigade was launched tuesday to","['Marine Corps', 'Jeju', 'the Marine Corps', '9th Brigade', 'Navy', 'Navy', 'Marine Corps', 'the Marine Corps', 'Jeju', 'Lee Sang - hoon', 'the Marine Corps', 'the Marine Corps']",7,"[ 0.          0.          0.         ... -0.35263988  0.63094544
  0.28877604]"
