,Unnamed: 0,title,description,body,keyword,ne,cluster,vector
0,0,Ahn vows to pursue rational reform,"A high-profile independent lawmaker seeking to create a new political party said Sunday that he will pursue rational reform and lashed out at political polarization.  ""There is no room for dialogue and compromise"" in a political situation where politicians with biased views stigmatize and ostracize their opponents, Ahn Cheol-soo said in a news conference. ""No country has succeeded with political polarization.""  F...","A high-profile independent lawmaker seeking to create a new political party said Sunday that he will pursue rational reform and lashed out at political polarization.  ""There is no room for dialogue and compromise"" in a political situation where politicians with biased views stigmatize and ostracize their opponents, Ahn Cheol-soo said in a news conference. ""No country has succeeded with political polarization.""  For decades, local politics has been divided mainly along regional and ideological fault lines. South Korea's southeast region has been the political stronghold of the ruling conservative Saenuri Party, while the southwestern region has been the political turf of the main opposition liberal New Politics Alliance for Democracy.  ""A new party will put rational reform at the center of politics,"" Ahn said as he called for a new political paradigm to end what he claims is old politics riddled with enmity and confrontation.  He is pushing to launch a new political party by early February for April's general elections.  Ahn, the founder of the nation's largest anti-virus software firm Ahnlab Co., co-led the main opposition party with Moon Jae-in last year, but he quit the party earlier this month following internal strife with Moon.  Ahn said a tax hike is inevitable to the growing social needs and called on lawmakers to be frank on the issue, even if they could face public rebuke over a possible tax hike.  He also stressed the importance of the South Korea-U.S. alliance and called for the development of relations between South Korea and China.  China has overtaken the United States as South Korea's No. 1 trade partner in recent years. (Yonhap)","polarization for decades local politics ,new political party said sunday ,political polarization for decades local ,main opposition liberal new politics ,where politicians with biased views","['Ahn Cheol', ""South Korea 's"", 'Saenuri Party', 'New Politics Alliance for Democracy', 'ahn', 'Ahnlab Co.', 'Moon Jae - in', 'Moon', 'South Korea', 'U.S.', 'South Korea', 'China', 'China', 'the United States', ""South Korea 's""]",9,"[ 1.          4.          1.         ... -0.57013524  0.31355393
  0.65133035]"
1,1,Saenuri blood boils at Choi’s return,"A major factional feud looms at the ruling Saenuri Party upon the imminent return of Rep. Choi Kyung-hwan, the president’s top aide with a mission to sway parliamentary election nominations in favor of pro-Park figures.Choi is coming back to his third-term seat after his successor as finance minister was named in a Cabinet reshuffle Monday. He is expected to spearhead the faction loyal to President Park Geun-hye, an...","A major factional feud looms at the ruling Saenuri Party upon the imminent return of Rep. Choi Kyung-hwan, the president’s top aide with a mission to sway parliamentary election nominations in favor of pro-Park figures.Choi is coming back to his third-term seat after his successor as finance minister was named in a Cabinet reshuffle Monday. He is expected to spearhead the faction loyal to President Park Geun-hye, and bracing for his return is the party’s chairman Rep. Kim Moo-sung, who represents the “non-Park” faction.The power struggle between the two factions has already been vicious over a series of bills, leadership appointments and other party affairs. And the fight is likely to intensify over the party’s nomination rules for the April 13 general elections.The outnumbered pro-Park faction -- currently led by Supreme Council member Rep. Suh Chung-won -- has been pushing for wider strategic nominations not only in weak battlegrounds, such as the Jeolla provinces, but also in strong regions of metropolitan areas. Through this, the faction aims to expand its clout. Saenuri chairman Rep. Kim Moo-sung attends an event celebrating the holiday season on Tuesday. YonhapKim, on the other hand, remains steadfastly set on his defunct open primary project or something similar, vowing to keep the nomination as transparent as possible -- meaning more involvement of voters and ordinary party members and less influence from Park.Political pundits have said the anticipated power struggle within the Saenuri Party reflects the chronically backward politics of South Korea, where the months before each parliamentary elections are tainted with nomination struggles amid the lack of a fundamental system.“Saenuri Party has been enjoying steady approval ratings despite the low public popularity of the Park administration and the ruling camp in large part thanks to the internal feud at the opposition NPAD,” said Yoon Seong-yi, political professor at Kyung Hee University.“With Saenuri also falling into the same chaos, the party is likely to suffer a setback. This is the most representative case of Korea’s backward politics where those who seize power do not end up seeking fundamental improvements in the nomination process once they win,” he added.With Choi returning to the stage, the pro-Park faction is expected to align more systematically, having direct communication with Cheong Wa Dae through Choi and presidential aide on political affairs Hyun Ki-hwan.It has been the resolve of the pro-Park faction to build up the party base and eventually seek to hoist a pro-Park member as the party’s next chair. Kim’s tenure ends in July. The next chairperson has to take on the crucial task of leading the party through the 2017 presidential election.Kim, who has been dubbed as a likely candidate to run for president, is likely to resign from his position before the end of his term. Based on the party rules, a party chairperson cannot double as presidential candidate. The Saenuri Party, meanwhile, held the first meeting of its special committee on nomination rules Tuesday. Wary of the looming factional battle, the party members were seen to take a cautious approach in public.“It is hoped that (the members) will refrain from (making moves) that can be perceived as a factional problem by people,” said Rep. Hong Moon-pyo, the party’s first deputy secretary-general.Kim, for his part, began to meet with high profile potential parliamentary candidates, starting off with Ahn Dae-hee, former prime minister-nominee, who he met Tuesday. Kim said he will also meet former FIFA presidential hopeful Chung Mong-joon, former Seoul Mayor Oh Se-hoon and ex-Prime Minister Kim Hwang-sik.By Yeo Jun-suk, news reports (jasonyeo@heraldcorp.com)","meet former fifa presidential hopeful ,named in cabinet reshuffle monday ,looming factional battle the party ,candidate to run for president ,former fifa presidential hopeful chung","['Saenuri Party', 'Choi Kyung - hwan', 'pro - park', 'Choi', 'Cabinet', 'Park Geun - hye', 'Kim Moo - sung', 'pro - park', 'Supreme Council', 'Suh Chung - won', 'Jeolla', 'Saenuri', 'Kim Moo - sung', 'YonhapKim', 'Park', 'the Saenuri Party', 'South Korea', '“Saenuri Party', 'NPAD', 'Yoon Seong - yi', 'Kyung Hee University', 'Saenuri', 'Korea', 'Choi', 'Choi', 'Hyun Ki - hwan', 'Kim', 'Kim', 'the Saenuri Party', 'Hong Moon - pyo', 'Kim', 'Ahn Dae - hee', 'Kim', 'FIFA', 'Chung Mong - joon', 'Seoul', 'Se - hoon', 'Kim Hwang', 'Yeo Jun - suk']",1,"[ 0.          1.          1.         ... -0.0779465   0.20318274
  0.53681827]"
2,2,Opposition lawmakers get jail term for bribery,"A local court on Tuesday handed down jail terms to two opposition lawmakers for taking kickbacks from a local vocational training school in return for helping pass a bill in favor of the school.The Seoul Central District Court sentenced Reps. Shin Geh-ryeun, 61, and Shin Hak-yong, 63, of the main opposition New Politics Alliance for Democracy party to 24 months and 30 months in jail, respectively.The court also order...","A local court on Tuesday handed down jail terms to two opposition lawmakers for taking kickbacks from a local vocational training school in return for helping pass a bill in favor of the school.The Seoul Central District Court sentenced Reps. Shin Geh-ryeun, 61, and Shin Hak-yong, 63, of the main opposition New Politics Alliance for Democracy party to 24 months and 30 months in jail, respectively.The court also ordered the 61-year-old Shin to pay a fine of 25 million won ($21,000) and forfeit another 25 million won. The 63-year-old was also ordered to pay a fine of 31 million won and forfeit an additional 213 million won.""The credibility of the statement made by the briber is acknowledgeable,"" a judge said.The court, however, did not put the two lawmakers into custody ""to guarantee the right to defend themselves on the charges."" Shin Geh-ryeun was indicted in 2014 on charges of taking some 55 million won worth of gift cards and cash in bribes from the chairman of a local vocational training school from September 2013 to May 2014 in return for helping to pass a bill in favor of the school.The passage of the bill to revise the vocational education law in April helped change the name and upgrade the status of what is now known as Seoul Art College.Rep. Shin Hak-yong, who chaired the National Assembly's education and culture committee from March 2013 to May 2014, took 15 million won from the chairman of Seoul Art College in exchange for the same business favor.He was additionally indicted for receiving some 33 million won from an association of private kindergartens in return for proposing a law governing privately run kindergartens, according to prosecutors.The two will be stripped of their parliamentary seats if the verdict is confirmed by the Supreme Court. (Yonhap)","opposition lawmakers for taking kickbacks ,tuesday handed down jail terms ,jail terms to two opposition ,30 months in jail respectively ,on tuesday handed down jail","['the Seoul Central District Court', 'Shin Geh - ryeun', 'Shin Hak - yong', 'New Politics Alliance for Democracy', 'Shin Geh - ryeun', 'Seoul Art College', 'Shin Hak - yong', ""the National Assembly 's"", 'Seoul Art College', 'the Supreme Court']",1,"[ 0.          0.          0.         ... -0.60921556  0.15123425
 -0.08979201]"
3,3,Ahn reveals new party plan,"Former opposition presidential candidate Rep. Ahn Cheol-soo on Monday announced his plan to form a new party by early February and pledged to build a robust opposition bloc to eventually form the next administration.　　“I have so far failed to meet the people’s expectations to change politics and the nation,” said Ahn in a televised press conference. “I owe it to the people and my supporters. The only way to rep...","Former opposition presidential candidate Rep. Ahn Cheol-soo on Monday announced his plan to form a new party by early February and pledged to build a robust opposition bloc to eventually form the next administration.“I have so far failed to meet the people’s expectations to change politics and the nation,” said Ahn in a televised press conference. “I owe it to the people and my supporters. The only way to repay the debt is to achieve a change of government and practice new politics that transforms people’s lives.”With some dissenting opposition lawmakers weighing the option to join Ahn, who bolted from the main opposition New Politics Alliance for Democracy on Dec. 13th, his new party is aiming to emerge as a third party in the April 13 general elections.  Rep. Ahn Cheol-soo on speaks during a press conference held at the National Assembly on Monday. (Yonhap)While Ahn dismissed the possibility of merging with the NPAD in the run-up to the elections, the businessman-turned-politician highlighted that he would join forces with the NPAD dissenters who had already left the party. A total of seven NPAD lawmakers have left the party since its leader Rep. Moon Jae-in took the helm in February. Among them, Reps. Moon Byeong-ho, Yoo Sung-yop, Hwang Ju-hong and Kim Dong-cheol quit the party in the wake of Ahn’s defection. They flanked Ahn at the press conference to show their support.The four dissenters expected that several more dissenting lawmakers would follow them, noting that Ahn’s burgeoning popularity in opinion polls would encourage the lawmakers to join Ahn’s camp -- particularly those representing the NPAD stronghold of South Jeolla province. “I think one or two NPAD lawmakers will leave this week,” said Moon Byung-ho. “I think (the NPAD lawmakers) are agonizing over their next move because Ahn’s approval ratings among voters in the Jeolla provinces has been soaring. The region will emerge as the center of a typhoon,” he added. Among the eight seats in Gwangju, the capital city of South Jeolla Province, the number of seats held by the NPAD was reduced to five as Reps. Chun Jung-bae, Park Joo-sun and Kim Dong-chul left the party. The remaining five are reportedly considering following suit, except for Rep. Kang Gi-Jung. By region, Ahn’s new party recorded the highest approval rating of 31 percent in Gwangju in a survey conducted by local pollster Realmeter on Monday. The polls showed that Ahn’s future party’s approval rating came in at third with 16.3 percent, following the NPAD’s 25.7 percent and the Saenuri Party’s 38.2 percent. While setting his new party’s objective of winning the 2017 presidential elections, Ahn vowed to create a third opposition group that can prevent the Saenuri Party from gaining more than 200 seats, the mark for an overwhelming majority in the Assembly, in the 2016 general elections. Observers noted that the fate of Ahn’s new political party would determine whether the third party would succeed in South Korea’s political landscape, where two major parties have mostly enjoyed supremacy against independents attempting to create a third party. Except for the late President Kim Dae-jung’s defection from the then-main opposition Democratic Party in 1995 -- he had created his own party, National Congress for New Politics, and emerged as the biggest opposition in the 1995 general elections -- the defectors’ attempt to replace the main opposition have failed. “Ahn’s new party will serve as a watershed moment for the Korean political system; whether it can transition from a two-party system to a multiparty system,” said Choi Jin, the chairman of the Institute of Presidential Leadership.“Due to the legacy of the military dictatorship, third parties have struggled to establish themselves and ended up being minor parties. But things have been changing in favor of the creation of a third party, as diverse voices are springing up in the pluralist Korean society,” said Choi. Other observers, such as Kim Jong-in, the former senior presidential secretary for economic affairs who lured Ahn into politics in 2011 when Ahn became popular among young voters, dismissed the possibility that Ahn’s new party would emerge as a significant political group in the elections. “In politics, image is not everything. I think Ahn has proved nothing since 2011. His new party would gain some seats in the South Jeolla Province and Seoul metropolitan areas. But the election would ultimately come down to the rivalry between the Saenuri Party and the NPAD,” said Kim in a media interview. By Yeo Jun-suk (jasonyeo@heraldcorp.com)","winning the 2017 presidential elections ,opposition presidential candidate rep ,since 2011 his new party ,government and practice new politics ,opposition presidential candidate rep ahn","['Ahn Cheol', 'Ahn', 'New Politics Alliance for Democracy', 'Ahn Cheol', 'the National Assembly', 'NPAD', 'NPAD', 'Moon Jae - in', 'Moon Byeong - ho', 'Yoo Sung - yop', 'Hwang Ju - hong', 'Kim Dong - cheol', 'Ahn ’s', 'Ahn ’s', 'Ahn ’s', 'South Jeolla', 'NPAD', 'Moon Byung - ho', 'NPAD', 'Ahn ’s', 'Jeolla', 'South Jeolla Province', 'Chun Jung - bae', 'Kim Dong - chul', 'Kang Gi - Jung', 'Ahn ’s', 'realmeter', 'Ahn ’s', 'NPAD', 'the Saenuri Party ’s', 'Ahn', 'the Saenuri Party', 'Assembly', 'Ahn ’s', 'South Korea ’s', 'Kim Dae - jung ’s', 'Democratic Party', 'National Congress for New Politics', 'ahn ’s', 'korean', 'Choi Jin', 'the Institute of Presidential Leadership', 'korean', 'Choi', 'Kim Jong - in', 'Ahn ’s', 'Ahn', 'Seoul', 'the Saenuri Party', 'Kim', 'Yeo Jun - suk']",1,"[ 2.          0.          0.         ... -0.08641682  0.67935318
  0.46837968]"
4,4,Three opposition lawmakers quit NPAD,"Three main opposition lawmakers Thursday bolted from the New Politics Alliance for Democracy following the defection of Rep. Ahn Cheonl-soo, who had left the party over a power struggle with the current party leader Rep. Moon Jae-in. 　They were the first to follow behind Ahn in leaving the party after several other dissenters retracted their initial decisions to defect and decided to stay for the sake of an oppositi...","Three main opposition lawmakers Thursday bolted from the New Politics Alliance for Democracy following the defection of Rep. Ahn Cheonl-soo, who had left the party over a power struggle with the current party leader Rep. Moon Jae-in. They were the first to follow behind Ahn in leaving the party after several other dissenters retracted their initial decisions to defect and decided to stay for the sake of an opposition victory in next year’s general elections. Reps. Moon Byung-ho, Yoo Sung-yop, and Hwang Ju-hong -- who had warned of their defection since Ahn left the NPAD on Dec. 13 -- vowed to create a new opposition bloc with other dissenters who had already left the NPAD or are planning to quit the party. “We are leaving the NPAD to walk the path of victory and reunite the opposition bloc,” Moon said in a news conference at the National Assembly. “We will gather forces from the people who agree with us and create a new political group to realign the opposition bloc,” said Moon. But the prospects of their plan to rival the established parties remained to be seen as the majority of the NPAD dissenters, who have echoed the defectors’ criticism against the current NPAD leadership, were seen to be reluctant to follow their lead. Representatives Hwang Ju-hong (center), Moon Byung-ho (left) and Yoo Sung-yop talk to reporters after a press conference announcing their NPAD defection at the National Assembly on Thursday. YonhapExcept for Rep. Kim Dong-cheol, who is reportedly considering leaving the party, there have been no other NPAD lawmakers inside or outside the mainstream suggesting they would quit the party in the foreseeable future. Even Rep. Song Ho-chang, who had worked for Ahn’s presidential campaign in 2012, has decided to stay. As an opinion poll released by local pollster Realmeter showed Wednesday that the NPAD’s approval ratings were almost double that of Ahn’s prospective party, some dissenters cautioned that more defections would lead to a division of the opposition -- a scenario that has led to election defeats in the past. “South Korea’s political structure is based on two major political parties whose support comes from regional divisions,” said Rep. Kim Boo-kyum, another NPAD dissenter who decided to remain at the party. “Third parties have always raised hopes for a new kind of politics, but they often gave up midway,” said Kim.  For example, the divided opposition bloc suffered a crushing defeat in the 1996 general election as then-main opposition Democratic Party split into two opposition groups -- National Congress for New Politics and Unified Democratic Party. Mindful of the scenario, the three defectors have yet to outline their next move -- whether they will join forces with Ahn or other NPAD defectors, such as Rep. Chung Jung-bae, who has recently created his own minor party, or Rep. Park Joo-sun, who on Thursday stressed the imperativeness of the dissenters forming a single opposition bloc. Meanwhile, NPAD third-term lawmaker Rep. Choi Jae-sung announced Thursday that he would not run in the election. The move was considered to be in support of chairman Moon’s reform initiatives that he vowed to uphold in Wednesday’s press conference to keep the house in order.Moon has said he would adopt a bottom-up approach for nominating candidates for the 2016 general elections amid calls for the established NPAD members to forgo their run to make way for fresh faces. Moon had warned that NPAD lawmakers categorized in the bottom 20 percent in their job performance reviews would be deprived of the opportunity to stand for reelection. Among the dissenting lawmakers, Hwang and Yoo refused to undergo the review.By Yeo Jun-suk (jasonyeo@heraldcorp.com)","opposition lawmakers thursday bolted from ,three main opposition lawmakers thursday ,main opposition lawmakers thursday bolted ,lawmakers thursday bolted from the ,opposition lawmakers thursday bolted","['the New Politics Alliance for Democracy', 'Ahn Cheonl', 'Moon Jae - in', 'Ahn', 'Moon Byung - ho', 'Yoo Sung - yop', 'Hwang Ju - hong', 'Ahn', 'NPAD', 'NPAD', 'Moon', 'the National Assembly', 'Moon', 'NPAD', 'NPAD', 'Hwang Ju - hong', 'Moon Byung - ho', 'Yoo Sung - yop', 'NPAD', 'the National Assembly', 'Kim Dong - cheol', 'NPAD', 'Song Ho - chang', 'Ahn ’s', 'Ahn ’s', 'South Korea ’s', 'Kim Boo - kyum', 'NPAD', 'Kim', 'Democratic Party', 'National Congress for New Politics and Unified Democratic Party', 'NPAD', 'Chung Jung - bae', 'Park Joo', 'Choi Jae - sung', 'Moon', 'Moon', 'NPAD', 'Moon', 'NPAD', 'Hwang', 'Yoo', 'Yeo Jun - suk']",4,"[ 0.          0.          0.         ... -0.77469218  0.7211054
  0.30317143]"
5,5,Three opposition lawmakers quit party,"Three opposition lawmakers quit their party on Thursday, dealing another blow to the opposition in the disarray following a high-profile departure of its former co-chairman.  Reps. Moon Byung-ho, Yoo Sung-yop, and Hwang Ju-hong said they are leaving the main opposition New Politics Alliance for Democracy to reorganize the opposition bloc.  ""I will walk down the path of victory and to reunify the opposition bloc b...","Three opposition lawmakers quit their party on Thursday, dealing another blow to the opposition in the disarray following a high-profile departure of its former co-chairman.  Reps. Moon Byung-ho, Yoo Sung-yop, and Hwang Ju-hong said they are leaving the main opposition New Politics Alliance for Democracy to reorganize the opposition bloc.  ""I will walk down the path of victory and to reunify the opposition bloc by leaving the NPAD,"" Moon said in a news conference at the National Assembly.  The departure lowers the number of seats held by the opposition party in the 300-member parliament from 126 to 123.   The move came four days after Ahn Cheol-soo, who co-led the NPAD last year, announced his departure following internal strife with incumbent Chairman Moon Jae-in.  Ahn had called for Moon's resignation and party reform following the NPAD's crushing defeat in the parliamentary by-elections in April. He left the party when negotiations with Moon over a leadership change fell through.  The three also voiced concerns about the party ahead of the general elections slated for next April, saying that the incumbent chairman is not showing any sign of change in order to overhaul the embattled party.  A stream of similar desertions from the NPAD is expected with some assuming up to 20 NPAD lawmakers may follow suit by the end of this year.  Ahn, the founder of the nation's largest anti-virus software firm Ahnlab Co., co-founded the NPAD with former Chairman Kim Han-gil and Moon, after merging the main opposition Democratic Party and his supporters. (Yonhap)","three opposition lawmakers quit their ,quit their party on thursday ,three opposition lawmakers quit ,lawmakers quit their party on ,opposition lawmakers quit their party","['Moon Byung - ho', 'Yoo Sung - yop', 'Hwang Ju - hong', 'New Politics Alliance for Democracy', 'Moon', 'the National Assembly', 'Ahn Cheol', 'Moon Jae - in', 'Moon', 'Moon', 'NPAD', 'NPAD', 'Ahnlab Co.', 'Kim Han - gil', 'Moon', 'Democratic Party']",1,"[ 1.          0.          0.         ... -0.78405935  0.1524221
  0.31206599]"
6,6,Ahn issues ultimatum on change,Factional infighting at the main opposition party showed no signs of abating as the party’s former cochairman Rep. Ahn Cheol-soo on Sunday reiterated his call for an early convention to replace current chairman Rep. Moon Jae-in.　Ahn of the New Politics Alliance for Democracy demanded last week that a party caucus be held by January to select a new leadership before the April 13 general election. Moon rejected the i...,"Factional infighting at the main opposition party showed no signs of abating as the party’s former cochairman Rep. Ahn Cheol-soo on Sunday reiterated his call for an early convention to replace current chairman Rep. Moon Jae-in.Ahn of the New Politics Alliance for Democracy demanded last week that a party caucus be held by January to select a new leadership before the April 13 general election. Moon rejected the idea Thursday but instead accepted a set of reform measures suggested by Ahn three months ago. Ahn, again, called on Moon to reconsider.“This is not the time to cling to one’s vested rights. … Let me know clearly if you have no intention to transform our party together … (Accepting my reform measures) is not enough to overcome the crisis that the party faces,” Ahn said in a press conference, reiterating the need for Moon’s referendum. The power struggle between Moon and Ahn is seen as fueling the factional divide in the NPAD, which is beset by flagging support and threats from dissenting lawmakers that they will leave the party unless changes are made. Since Moon took office in February, the NPAD has seen a string of liberal heavyweights’ departures. Rep. Chun Jung-bae defected in March in protest against Moon’s refusal to nominate him for the 2015 April by-elections. Third-term lawmaker Rep. Park Joo-sun left the party in September amid Moon’s push to overhaul the party in the wake of by-election defeats. With over a year left in Moon’s tenure as a party leader, sources described Ahn’s remark as an ultimatum to his former rival Moon, indicating Ahn would join the defectors unless Moon accepted his “final” proposal. Moon and Ahn had competed during 2012 presidential race.“I am not going to make any more suggestions or proposals. … If Moon is reelected, I will endorse the decision and give my full support to him. I sincerely urge Moon to consider what is best for the party,” Ahn said.Ahn highlighted that the referendum on Moon’s leadership was the only option to reassure the voters and the NPAD members in the run-up to the general election, refuting Moon’s dismissal that his plan was an attempt to deepen party divisions.   Former NPAD chairman Rep. Ahn Cheol-soo on Sunday helds press conference at the National Assembly. YonhapMoon did not immediately respond to Ahn’s challenge, saying he would “not speak today” about Ahn’s press conference.Public opinion remained split over the issue. According to the survey of local pollster Realmeter released on Thursday, 32.9 percent of NPAD supporters endorsed Moon’s leadership, outweighing 21.4 percent of those who approved Ahn’s referendum move. More unaffiliated voters, meanwhile, supported Ahn’s plan with 36.4 percent agreeing to it.The two NPAD heavyweight’s feud escalated after Moon asked Ahn to join a three-way coalition leadership with Seoul Mayor Park Won-soon on Nov. 18. Ahn rejected the proposal and insisted on holding a party caucus to overhaul the leadership. The NPAD has been pushing to overhaul the party with a tougher in-house nomination procedure and ethical regulations in light of heavy factional fighting and repeated election defeats. Observers have forecast another major defeat by the NPAD against the Saenuri in the April general election based on current approval ratings. According to a Dec. 3 survey from local pollster Realmeter, the NPAD’s ratings came at 27.1 percent, while the ruling Saenuri Party recorded 43.9 percent.On Thursday, the NPAD leader had vowed to strengthen his grip on the party’s governance. Moon said he would oversee the committee recruiting candidates for the parliamentary race and that he would refer them to the party for transparent nominations. Moon also pledged he would hold accountable those who refuse to undergo the party’s review board for the nomination. As an example, Moon urged the party’s ethics committee to discipline Rep. Yoo Sung-yup and Hwang Ju-hong, who refused to participate in the review process.  The latest move has been to change the party’s name. With 73 percent of its members supporting the change, the party will gather public opinion about the new name from Dec. 7-14. The party will select the name through the votes of NPAD members and a public survey.By Yeo Jun-suk (jasonyeo@heraldcorp.com)","the general election refuting moon ,april 13 general election moon ,elections third term lawmaker rep ,general election refuting moon dismissal ,march in protest against moon","['Ahn Cheol', 'Moon Jae - in', 'the New Politics Alliance for Democracy', 'Moon', 'Moon', 'Moon ’s', 'Moon', 'Moon', 'NPAD', 'Chun Jung - bae', 'Moon ’s', 'Park Joo', 'Moon ’s', 'Moon', 'Ahn ’s', 'Moon', 'Ahn', 'Moon', 'Moon', 'Ahn', 'Moon', 'Moon', 'Moon ’s', 'NPAD', 'Moon ’s', 'Ahn Cheol', 'the National Assembly', 'YonhapMoon', 'Ahn ’s', 'Ahn ’s', 'NPAD', 'Moon ’s', 'Ahn ’s', 'Ahn ’s', 'NPAD', 'Moon', 'Ahn', 'Seoul', 'Park Won - soon', 'NPAD', 'NPAD', 'Saenuri', 'realmeter', 'NPAD ’s', 'Saenuri Party', 'NPAD', 'Moon', 'Moon', 'Moon', 'Yoo Sung - yup', 'Hwang Ju - hong', 'NPAD', 'Yeo Jun - suk']",7,"[ 2.          0.          1.         ... -0.19012132  0.25978297
  0.40409985]"
7,7,Political parties discuss 2016 budget to meet legal deadline,"The rival parties continued to discuss the government's budget proposal for next year on Tuesday, and appeared to have resolved many of their differences.The 387.7 trillion won ($333 billion) budget for 2016, larger than the 375.4 trillion won that was earmarked for 2015, was submitted by the government in September. The 2016 budget bill will be tabled at the National Assembly's plenary session slated for Wednesday, ...","The rival parties continued to discuss the government's budget proposal for next year on Tuesday, and appeared to have resolved many of their differences.The 387.7 trillion won ($333 billion) budget for 2016, larger than the 375.4 trillion won that was earmarked for 2015, was submitted by the government in September. The 2016 budget bill will be tabled at the National Assembly's plenary session slated for Wednesday, the deadline set by the Constitution.""Most of the issues have been wrapped up through negotiations this morning,"" said a ruling party lawmaker of a parliamentary budget committee, requesting not to be named.The parties plan to hold multiple meetings just before Wednesday's session, and plan to table a revision of the government's proposal before putting it to a vote. The compromise plan is likely to be around 387.6 trillion won, 100 billion won less than the government's proposal.The Assembly is notorious for its end-of-year tug-of-war over the government's budget for the following year, with rival parties often clashing over items on the bill that sometimes lead to physical fights as well as sit-ins inside Parliament.Last year, the National Assembly passed the government's 2015 budget bill, meeting the legal deadline for the first time in 12 years. (Yonhap)","government 2015 budget bill meeting ,plenary session slated for wednesday ,trillion won 333 billion budget ,multiple meetings just before wednesday ,meetings just before wednesday session","[""the National Assembly 's"", 'Assembly', 'Parliament', 'the National Assembly']",9,"[ 0.          0.          0.         ... -0.21975787  0.1921057
  0.23919022]"
8,8,Lawmaker accused of alleged influence-peddling over son's graduation,"An opposition party lawmaker was accused by a lawyer on Monday for allegedly exercising undue influence to help his son who failed the graduation exam at a law school.Bae Seung-hee, 33, filed the complaint against Rep. Shin Ki-nam of the New Politics Alliance for Democracy with the Seoul Central District Prosecutors' Office on charges of coercion, abuse of power and obstruction of duty.There have been media speculati...","An opposition party lawmaker was accused by a lawyer on Monday for allegedly exercising undue influence to help his son who failed the graduation exam at a law school.Bae Seung-hee, 33, filed the complaint against Rep. Shin Ki-nam of the New Politics Alliance for Democracy with the Seoul Central District Prosecutors' Office on charges of coercion, abuse of power and obstruction of duty.There have been media speculations that the 63-year-old visited the dean of Kyung Hee University Law School in Seoul a few days after the school announced the list of eight students who failed the exam, including his son. Those that do not pass are supposed to lose the chance to take the bar exam.Shin insisted in a press release that it was not meant to pressure school officials but was only to understand the situation as a parent.Bae criticized Shin for abusing his power in order to make his child a lawyer, despite his status as the people's representative. ""If a person who did not even pass the graduation test becomes a lawyer, it would be the clients that would eventually become victims,"" Bae added. (Yonhap)","lawyer on monday for allegedly ,who failed the graduation exam ,accused by lawyer on monday ,monday for allegedly exercising undue ,son who failed the graduation","['Bae Seung - hee', 'Shin Ki - nam', 'the New Politics Alliance for Democracy', ""the Seoul Central District Prosecutors ' Office"", 'Kyung Hee University Law School', 'Seoul', 'Shin']",11,"[ 0.          0.          0.         ... -0.157656   -0.31861785
  0.32541904]"
9,9,Ahn rejects offer of joint leadership for embattled party,"Rep. Ahn Chul-soo, an opposition heavyweight, on Sunday rejected an offer of a joint leadership system, calling for an early convention to select a new leader.Rep. Moon Jae-in, head of the main opposition New Politics Alliance for Democracy, earlier proposed a three-way joint leadership with Ahn and Seoul Mayor Park Won-soon.The offer was a desperate bid to end drawn-out internal wrangling and win the minds of voters...","Rep. Ahn Chul-soo, an opposition heavyweight, on Sunday rejected an offer of a joint leadership system, calling for an early convention to select a new leader.Rep. Moon Jae-in, head of the main opposition New Politics Alliance for Democracy, earlier proposed a three-way joint leadership with Ahn and Seoul Mayor Park Won-soon.The offer was a desperate bid to end drawn-out internal wrangling and win the minds of voters.A sense of crisis is palpable inside the liberal party ahead of the general elections slated for April next year.Some analysis shows the NPAD will get only 70-80 seats in the 300-member parliament.Moon, Ahn and Park, all considered as presidential aspirants, have come under growing pressure to save the embattled party, which has lost a series of recent elections to the ruling Saenuri Party.Park accepted Moon's suggestion.But Ahn, an entrepreneur-turned-politician, stressed Moon's offer is insufficient.""More audacious and fundamental changes are necessary,"" he said in a press conference at the National Assembly.He counter-proposed a ""reform convention"" to compete with Moon and other party members seeking the leadership of the party.""To say nothing of the 2017 presidential elections, the outlook for the 2016 general elections is gloomy,"" he said. ""Bigger changes are needed.""Moon immediately expressed regret over Ahn's decision, saying he still believes a joint leadership system is ""the most realistic way"" for reform and unity of the party.""It's regrettable,"" he told reporters. As to Ahn's proposal, Moon said he would make a decision after ""listening to opinions"" of party officials. (Yonhap)","an opposition heavyweight on sunday ,opposition heavyweight on sunday rejected ,general elections slated for april ,turned politician stressed moon offer ,opposition heavyweight on sunday","['Ahn Chul -', 'Moon Jae - in', 'New Politics Alliance for Democracy', 'Seoul', 'Park Won - soon', 'NPAD', 'Moon', 'Ahn and Park', 'Saenuri Party', 'Moon', 'Moon', 'the National Assembly', 'Moon', 'Ahn', 'Ahn', 'Moon']",1,"[ 0.          0.          1.         ... -0.61591107  0.13162844
  0.22511029]"
