,Unnamed: 0,title,description,body,keyword,ne,cluster,vector
0,0,China warns Korean journalists over reporting along North Korean,"Chinese authorities have warned that South Korean journalists could face an unspecified ""stern measure"" if they report along the sensitive border between North Korea and China without prior permission, an official at the South Korean Embassy in Beijing said Wednesday. The warning came less than a week after South Korean journalists reported about activities of trade between North Korea and China in the Chinese border...","Chinese authorities have warned that South Korean journalists could face an unspecified ""stern measure"" if they report along the sensitive border between North Korea and China without prior permission, an official at the South Korean Embassy in Beijing said Wednesday. The warning came less than a week after South Korean journalists reported about activities of trade between North Korea and China in the Chinese border city of Dandong, following a sudden cancellation of a concert in Beijing by a North Korean female band earlier this month. Chinese authorities have notified the South Korean Embassy that the recent media report was made ""without prior permission from a local Chinese government,"" the official said on the condition of anonymity, citing sensitivity of the issue. ""The Chinese side said it will take stern measures in line with relevant regulations if it detects illegal reporting activities in the future along the border with North Korea,"" the official said.China is always sensitive about security of its border with its ally North Korea. China bans foreign journalists from reporting inside the country without journalist visas and often expels or jails foreign reporters working without proper credentials. (Yonhap)","cancellation of concert in beijing ,week after south korean journalists ,embassy in beijing said wednesday ,band earlier this month chinese ,korea china bans foreign journalists","['chinese', 'south korean', 'North Korea', 'China', 'the south Korean Embassy', 'Beijing', 'south korean', 'North Korea', 'China', 'chinese', 'Dandong', 'Beijing', 'north korean', 'chinese', 'the south Korean Embassy', 'chinese', 'chinese', 'North Korea', 'China', 'North Korea', 'China']",17,"[ 5.          2.          4.         ... -0.42768073  0.4678562
  0.01633484]"
1,1,Cabinet OKs Air Force reorganization plan,"The Air Force will reorganize its hitherto geographically arranged command structure into a function-based one to enhance efficiency in peacetime and wartime aerial operations, officials said Tuesday.The plan was endorsed at the Cabinet meeting, which was presided over by President Park Geun-hye.Under the plan, the Air Force Operations Command will have two major subordinate units -- the Air Combat Command and the Ai...","The Air Force will reorganize its hitherto geographically arranged command structure into a function-based one to enhance efficiency in peacetime and wartime aerial operations, officials said Tuesday.The plan was endorsed at the Cabinet meeting, which was presided over by President Park Geun-hye.Under the plan, the Air Force Operations Command will have two major subordinate units -- the Air Combat Command and the Air Mobility & Reconnaissance Command, whose roles are divided by combat role, rather than geographical location. Currently, the Air Force Operations Command has geographically arranged units such as the Southern and Northern Combat Commands.The Air Combat Command, which is expected to be stationed in Daegu, will be in charge of running fighter jets, officials said. The Air Mobility and Reconnaissance Command, which is likely to be located in Osan, Gyeonggi Province, will be in charge of operating transport, reconnaissance and trainer aircraft.The need for an overhaul of the command structure has been raised for some time with officials and experts arguing that in the small operational zone of the Korean Peninsula, dividing the command structure according to region was not suitable for optimal aerial operations. In an emergency, F-15K fighters, based in Daegu, and KF-16s, based in Seosan, South Chungcheong Province, are to be mobilized for the same mission, which means the function-based command structure would better cope with aerial threats than specific commands for different regions. The change in the command structure has been caused mainly by Seoul’s recent and future procurement of a series of advanced Air Force assets, including airborne command and control aircraft, which have increased operational mobility and flexibility, and decreased the need to divide operational areas according to region. The South Korean military plans to introduce refueling tankers, high-altitude and low-altitude unmanned reconnaissance aircraft and stealth fighter jets, which will increase the need for a function-based command structure.By Song Sang-ho (sshluck@heraldcorp.com)","officials said tuesday the plan ,the air force will reorganize ,aerial operations officials said tuesday ,military plans to introduce refueling ,endorsed at the cabinet meeting","['the Air Force', 'Cabinet', 'Park Geun', 'the Air Force Operations Command', 'the Air Combat Command', 'the Air Mobility & Reconnaissance Command', 'the Air Force Operations Command', 'southern', 'the Air Combat Command', 'Daegu', 'the Air Mobility and Reconnaissance Command', 'Osan', 'Gyeonggi Province', 'Daegu', 'KF-16s', 'Seosan', 'South Chungcheong Province', 'Seoul', 'Air Force', 'south korean', 'Song Sang - ho']",0,"[ 0.          1.          0.         ... -0.44550198  0.6035136
  0.23704277]"
2,2,Korea to intensify passenger pre-screening prior to flying,"South Korea said Tuesday it will ban potential terrorists or other dangerous passengers from boarding any plane bound for the Asian country at the point of departure.The Ministry of Justice said it will analyze passenger information before airlines issue boarding passes to restrict inappropriate ones, such as terrorists, from flying into South Korea.The move will take effect in January. South Korea is also pushing fo...","South Korea said Tuesday it will ban potential terrorists or other dangerous passengers from boarding any plane bound for the Asian country at the point of departure.The Ministry of Justice said it will analyze passenger information before airlines issue boarding passes to restrict inappropriate ones, such as terrorists, from flying into South Korea.The move will take effect in January. South Korea is also pushing for an anti-terrorism bill following the deadly attacks in Paris that killed more than 120 people.South Korea recently deported three Indonesians for their associations with a terrorist group affiliated with al-Qaida.Currently, South Korea is pre-screening passengers who use South Korean carriers at eight airports in five countries, including Nagoya Airport in Japan, in a test operation.South Korea plans to extend the pre-screening of passengers to other airports in 2016.The Immigration Bureau has until now been receiving passenger information through a passenger information system only after take-off, making offenses on board the planes difficult to prevent.In September, the ministry made a pre-announcement of a bill revision that would mandate carriers to provide passenger information to the ministry for approval before issuing tickets. (Yonhap)","korea recently deported three indonesians ,terrorists from flying into south ,south korea recently deported three ,korea recently deported three ,korean carriers at eight airports","['South Korea', 'asian', 'the Ministry of Justice', 'South Korea', 'South Korea', 'Paris', 'South Korea', 'Indonesians', 'al - Qaida', 'South Korea', 'south korean', 'Japan', 'South Korea', '2016.the Immigration Bureau']",15,"[ 0.          1.          0.         ... -0.36961809  0.74340552
 -0.47569087]"
3,3,Pyongyang puts off party congress till Oct. 10,"North Korea has postponed a major communist party congress until Oct. 10 next year, according to Pyongyang's state media Wednesday.  During a report on leader Kim Jong-un's inspection of a catfish farm, the Korean Central News Agency said the 7th Congress of the Workers' Party will be held on Oct. 10.  The KCNA said earlier the event, which would be the first of its kind in 36 years, would take place in early May...","North Korea has postponed a major communist party congress until Oct. 10 next year, according to Pyongyang's state media Wednesday.  During a report on leader Kim Jong-un's inspection of a catfish farm, the Korean Central News Agency said the 7th Congress of the Workers' Party will be held on Oct. 10.  The KCNA said earlier the event, which would be the first of its kind in 36 years, would take place in early May.  The reason for the delay is not yet known. (Yonhap)","congress until oct 10 next ,korea has postponed major communist ,state media wednesday during report ,party congress until oct 10 ,north korea has postponed major","['North Korea', 'Pyongyang', ""Kim Jong - un 's"", 'the Korean Central News Agency', ""Congress of the Workers ' Party"", 'KCNA']",12,"[ 0.          0.          1.         ... -0.70343554  0.6374597
  0.34347284]"
4,4,Korean Peninsula conflicts will be trans-regional fights: U.S. JCS chief,"A conflict on the Korean Peninsula will no longer be limited to the peninsula as North Korea has developed ballistic missile, cyber and other capabilities, the top American military official said Monday.  Joint Chiefs of Staff Chairman Gen. Joseph Dunford made the remark during a defense conference, stressing that the U.S. should be prepared to fight ""trans-regional, multi-domain and multi-functional"" conflicts.  ...","A conflict on the Korean Peninsula will no longer be limited to the peninsula as North Korea has developed ballistic missile, cyber and other capabilities, the top American military official said Monday.  Joint Chiefs of Staff Chairman Gen. Joseph Dunford made the remark during a defense conference, stressing that the U.S. should be prepared to fight ""trans-regional, multi-domain and multi-functional"" conflicts.  ""If you would have thought about the Korean Peninsula some years ago, you would have thought about a conflict that we would have hoped to isolate on the Korean Peninsula. And then as the North Koreans developed ballistic missile capability, well, obviously that's started to affect other regional actors such as Japan,"" the general said.  ""So no longer could you hope to isolate a conflict on the peninsula,"" he said. ""As you start to look at intercontinental ballistic technology, cyber capabilities, space capabilities, information operations and so forth, it's pretty hard to see how even a regional conflict would actually be anything other than trans-regional, multi-domain and multi-functional.""  Dunford also said he believes the U.S. planning or organizational construct in our command and control ""is not really optimized for that fight,"" but he did not elaborate. (Yonhap)","american military official said monday ,korea has developed ballistic missile ,north korea has developed ballistic ,military official said monday joint ,the north koreans developed ballistic","['North Korea', 'american', 'Joseph Dunford', 'U.S.', 'Korean', 'North Koreans', 'Japan', 'U.S.']",12,"[ 0.          0.          1.         ... -0.34327823  0.33639711
  0.13934207]"
5,5,U.S. broadly agrees to transfer fighter jet technologies: ministry,"The United States has agreed within a ""broad framework"" to transfer a set of technologies needed for South Korea's indigenous fighter jet program, the Ministry of National Defense said Wednesday.  A South Korean government delegation visited Washington last week for talks with U.S. defense giant Lockheed Martin amid reports that the U.S. is reluctant to transfer three of the 21 technologies under discussion.  Sou...","The United States has agreed within a ""broad framework"" to transfer a set of technologies needed for South Korea's indigenous fighter jet program, the Ministry of National Defense said Wednesday.  A South Korean government delegation visited Washington last week for talks with U.S. defense giant Lockheed Martin amid reports that the U.S. is reluctant to transfer three of the 21 technologies under discussion.  South Korea agreed with Lockheed Martin last year to receive 25 combat jet technologies, but the U.S. decided earlier this year to not transfer four -- the active electronically scanned radar, infrared search-and-rescue system, electro-optical targeting pod and radio frequency jammer.   ""We agreed with the U.S. side under a broad framework to receive 21 technologies,"" ministry spokesman Kim Min-seok said. ""We plan to continue to hold additional talks over details that need technological refinement as we carry out the program.""  The government plans to launch the $15-billion program, codenamed KF-X, following last week's talks.  The U.S. reaffirmed its maximum support for the project, the spokesman added. (Yonhap)","wednesday south korean government delegation ,washington last week for talks ,receive 25 combat jet technologies ,defense said wednesday south korean ,korean government delegation visited washington","['the United States', ""South Korea 's"", 'the Ministry of National Defense', 'south korean', 'Washington', 'U.S.', 'Lockheed', 'Martin', 'U.S.', 'South Korea', 'Lockheed Martin', 'U.S.', 'U.S.', 'Kim Min -', 'KF - X', 'U.S.']",1,"[ 0.          1.          0.         ... -0.41575634  0.84045744
  0.23894672]"
6,6,Gov't to hike fines on boats violating navigation rules,"The government will sharply increase fines slapped on boats that violate safe navigation rules in the face of growing public awareness for maritime accidents, the maritime ministry said Tuesday.  Penalties for not adhering to set rules or disregarding oversight by authorities can lead to a fine of upwards of 10 million won ($8,500) starting on Dec. 23. This is up fivefold from the present 2 million won, according t...","The government will sharply increase fines slapped on boats that violate safe navigation rules in the face of growing public awareness for maritime accidents, the maritime ministry said Tuesday.  Penalties for not adhering to set rules or disregarding oversight by authorities can lead to a fine of upwards of 10 million won ($8,500) starting on Dec. 23. This is up fivefold from the present 2 million won, according to the Ministry of Oceans and Fisheries.  Under the changes, boats and ships that enter South Korean controlled waters that fail to respond to hails or do not listen to orders issued by controllers could be fined a maximum 3 million won.  The changes to the country's Maritime Safety Act passed by the Cabinet also outlines making the names and the identification numbers of boats, and the shipping companies that own the vessels involved in serious accidents public every quarter.  Serious accidents refer to deaths and people who go missing during a trip, as well as those involved in collisions, sinkings and loss of power that requires the disabled boats to be towed to safety. Large oil spills will also be viewed as a major accident and will be disclosed to the general public.  ""The goal of the changes is to raise safety-related awareness of crew members and vessel operators, and compel them to be more mindful when operating boats,"" the ministry said.  The latest measures come after the tragic sinking of the Sewol ferry in April 2014 off South Korea's southwestern coast that left more than 300 people dead. Most of those that died were high school students on a field trip. (Yonhap)","increase fines slapped on boats ,government will sharply increase fines ,public every quarter serious accidents ,accidents public every quarter serious ,serious accidents public every quarter","['the Ministry of Oceans', 'Fisheries', 'south Korean', 'Cabinet', ""South Korea 's""]",2,"[ 0.          0.          0.         ... -0.35013318 -0.14401108
  0.11159055]"
7,7,Japan denies reports suspecting Korean link to war shrine blast,"Japanese law enforcement officials have denied news reports that cast suspicion on a South Korean national for a recent explosion at a Tokyo war shrine, police said Thursday.  Japanese police have not yet identified the suspect who caused the blast at the Yasukuni Shrine on Nov. 23, and thus do not have a plan to collaborate with South Korean authorities, an official from the National Police Agency said, quoting a ...","Japanese law enforcement officials have denied news reports that cast suspicion on a South Korean national for a recent explosion at a Tokyo war shrine, police said Thursday.  Japanese police have not yet identified the suspect who caused the blast at the Yasukuni Shrine on Nov. 23, and thus do not have a plan to collaborate with South Korean authorities, an official from the National Police Agency said, quoting a Japanese official.  There has been speculation from Japanese news media that a man caught on surveillance cameras right after the explosion was a South Korean in his 30s and that he had returned to South Korea.  South Korea and China view the Yasukuni Shrine -- which honors over 2.4 million war dead, including 14 convicted Class-A war criminals -- as a symbol of Japan's past imperialism.  The Foreign Ministry said it is closely monitoring related media reports and Japan's investigation into the case.  ""We have not yet been formally informed of the results of the investigation or received a request for cooperation from the Japanese government,"" ministry spokesman Cho June-hyuck said during a press briefing. (Yonhap)","korean national for recent explosion ,police said thursday japanese police ,officials have denied news reports ,speculation from japanese news media ,thursday japanese police have not","['japanese', 'south korean', 'Tokyo', 'japanese', 'south korean', 'the National Police Agency', 'japanese', 'japanese', 'south korean', 'South Korea', 'South Korea', 'China', 'Japan', 'the Foreign Ministry', 'Japan', 'japanese', 'Cho June - hyuck']",12,"[ 0.          3.          0.         ... -0.35717773  0.44731706
 -0.07443625]"
8,8,Korea to strengthen pilot mental health evaluation process,"South Korea will strengthen the evaluation process to check the mental health of its pilots to prevent another Germanwings type of tragedy, the government said Sunday.The Ministry of Land, Infrastructure and Transport said new guidelines will go into effect starting in December. Under the changes, the government will designate specialized hospitals and counseling clinics that can better ascertain the mental state of ...","South Korea will strengthen the evaluation process to check the mental health of its pilots to prevent another Germanwings type of tragedy, the government said Sunday.The Ministry of Land, Infrastructure and Transport said new guidelines will go into effect starting in December. Under the changes, the government will designate specialized hospitals and counseling clinics that can better ascertain the mental state of flyers on a regular basis. The ministry said the airlines will be required to more stringently check prospective pilots to make certain they have no criminal backgrounds and no history of mental illness.""All medical and mental records will be protected to ensure utmost privacy,"" it said. ""Airlines will make certain excessive work schedules of pilots do not affect performance and safety.""Companies will, moreover, be obliged to fully support psychological treatment of their pilots.The ministry said that despite initial opposition from pilot groups concerned about privacy issues, the differences were resolved through open dialogue that helped all sides to reach on understanding.The latest move is in reaction to the apparent suicide of the Germanwings co-pilot that resulted in the deaths of 150 people in March. The pilot is suspected of having deliberately flown his A321 jet into the French Alps.According to the U.S. Federal Aviation Administration, eight of the 2,758 aircraft crashes from 2003 through 2012 involved pilot suicide. (Yonhap)","pilots to prevent another germanwings ,more stringently check prospective pilots ,2012 involved pilot suicide yonhap ,tragedy the government said sunday ,government will designate specialized hospitals","['South Korea', 'germanwing', 'the Ministry of Land , Infrastructure and Transport', 'germanwing', 'A321', 'French', 'Alps', 'the U.S. Federal Aviation Administration']",2,"[ 0.          0.          0.         ... -0.3542394   0.71416223
  0.14190818]"
9,9,"Korea confirms VW emissions rigging, suspends sales","The government Thursday confirmed that Volkswagen used software to manipulate emissions levels in cars sold in Korea and ordered a recall of over 120,000 vehicles, a decision expected to lead to more lawsuits from local customers.The Environment Ministry said it found the defeat device software working in the Volkswagen Tiguan Euro 5 equipped with the EA189 engine. The device turned on the exhaust gas recirculation s...","The government Thursday confirmed that Volkswagen used software to manipulate emissions levels in cars sold in Korea and ordered a recall of over 120,000 vehicles, a decision expected to lead to more lawsuits from local customers.The Environment Ministry said it found the defeat device software working in the Volkswagen Tiguan Euro 5 equipped with the EA189 engine. The device turned on the exhaust gas recirculation system in the indoor test to fake the emissions levels and turned off the system in actual outdoor driving conditions, meaning excessive emissions were not detected, it said. This is the first time that Volkwagen’s emissions rigging has been officially confirmed outside the U.S. (AP-Yonhap)The ministry launched its own test last month to check whether six types of the diesel-engine Volkswagen vehicles sold here -- two Euro 5 cars and four Euro 6 vehicles -- met the emission standards in outdoor and indoor driving tests. “(The ministry) has not found the defeat device in the EA288 engine-equipped vehicles -- four Euro 6 cars and Golf Euro 5 -- for now, but further probe will be conducted for a final check,” a ministry official said. The ministry suspended the sales of unsold Volkswagen cars equipped with the same engine as the Tiguan Euro 5 and ordered a recall of 125,522 cars. It also imposed a penalty of 14.1 billion won ($12.3 million). The models subject to the recall order include the Tiguan and Beetle of Volkswagen and the Q6, Q3 and A4 of Audi. The German carmaker has also been told to submit its recall plan and antiemission measures to the government by Jan. 6. To encourage customers to return their cars, the ministry said it would distribute stickers to be attached to vehicles that have completed the recall procedure to remind those who have yet to bring their cars in. Specific plans on how to fix the vehicles have yet to be decided.The environmental authorities said the global carmaker appears to have rigged the emissions to reduce the car production cost amid toughened emissions regulations. Controlling emissions requires more advanced technology that raises costs, they said. The ministry vowed to expand the probe to 16 other carmakers that sell diesel vehicles. They include Hyundai Motor, Kia Motors, GM Korea, Renault Samsung Motors Co., Ssangyong Motor, BMW, Mercedes-Benz Korea, Porsche, Jaguar Land Rover Korea, Volvo, Peugeot, FCA Korea, Ford, FMK and Nissan.The upcoming probe will also cover models of 3,000 cubic centimeters, it said. The ministry also announced that it would introduce an outdoor emissions test for all vehicles starting next year as part of its efforts to prevent emissions rigging. Vehicles weighing over 3.5 tons will be covered by the test starting from January and those under 3.5 tons from September 2017. Vehicles that fail to pass the outdoor emissions test will be taken off the market. Based on the Environment Ministry’s test results, the Transport Ministry will carry out three rounds of tests to look into whether the emissions rigging affected the fuel efficiency and safety of passengers, officials said. The Environment Ministry’s probe results will likely lead to more lawsuits against Volkswagen. The Korean brand of the German carmaker is currently facing a class-action lawsuit filed by over 2,000 customers who are seeking to nullify the purchase contracts and receive refunds. Law firm Barun, which is leading the collective lawsuit, has officially requested the carmaker provide vouchers worth $1,000 for each Korean customer just as it promised American customers. Volkswagen, however, has not yet responded, the law firm said. Last week, a Korean civic group also sued Volkswagen Korea CEO Thomas Kuehl for allegedly taking financial advantage by violating rules, causing environment problems and harming public health. This is the first time that a third party -- other than the automaker’s customers -- has filed a lawsuit against Volkswagen. By Lee Hyun-jeong (rene@heraldcorp.com)","group also sued volkswagen korea ,also sued volkswagen korea ceo ,sales of unsold volkswagen cars ,civic group also sued volkswagen ,group also sued volkswagen","['Volkswagen', 'Korea', 'the Environment Ministry', 'EA189', 'Volkwagen ’s', 'U.S.', 'AP', 'Volkswagen', 'Volkswagen', 'Tiguan', 'Beetle of Volkswagen', 'Q3', 'german', 'Hyundai Motor', 'Kia Motors', 'GM Korea', 'Renault Samsung Motors Co.', 'Ssangyong Motor', 'BMW', 'Mercedes - Benz Korea', 'Porsche', 'Jaguar Land Rover Korea', 'Volvo', 'Peugeot', 'FCA Korea', 'Ford', 'Nissan', 'the Environment Ministry ’s', 'the Transport Ministry', 'the Environment Ministry ’s', 'Volkswagen', 'korean', 'german', 'Barun', 'korean', 'american', 'Volkswagen', 'korean', 'Volkswagen Korea', 'Thomas Kuehl', 'Volkswagen', 'Lee Hyun -']",2,"[ 0.          0.          0.         ... -0.54396367  0.37747484
  0.28877667]"
