,Unnamed: 0,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,Watchdog issues ultimatum on constituency remapping,"As the rival parties remained deadlocked over redrawing the electoral districts with two days remaining for the legal deadline, the nation’s election watchdog said Wednesday it would offer a grace period, allowing preliminary candidates to continue their campaigns for a while to minimize disruption.It also pledged to step in and take the matter in its own hands, should political parties fail to reach an agreement du...","As the rival parties remained deadlocked over redrawing the electoral districts with two days remaining for the legal deadline, the nation’s election watchdog said Wednesday it would offer a grace period, allowing preliminary candidates to continue their campaigns for a while to minimize disruption.It also pledged to step in and take the matter in its own hands, should political parties fail to reach an agreement during the extra period.“We urge the National Assembly to fix the new constituencies by Jan. 8, which is the last day of the provisional parliamentary session,” the National Election Commission said in a statement Wednesday.“Should this fail to happen, we will be forced to exercise our authority as the election supervisor and come up with an effective solution (without waiting for a bipartisan agreement).”In 2014, the Constitutional Court ordered a revision of the election law, demanding that the population disparity between the largest and the smallest constituencies be reduced to 2-to-1 from 3-to-1.The original legislative deadline was midnight, Dec. 31. In a struggle to meet this schedule, the leadership of the ruling Saenuri Party and the main opposition The Minjoo Party of Korea had met on Sunday for a dead-end negotiation but in vain.Accordingly, the current constituency demarcation will lose legal effect, starting from Jan. 1. The NEC will also stop taking applications for candidate registration until a new electoral map is confirmed and effectuated.Preliminary candidates who have made their registration by Wednesday, however, will be temporarily allowed to carry on with their campaigns, according to the commission.The most plausible scenario is that Assembly Speaker Rep. Chung Ui-hwa will authorize his power and submit a compromise draft to the constituency committee.Despite growing pressure from the ruling party and the presidential office, Chung has consistently refused to push ahead with the bill, urging for bipartisan agreement until the last minute.Chung’s draft is likely to conform to the current system, allocating 246 seats to local constituencies and 54 to proportional representatives.But there is still a chance that parties may reach a last-minute agreement on 253 regional seats and 47 proportional seats, in an effort to maximize the number of local candidates within the house.Meanwhile, it is the preliminary candidates of the opposition camp who are expected to face additional difficulties as they must now apply the party’s new name in their campaign materials.The main opposition party on Monday changed its title to the Minjoo Party of Korea, replacing New Politics Alliance for Democracy as part of a rebranding effort following scores of defections by key party members this month.By Bae Hyun-jung (tellme@heraldcorp.com)","election watchdog said wednesday ,ultimatum on constituency remapping ,election watchdog ,deadline the nation election ,over redrawing the electoral",[],9,"[ 0.          0.          0.         ... -0.54787368  0.40548062
  0.53372687]",Korea Herald,Politics,12,2015,"sunday for dead end negotiation ,nation election watchdog said wednesday ,legislative deadline was midnight dec ,deadlocked over redrawing the electoral ,election watchdog said wednesday","['the National Assembly', 'the National Election Commission', 'the Constitutional Court', 'Saenuri Party', 'the Minjoo Party', 'Korea', 'NEC', 'Assembly', 'Chung Ui - hwa', 'Chung', 'Chung ’s', 'the Minjoo Party', 'Korea', 'New Politics Alliance for Democracy', 'Bae Hyun - jung']",6,"[ 0.          0.          0.         ... -0.54787368  0.40548062
  0.53372687]"
1,1,Man arrested after taking hostage at opposition party chief's office,"An armed man was arrested after staging a hostage situation at the local office of the main opposition party chief Wednesday, police said. The 55-year-old man, identified only by his surname Chung, stormed into the office of Moon Jae-in of the Minjoo Party of Korea -- formerly the New Politics Alliance for Democracy -- in the country's second-largest city of Busan, with a weapon at around 9:10 a.m.Moon was not at the...","An armed man was arrested after staging a hostage situation at the local office of the main opposition party chief Wednesday, police said. The 55-year-old man, identified only by his surname Chung, stormed into the office of Moon Jae-in of the Minjoo Party of Korea -- formerly the New Politics Alliance for Democracy -- in the country's second-largest city of Busan, with a weapon at around 9:10 a.m.Moon was not at the local office as he was in Seoul to participate in a memorial ceremony of a former lawmaker.Chung claimed to be a younger brother of a renowned documentary writer, according to police.After bounding one of Moon's aides with tape, the offender poured paint thinner on the floor of the office and threw a fire extinguisher out a window.He demanded that Moon be arrested, but his exact motive is still being investigated.The one-hour long hostage situation ended without any casualties, as the offender turned himself in to the police outside the building. ""Everything is done now. I will tell everything at the police station and prosecutors' office,"" he said. Police said they will investigate the details of the incident, including the reason he committed the crime. (Yonhap)","arrested after taking hostage ,arrested after staging hostage ,hostage at opposition party ,party chief wednesday police ,taking hostage at opposition","['Chung', 'Moon Jae - in', 'the Minjoo Party', 'Korea', 'the New Politics Alliance for Democracy', 'Busan', 'Moon']",9,"[ 1.          1.          1.         ... -0.47474831 -0.25953233
  0.4375408 ]",KH디지털2,Politics,12,2015,"arrested after staging hostage situation ,opposition party chief wednesday police ,hour long hostage situation ended ,was arrested after staging hostage ,arrested after staging hostage","['Chung', 'Moon Jae - in', 'the Minjoo Party', 'Korea', 'the New Politics Alliance for Democracy', 'Busan', 'Moon', 'Seoul', 'Chung', 'Moon', 'Moon']",2,"[ 1.          1.          1.         ... -0.47474831 -0.25953233
  0.4375408 ]"
2,2,Election candidates to be temporarily allowed to electioneer,"The country's election watchdog said Wednesday that it will temporarily allow candidates for next year's general elections to electioneer even if constituencies are not redrawn.Rival parties have failed to fully agree on redrawing the electoral constituency map for next April's general elections. The current electoral map becomes invalid at the end of the year. ""There is no choice but to temporarily stop cracking dow...","The country's election watchdog said Wednesday that it will temporarily allow candidates for next year's general elections to electioneer even if constituencies are not redrawn.Rival parties have failed to fully agree on redrawing the electoral constituency map for next April's general elections. The current electoral map becomes invalid at the end of the year. ""There is no choice but to temporarily stop cracking down on election campaigning by candidates who will have finished registration by the end of this year,"" the National Election Commission said in a press release.The NEC also said that if the rival parties fail to make the final decision by Jan. 8, it has no choice but to hold a meeting in early January to come up with countermeasures.The rival parties are required to redraw electoral districts as the Constitutional Court ruled last year that the current electoral map was unconstitutional, citing unequal representation.The court said that the population differences between electoral districts should be reduced to two-to-one, noting the most populous electoral districts outweigh the least populous three seats to one.On Thursday, rival parties held their seventh negotiation on the issue this month but once again failed to redraw the map. The deal breaker was the parties' differences on how to elect proportional representatives, with the ruling party pushing for a reduction in the number of proportional representation seats. (Yonhap)","next april general elections ,election watchdog said wednesday ,next year general elections ,map for next april ,electoral map becomes invalid",[],9,"[ 0.          0.          0.         ... -0.84395337  0.77999872
  0.68684101]",KH디지털2,Politics,12,2015,"for next april general elections ,country election watchdog said wednesday ,for next year general elections ,cracking down on election campaigning ,election watchdog said wednesday that","['the National Election Commission', 'NEC', 'the Constitutional Court']",1,"[ 0.          0.          0.         ... -0.84395337  0.77999872
  0.68684101]"
3,3,Ahn vows to pursue rational reform,"A high-profile independent lawmaker seeking to create a new political party said Sunday that he will pursue rational reform and lashed out at political polarization.  ""There is no room for dialogue and compromise"" in a political situation where politicians with biased views stigmatize and ostracize their opponents, Ahn Cheol-soo said in a news conference. ""No country has succeeded with political polarization.""  F...","A high-profile independent lawmaker seeking to create a new political party said Sunday that he will pursue rational reform and lashed out at political polarization.  ""There is no room for dialogue and compromise"" in a political situation where politicians with biased views stigmatize and ostracize their opponents, Ahn Cheol-soo said in a news conference. ""No country has succeeded with political polarization.""  For decades, local politics has been divided mainly along regional and ideological fault lines. South Korea's southeast region has been the political stronghold of the ruling conservative Saenuri Party, while the southwestern region has been the political turf of the main opposition liberal New Politics Alliance for Democracy.  ""A new party will put rational reform at the center of politics,"" Ahn said as he called for a new political paradigm to end what he claims is old politics riddled with enmity and confrontation.  He is pushing to launch a new political party by early February for April's general elections.  Ahn, the founder of the nation's largest anti-virus software firm Ahnlab Co., co-led the main opposition party with Moon Jae-in last year, but he quit the party earlier this month following internal strife with Moon.  Ahn said a tax hike is inevitable to the growing social needs and called on lawmakers to be frank on the issue, even if they could face public rebuke over a possible tax hike.  He also stressed the importance of the South Korea-U.S. alliance and called for the development of relations between South Korea and China.  China has overtaken the United States as South Korea's No. 1 trade partner in recent years. (Yonhap)","political party said sunday ,where politicians with biased ,politicians with biased views ,party said sunday ,said in news conference",['Ahn Cheol'],9,"[ 0.          0.          0.         ... -0.75148022  0.1335976
  0.42063838]",KH디지털2,Politics,12,2015,"polarization for decades local politics ,new political party said sunday ,political polarization for decades local ,main opposition liberal new politics ,where politicians with biased views","['Ahn Cheol', ""South Korea 's"", 'Saenuri Party', 'New Politics Alliance for Democracy', 'ahn', 'Ahnlab Co.', 'Moon Jae - in', 'Moon', 'South Korea', 'U.S.', 'South Korea', 'China', 'China', 'the United States', ""South Korea 's""]",2,"[ 0.          0.          0.         ... -0.75148022  0.1335976
  0.42063838]"
4,4,Rival parties again fail to agree on electoral map,"Rival parties once again failed Thursday to agree on redrawing electoral districts for next year's general elections.Ruling Saenuri Party Chairman Kim Moo-sung, main opposition New Politics Alliance for Democracy Chairman Moon Jae-in and the parties' floor leaders sat together over the demarcation of constituencies earlier in the day, but the meeting fell through without an outcome, according to party officials. It ...","Rival parties once again failed Thursday to agree on redrawing electoral districts for next year's general elections.Ruling Saenuri Party Chairman Kim Moo-sung, main opposition New Politics Alliance for Democracy Chairman Moon Jae-in and the parties' floor leaders sat together over the demarcation of constituencies earlier in the day, but the meeting fell through without an outcome, according to party officials. It was their seventh negotiation held on the issue this month as the parties gear up for next year's parliamentary elections set for April 13. Delay in the negotiations could deal a blow to parties' candidate register and election campaign as the current electoral map becomes invalid at the end of the year. The party leaders will resume their negotiations on Sunday, according to the officials.The deal breaker was the parties' differences on how to elect proportional representatives, with the ruling party pushing for a reduction in the number of proportional representation seats. A revision to push down the minimum voter age to 18 from the current 19 was also discussed, but Kim rejected it, citing concerns of politicization of high-school students. (Yonhap)","failed thursday to agree ,rival parties again fail ,once again failed thursday ,map rival parties once ,parties once again failed","['Saenuri Party', 'Kim Moo - sing', 'New Politics Alliance for Democracy', 'Moon Jae - in']",9,"[ 0.          1.          0.         ... -0.63942605  0.39577836
  0.57198298]",줄리 잭슨 (Julie Jackson),Politics,12,2015,"parties once again failed thursday ,for next year parliamentary elections ,thursday to agree on redrawing ,failed thursday to agree on ,parliamentary elections set for april","['Saenuri Party', 'Kim Moo - sing', 'New Politics Alliance for Democracy', 'Moon Jae - in', 'Kim']",1,"[ 0.          1.          0.         ... -0.63942605  0.39577836
  0.57198298]"
5,5,Top court confirms conviction of ruling party lawmaker,"The nation's top court on Thursday upheld a six-month jail term for a ruling party lawmaker convicted of receiving illegal political funds, a verdict that stripped him of his seat.The Supreme Court handed down the decision on Park Sang-eun of the ruling Saenuri Party. Still, the prison term was suspended for one year, meaning that Park would not have to serve prison time if he stayed out of trouble during that period...","The nation's top court on Thursday upheld a six-month jail term for a ruling party lawmaker convicted of receiving illegal political funds, a verdict that stripped him of his seat.The Supreme Court handed down the decision on Park Sang-eun of the ruling Saenuri Party. Still, the prison term was suspended for one year, meaning that Park would not have to serve prison time if he stayed out of trouble during that period.It is the latest in a string of bribery convictions involving lawmakers in recent weeks.Park was convicted of taking some 80 million won ($67,000) from a local feed manufacturing company, a shipping association and the Institute of Korean Studies from August 2007 to July 2012.The court also ordered the 66-year-old lawmaker to forfeit 80 million won.Park was stripped of his parliamentary seat, lowering the number of seats held by the ruling party in the 293-member parliament to 156.Last month, three other lawmakers -- two from the ruling party and one from the main opposition New Politics Alliance for Democracy -- also lost their parliamentary seats for separate bribery convictions. (Yonhap)","ruling party lawmaker convicted ,upheld six month jail ,lawmaker convicted of receiving ,party lawmaker convicted ,six month jail term","['the Supreme Court', 'Saenuri Party']",9,"[ 0.          0.          0.         ... -0.32996172  0.16341467
  0.12288215]",KH디지털2,Politics,12,2015,"lawmaker convicted of receiving illegal ,thursday upheld six month jail ,lawmaker to forfeit 80 million ,year old lawmaker to forfeit ,ruling party lawmaker convicted","['the Supreme Court', 'Saenuri Party', 'the Institute of Korean Studies', 'New Politics Alliance for Democracy']",5,"[ 0.          0.          0.         ... -0.32996172  0.16341467
  0.12288215]"
6,6,Gov't to push for labor reform bills to create more jobs: PM,"Prime Minister Hwang Kyo-ahn said Wednesday that the government will put all-out efforts into parliamentary approval of labor reform bills to create more jobs.Hwang described job creation as a major government task at the moment.In September, labor, management and the government reached a landmark deal to ease labor restrictions and allow companies to dismiss workers who are either negligent or underperforming.Howeve...","Prime Minister Hwang Kyo-ahn said Wednesday that the government will put all-out efforts into parliamentary approval of labor reform bills to create more jobs.Hwang described job creation as a major government task at the moment.In September, labor, management and the government reached a landmark deal to ease labor restrictions and allow companies to dismiss workers who are either negligent or underperforming.However, no follow-up measures have been taken as the related bills are pending in the National Assembly, The government has since pressed the rival political parties to approve the bills on labor reform, noting that the bills could help create about 370,000 jobs over the next five years.""Job creation is the biggest social contribution of the companies and the road to patriotism,"" Hwang said during a luncheon.Business groups have also called for resolving the parliamentary deadlock, saying that the prolonged legislative impasse could hamper their efforts to create more jobs and boost the sluggish economy.The luncheon was arranged to congratulate 12 business leaders, including the chief of chipmaker SK Hynix. (Yonhap)","companies to dismiss workers ,wednesday that the government ,jobs pm prime minister ,push for labor reform ,more jobs pm","['Hwang Kyo - ahn', 'Hwang']",9,"[ 0.          0.          0.         ... -0.56544846  0.07088923
  0.37937146]",KH디지털2,Politics,12,2015,"parliamentary approval of labor reform ,said during luncheon business groups ,wednesday that the government will ,approve the bills on labor ,bills to create more jobs","['Hwang Kyo - ahn', 'Hwang', 'the National Assembly', 'Hwang']",6,"[ 0.          0.          0.         ... -0.56544846  0.07088923
  0.37937146]"
7,7,Park urges parliamentary approval of labor reform bill,"President Park Geun-hye renewed her calls on Wednesday for parliamentary approval of a labor reform bill, strongly voicing concern over the deadlock.""I think (lawmakers) will not be able to deviate from the judgment of history if labor reform fails due to the National Assembly's noncooperation,"" Park said in a meeting meant to review progress in major policies this year. In September, labor, management and the govern...","President Park Geun-hye renewed her calls on Wednesday for parliamentary approval of a labor reform bill, strongly voicing concern over the deadlock.""I think (lawmakers) will not be able to deviate from the judgment of history if labor reform fails due to the National Assembly's noncooperation,"" Park said in a meeting meant to review progress in major policies this year. In September, labor, management and the government reached a landmark deal to ease labor restrictions and allow companies to dismiss workers who are either negligent or underperforming. However, no follow-up measures have been taken as the related bills are pending in the National Assembly due to bipartisan deadlock on several contentious issues.""Legislation for the sake of the livelihoods of the people and the economy is not a right but the duty of the National Assembly,"" ark said.Park has showed concern that the country's economy could face difficulties in reviving its economy without a much-wanted overhaul in the labor and public sectors.High unemployment among the youth has emerged as a major social problem in Asia's fourth-largest economy, prompting calls for more active measures to address the issue.""Labor reform should not become the subject of a political issue or the means of a bargaining tool as the survival of our youth is at stake,"" Park said.Park also urged government officials to do their best next year to bolster her reform drive centered on the labor, public, finance and education sectors. ""Reform in four sectors is never an easy job from the government's position"" Park said. However, she said that successfully carrying out the painful and difficult task will breathe new life into the economy. (Yonhap)","wednesday for parliamentary approval ,on wednesday for parliamentary ,park urges parliamentary approval ,wednesday for parliamentary ,labor reform bill president","['Park Geun', ""the National Assembly 's""]",9,"[ 0.          0.          0.         ... -0.19140485  0.08760622
  0.5467521 ]",KH디지털2,Politics,12,2015,"assembly due to bipartisan deadlock ,on wednesday for parliamentary approval ,calls on wednesday for parliamentary ,wednesday for parliamentary approval ,wednesday for parliamentary approval of","['Park Geun', ""the National Assembly 's"", 'the National Assembly', 'the National Assembly', 'Park', 'Park']",8,"[ 0.          0.          0.         ... -0.19140485  0.08760622
  0.5467521 ]"
8,8,Saenuri blood boils at Choi’s return,"A major factional feud looms at the ruling Saenuri Party upon the imminent return of Rep. Choi Kyung-hwan, the president’s top aide with a mission to sway parliamentary election nominations in favor of pro-Park figures.Choi is coming back to his third-term seat after his successor as finance minister was named in a Cabinet reshuffle Monday. He is expected to spearhead the faction loyal to President Park Geun-hye, an...","A major factional feud looms at the ruling Saenuri Party upon the imminent return of Rep. Choi Kyung-hwan, the president’s top aide with a mission to sway parliamentary election nominations in favor of pro-Park figures.Choi is coming back to his third-term seat after his successor as finance minister was named in a Cabinet reshuffle Monday. He is expected to spearhead the faction loyal to President Park Geun-hye, and bracing for his return is the party’s chairman Rep. Kim Moo-sung, who represents the “non-Park” faction.The power struggle between the two factions has already been vicious over a series of bills, leadership appointments and other party affairs. And the fight is likely to intensify over the party’s nomination rules for the April 13 general elections.The outnumbered pro-Park faction -- currently led by Supreme Council member Rep. Suh Chung-won -- has been pushing for wider strategic nominations not only in weak battlegrounds, such as the Jeolla provinces, but also in strong regions of metropolitan areas. Through this, the faction aims to expand its clout. Saenuri chairman Rep. Kim Moo-sung attends an event celebrating the holiday season on Tuesday. YonhapKim, on the other hand, remains steadfastly set on his defunct open primary project or something similar, vowing to keep the nomination as transparent as possible -- meaning more involvement of voters and ordinary party members and less influence from Park.Political pundits have said the anticipated power struggle within the Saenuri Party reflects the chronically backward politics of South Korea, where the months before each parliamentary elections are tainted with nomination struggles amid the lack of a fundamental system.“Saenuri Party has been enjoying steady approval ratings despite the low public popularity of the Park administration and the ruling camp in large part thanks to the internal feud at the opposition NPAD,” said Yoon Seong-yi, political professor at Kyung Hee University.“With Saenuri also falling into the same chaos, the party is likely to suffer a setback. This is the most representative case of Korea’s backward politics where those who seize power do not end up seeking fundamental improvements in the nomination process once they win,” he added.With Choi returning to the stage, the pro-Park faction is expected to align more systematically, having direct communication with Cheong Wa Dae through Choi and presidential aide on political affairs Hyun Ki-hwan.It has been the resolve of the pro-Park faction to build up the party base and eventually seek to hoist a pro-Park member as the party’s next chair. Kim’s tenure ends in July. The next chairperson has to take on the crucial task of leading the party through the 2017 presidential election.Kim, who has been dubbed as a likely candidate to run for president, is likely to resign from his position before the end of his term. Based on the party rules, a party chairperson cannot double as presidential candidate. The Saenuri Party, meanwhile, held the first meeting of its special committee on nomination rules Tuesday. Wary of the looming factional battle, the party members were seen to take a cautious approach in public.“It is hoped that (the members) will refrain from (making moves) that can be perceived as a factional problem by people,” said Rep. Hong Moon-pyo, the party’s first deputy secretary-general.Kim, for his part, began to meet with high profile potential parliamentary candidates, starting off with Ahn Dae-hee, former prime minister-nominee, who he met Tuesday. Kim said he will also meet former FIFA presidential hopeful Chung Mong-joon, former Seoul Mayor Oh Se-hoon and ex-Prime Minister Kim Hwang-sik.By Yeo Jun-suk, news reports (jasonyeo@heraldcorp.com)","in cabinet reshuffle monday ,choi return major factional ,to sway parliamentary election ,cabinet reshuffle monday ,cabinet reshuffle monday he","['Saenuri Party', 'Choi Kyung - hwan', 'pro - park', 'Choi', 'Cabinet', 'Park Geun - hye']",9,"[ 0.          0.          0.         ... -0.5323109   0.12243776
  0.61244828]",이주희,Politics,12,2015,"meet former fifa presidential hopeful ,named in cabinet reshuffle monday ,looming factional battle the party ,candidate to run for president ,former fifa presidential hopeful chung","['Saenuri Party', 'Choi Kyung - hwan', 'pro - park', 'Choi', 'Cabinet', 'Park Geun - hye', 'Kim Moo - sung', 'pro - park', 'Supreme Council', 'Suh Chung - won', 'Jeolla', 'Saenuri', 'Kim Moo - sung', 'YonhapKim', 'Park', 'the Saenuri Party', 'South Korea', '“Saenuri Party', 'NPAD', 'Yoon Seong - yi', 'Kyung Hee University', 'Saenuri', 'Korea', 'Choi', 'Choi', 'Hyun Ki - hwan', 'Kim', 'Kim', 'the Saenuri Party', 'Hong Moon - pyo', 'Kim', 'Ahn Dae - hee', 'Kim', 'FIFA', 'Chung Mong - joon', 'Seoul', 'Se - hoon', 'Kim Hwang', 'Yeo Jun - suk']",4,"[ 0.          0.          0.         ... -0.5323109   0.12243776
  0.61244828]"
9,9,Opposition lawmakers get jail term for bribery,"A local court on Tuesday handed down jail terms to two opposition lawmakers for taking kickbacks from a local vocational training school in return for helping pass a bill in favor of the school.The Seoul Central District Court sentenced Reps. Shin Geh-ryeun, 61, and Shin Hak-yong, 63, of the main opposition New Politics Alliance for Democracy party to 24 months and 30 months in jail, respectively.The court also order...","A local court on Tuesday handed down jail terms to two opposition lawmakers for taking kickbacks from a local vocational training school in return for helping pass a bill in favor of the school.The Seoul Central District Court sentenced Reps. Shin Geh-ryeun, 61, and Shin Hak-yong, 63, of the main opposition New Politics Alliance for Democracy party to 24 months and 30 months in jail, respectively.The court also ordered the 61-year-old Shin to pay a fine of 25 million won ($21,000) and forfeit another 25 million won. The 63-year-old was also ordered to pay a fine of 31 million won and forfeit an additional 213 million won.""The credibility of the statement made by the briber is acknowledgeable,"" a judge said.The court, however, did not put the two lawmakers into custody ""to guarantee the right to defend themselves on the charges."" Shin Geh-ryeun was indicted in 2014 on charges of taking some 55 million won worth of gift cards and cash in bribes from the chairman of a local vocational training school from September 2013 to May 2014 in return for helping to pass a bill in favor of the school.The passage of the bill to revise the vocational education law in April helped change the name and upgrade the status of what is now known as Seoul Art College.Rep. Shin Hak-yong, who chaired the National Assembly's education and culture committee from March 2013 to May 2014, took 15 million won from the chairman of Seoul Art College in exchange for the same business favor.He was additionally indicted for receiving some 33 million won from an association of private kindergartens in return for proposing a law governing privately run kindergartens, according to prosecutors.The two will be stripped of their parliamentary seats if the verdict is confirmed by the Supreme Court. (Yonhap)","opposition lawmakers get jail ,jail term for bribery ,tuesday handed down jail ,lawmakers for taking kickbacks ,lawmakers get jail term","['the Seoul Central District Court', 'Shin Geh - ryeun', 'Shin Hak - yong', 'New Politics Alliance for Democracy']",9,"[ 0.          0.          0.         ... -0.47613493  0.20144711
 -0.05810025]",KH디지털2,Politics,12,2015,"opposition lawmakers for taking kickbacks ,tuesday handed down jail terms ,jail terms to two opposition ,30 months in jail respectively ,on tuesday handed down jail","['the Seoul Central District Court', 'Shin Geh - ryeun', 'Shin Hak - yong', 'New Politics Alliance for Democracy', 'Shin Geh - ryeun', 'Seoul Art College', 'Shin Hak - yong', ""the National Assembly 's"", 'Seoul Art College', 'the Supreme Court']",5,"[ 0.          0.          0.         ... -0.47613493  0.20144711
 -0.05810025]"
