,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector
0,0,0,[Newsmaker] N.K. female band cancels Beijing show,"Much-anticipated performances in China by a North Korean female propaganda troupe were canceled abruptly Saturday, sparking many rumors including one related to a possible friction between Beijing and Pyongyang over the latter’s nuclear program. The performances by the Moranbong Band were supposed to begin at the National Center for the Performing Arts in Beijing at 7:30 p.m., but they were called off just three ho...","Much-anticipated performances in China by a North Korean female propaganda troupe were canceled abruptly Saturday, sparking many rumors including one related to a possible friction between Beijing and Pyongyang over the latter’s nuclear program. Members of the Moranbong Band of North Korea arriave at Beijing International Airport to leave China, Saturday. (Yonhap)The performances by the Moranbong Band were supposed to begin at the National Center for the Performing Arts in Beijing at 7:30 p.m., but they were called off just three hours before. They were scheduled to continue three days from Saturday.Following the cancellation of the performances, which were seen as a sign of improvement in ties between China and the North, troupe members boarded a train bound for Pyongyang. The members refused to talk to reporters. China’s stat-run Xinhua news agency attributed the cancellation to “communication issues at the working-level,” without further elaborating.The rare concert was arranged amid growing expectations for the restoration of relations between Beijing and Pyongyang.Since China sent a high-ranking official to the North’s 70th anniversary of the founding of its Workers’ Party on Oct. 10, bilateral ties appeared to be improving. Before then, their relations were strained due to Pyongyang’s recalcitrance over stopping its provocative acts, including its nuclear and missile tests. The sudden cancellation of the troupe’s concert came just two days after North Korean leader Kim Jong-un was reported to have claimed that his country had developed a hydrogen bomb, an apparent indication that the North had secured considerable technology to build nuclear weapons.Beijing’s Foreign Ministry criticized Kim’s claim, urging him to “do things that are helpful for easing (tensions) in the security circumstances.” Observers say that such criticism might have enraged the North Korean leadership to the point of calling off the performances. Beijing, for its part, might have found it difficult to allow the musical event to highlight the close partnership between the two nations when the international community is increasingly concerned about the North’s evolving nuclear threats, analysts said.“North Korea may seek to create an impression that by sending the female troupe to China and having it perform here, China is okay with Kim’s remarks (about the hydrogen bomb),” said Kim Heung-kyu, political science professor at Ajou University. “China, of course, does not want to give that kind of an impression (to the world).”News reports said that Beijing had lowered the level of Chinese officials to attend the performances by the female troupe due to Kim’s remarks about the hydrogen bomb, and that the decision triggered a conflict between the two sides.“North Korea wanted Chinese leader Xi Jinping or Premier Li Keqiang to attend the performances. But China did not accept the demand, and proposed a member of the politburo of the Communist Party,” Yonhap news agency quoted a Beijing source as saying.Cheong Seong-chang, senior research fellow at the local think tank Sejong Institute, claimed that the performances appeared to have been canceled as the communist regime declared a period of mourning Saturday to mark the fourth year of the death of former North Korean leader Kim Jong-il.“According to a source informed of North Korea’s internal situations, the regime banned dancing and singing songs to mark the fourth year of Kim’s death,” he said. “Thus, the organizer in charge of the performances in Beijing will be reprimanded according to the source.”By Song Sang-ho (sshluck@heraldcorp.com)","troupe were canceled abruptly saturday ,canceled abruptly saturday sparking many ,airport to leave china saturday ,calling off the performances beijing ,were canceled abruptly saturday sparking","['China', 'north korean', 'Beijing', 'Pyongyang', 'the Moranbong Band', 'North Korea', 'China', 'the Moranbong Band', 'the National Center for the Performing Arts', 'Beijing', 'China', 'Pyongyang', 'China', 'Xinhua news agency', 'Beijing', 'Pyongyang', 'China', 'Workers ’ Party', 'Pyongyang', 'north korean', 'Kim Jong - un', 'Beijing', 'Foreign Ministry', 'Kim ’s', 'north korean', 'Beijing', 'North ’s', 'Korea', 'China', 'China', 'Kim', 'Kim Heung - kyu', 'Ajou University', 'China', 'world).”News', 'Beijing', 'chinese', 'Kim', 'Korea', 'chinese', 'Xi Jinping', 'Li Keqiang', 'China', 'the Communist Party', 'Beijing', 'Cheong Seong - chang', 'Sejong Institute', 'north korean', 'Kim Jong - il', 'North Korea ’s', 'Kim ’s', 'Beijing', 'song Sang - ho']",17,"[ 9.          4.          8.         ... -0.14807069  0.27418575
  0.36977485]"
1,1,1,Funeral held for victim of Japan's wartime sex slavery,"Family members of a South Korean woman who was forced into sexual slavery for Japanese soldiers during World War II mourned the death of their loved one during her humble funeral on Monday.   Choi Gab-soon, 96, died of natural causes at a hospital in Namyangju, east of Seoul, on Saturday, reducing the number of surviving victims to 46.  Some 10 people, including Choi's family and activists from the Korean Council...","Family members of a South Korean woman who was forced into sexual slavery for Japanese soldiers during World War II mourned the death of their loved one during her humble funeral on Monday.   Choi Gab-soon, 96, died of natural causes at a hospital in Namyangju, east of Seoul, on Saturday, reducing the number of surviving victims to 46.  Some 10 people, including Choi's family and activists from the Korean Council for the Women Drafted for Military Sexual Slavery by Japan, a civic group working to help the victims, took part in the funeral at a hospital in the city.   Her death leaves only 46 surviving victims of one of the most serious wartime crimes by Japan when it colonized the Korean Peninsula from 1910-45. Initially, 238 women were on the list of government-registered former sex slaves.   Choi, who was born in 1919, was forced into sexual slavery when she was 15. She came back home after Korea was freed from the Japanese colonial rule.  Only 238 women have been registered with the South Korean government as former sex slaves, though historians estimate that more than 200,000 women, mostly Koreans, were forced to work at front-line brothels for Japanese soldiers during the war.  South Korea has urged Japan to resolve the grievances of the victims, saying the issue is becoming increasingly urgent as most victims are elderly, well over 80 years old, and may die before they receive compensation or an apology from Japan. Tokyo, however, insists the issue was settled under the normalization treaty of 1965. (Yonhap)","her humble funeral on monday ,women drafted for military sexual ,during her humble funeral ,during her humble funeral on ,one during her humble funeral","['south korean', 'japanese', 'Choi Gab - soon', 'Namyangju', 'Seoul', 'Choi', 'the Korean Council', 'the Women draft for Military Sexual Slavery', 'Japan', 'Japan', 'Korea', 'japanese', 'south korean', 'Koreans', 'japanese', 'South Korea', 'Japan', 'Japan', 'Tokyo']",14,"[ 0.          0.          0.         ... -0.2807802   0.13162789
  0.37844723]"
2,2,2,Park vows to provide more than $11 mln in aid to African countries,"President Park Geun-hye pledged Tuesday to provide more than $11 million to 10 African countries over the next five years for vocational training, calling education a solution to ending violent extremism and ""an integral ingredient"" to economic success.South Korea has helped five African countries -- Malawi, Zambia, Botswana, Namibia and the Democratic Republic of the Congo -- in developing and distributing textbooks...","President Park Geun-hye pledged Tuesday to provide more than $11 million to 10 African countries over the next five years for vocational training, calling education a solution to ending violent extremism and ""an integral ingredient"" to economic success.South Korea has helped five African countries -- Malawi, Zambia, Botswana, Namibia and the Democratic Republic of the Congo -- in developing and distributing textbooks under the $10-million project since 2011. The project is set to end in 2016.South Korea plans to add five new African countries for a second phase of the project with a budget of about $11.8 million.There is no word yet on which countries will be the new recipients.""Poverty, the lack of jobs for the young and social marginalization of the vulnerable, among others, are creating hotbeds of discord and conflict,"" Park said in a speech at UNESCO in Paris. ""Against this backdrop, Korea will more actively scale up its contributions to international efforts to deal with such challenges facing humanity.""Separately, South Korea plans to start a $6-million UNESCO funds-in-trust program to help Rwanda, Mozambique and Zimbabwe innovate education over a three year period beginning this year.Seoul's aid represents a sea of change for South Korea over the past decades. In 1951, the U.N. culture agency set up a textbook factory in South Korea to help print school textbooks and formulated a plan for rebuilding education.She also said education could help sow in the minds of children in conflict zones the seeds of reconciliation over hatred, dialogue over violence and hope over despair.""The answer lies in none other than education,"" Park said, noting addressing social and economic root causes that feed terrorism is critical to ending violent extremism.She also vowed to take active part in international endeavors to combat terrorism.On Monday, she visited the site of the deadly terror attack in Paris after attending the U.N. climate change summit, in a symbolic gesture that underscored South Korea's solidarity with France.Park laid white chrysanthemums in front of the Bataclan Theater and paid silent tribute to those who were killed in the attack on Nov. 13. Park also said South Korea will collaborate on education to make a better world, saying the case of South Korea shows that education offers ""the surest and most sustainable foundation for fostering peace and prosperity.""South Korea's education fervor helped transform the country into Asia's fourth-largest economy from the ashes of the 1950-53 Korean War.U.N. Secretary-General Ban Ki-moon, a former South Korean foreign minister, has said that education was the key to South Korea becoming the first former aid recipient to join the ranks of official donors in a half-century.UNESCO chief Irina Bokova also said South Korea's enthusiasm for education made it possible for Seoul to become an aid donor and it should share its experiences with other countries.Touching on inter-Korean issues, Park held out the prospect of greater inter-Korean exchange and cooperation if South and North Korea build trust and restore a sense of shared identity through sustained cultural exchanges.Despite political ups and downs, the two Koreas have been cooperating in preserving the ruins of Manwoldae, the royal palace of the Goryeo Dynasty that ruled the Korean Peninsula from 918 to 1392.South Korea believes that cultural cooperation could help restore a sense of common identity between the two Koreas, which have been divided for decades.The Korean Peninsula was divided into the capitalistic South and the communist North after its liberation from Japan's 1910-45 colonial rule. The 1950-53 Korean War ended with a cease-fire agreement, not a peace treaty, leaving the two Koreas technically still at war.Also Tuesday, Park observed the signing of a deal with the U.N. culture agency on setting up a center in South Korea that is designed to conduct research and educate others on South Korea's traditional martial arts.Park later left for Prague for a summit with regional leaders. (Yonhap)","10 million project since 2011 ,park geun hye pledged tuesday ,korea plans to add five ,to combat terrorism on monday ,hye pledged tuesday to provide","['Park Geun', 'african', 'South Korea', 'african', 'Malawi', 'Zambia', 'Botswana', 'Namibia', 'the Democratic Republic of the', 'Congo', '2016.South Korea', 'african', 'UNESCO', 'Paris', 'Korea', 'South Korea', 'UNESCO', 'Rwanda', 'Mozambique', 'Zimbabwe', 'Seoul', 'South Korea', 'U.N.', 'South Korea', 'Paris', 'U.N.', ""South Korea 's"", 'France', 'the Bataclan Theater', 'South Korea', 'South Korea', 'Korea', 'U.N.', 'Ban Ki - moon', 'south korean', 'South Korea', 'UNESCO', 'Irina Bokova', ""South Korea 's"", 'Seoul', 'inter - korean', 'Park', 'inter - korean', 'North Korea', 'Koreas', 'the Goryeo Dynasty', 'Korea', 'Koreas', 'Japan', 'Koreas', 'Park', 'U.N.', 'South Korea', ""South Korea 's"", 'Prague']",5,"[ 0.          0.          0.         ... -0.0362964   0.89866126
  0.46438363]"
3,3,3,Park vows to provide more than $11 mln in aid to African countries,"PARIS (Yonhap) -- President Park Geun-hye pledged Tuesday to provide more than $11 million to 10 African countries over the next five years for vocational training, calling education a solution to ending violent extremism and ""an integral ingredient"" to economic success.South Korea has helped five African countries -- Malawi, Zambia, Botswana, Namibia and the Democratic Republic of the Congo -- in developing and dist...","PARIS (Yonhap) -- President Park Geun-hye pledged Tuesday to provide more than $11 million to 10 African countries over the next five years for vocational training, calling education a solution to ending violent extremism and ""an integral ingredient"" to economic success.South Korea has helped five African countries -- Malawi, Zambia, Botswana, Namibia and the Democratic Republic of the Congo -- in developing and distributing textbooks under the $10 million project since 2011. The project is set to end in 2016.South Korea plans to add five new African countries for a second phase of the project with a budget of about $11.8 million. There is no word yet on which countries will be the new recipients.""Poverty, the lack of jobs for the young and social marginalization of the vulnerable, among others, are creating hotbeds of discord and conflict,"" Park said in a speech at UNESCO in Paris. ""Against this backdrop, Korea will more actively scale up its contributions to international efforts to deal with such challenges facing humanity.""She also said education could help sow in the minds of children in conflict zones the seeds of reconciliation over hatred, dialogue over violence and hope over despair.""The answer lies in none other than education,"" Park said, noting addressing social and economic root causes that feed terrorism is critical to ending violent extremism.She also vowed to take active part in international endeavors to combat terrorism.On Monday, she visited the site of the deadly terror attack in Paris after attending the U.N. climate change summit, in a symbolic gesture that underscored South Korea's solidarity with France.Park laid white chrysanthemums in front of the Bataclan Theater and paid silent tribute to those who were killed in the attack on Nov. 13. Park also said South Korea will collaborate on education to make a better world, saying the case of South Korea shows that education offers ""the surest and most sustainable foundation for fostering peace and prosperity.""South Korea's education fervor helped transform the country into Asia's fourth-largest economy from the ashes of the 1950-53 Korean War.U.N. Secretary-General Ban Ki-moon, a former South Korean foreign minister, has said that education was the key to South Korea becoming the first former aid recipient to join the ranks of official donors in a half-century.","10 million project since 2011 ,park geun hye pledged tuesday ,add five new african countries ,next five years for vocational ,korea plans to add five","['PARIS', 'Yonhap', 'Park Geun', 'african', 'South Korea', 'african', 'Malawi', 'Zambia', 'Botswana', 'Namibia', 'the Democratic Republic of the', 'Congo', '2016.South Korea', 'african', 'UNESCO', 'Paris', 'Korea', 'Paris', 'U.N.', ""South Korea 's"", 'France', 'the Bataclan Theater', 'South Korea', 'South Korea', 'Korea', 'U.N.', 'Ban Ki - moon', 'south korean', 'South Korea']",5,"[ 0.          0.          0.         ... -0.02434122  0.68708616
 -0.13164082]"
4,4,4,Two Koreas reaffirm interest in dialogue itself,"South and North Korea have managed to keep the dialogue mood afloat but a significant deal on major pending issues will likely remain elusive, experts here said Friday.After marathon working-level talks at the truce village of Panmunjom, the two sides agreed to hold a vice ministerial meeting on Dec. 11 at the Kaesong Industrial Complex in the North's border town.They announced that inter-Korean issues related to the...","South and North Korea have managed to keep the dialogue mood afloat but a significant deal on major pending issues will likely remain elusive, experts here said Friday.After marathon working-level talks at the truce village of Panmunjom, the two sides agreed to hold a vice ministerial meeting on Dec. 11 at the Kaesong Industrial Complex in the North's border town.They announced that inter-Korean issues related to the improvement of bilateral ties will be discussed.""The two sides seem to have made the choice in order to continue dialogue on the working level,"" Kim Yong-hyun, a professor at Dongguk University, said.Main agenda items could include regular reunions of separated families and the resumption of the joint tour program to the North's scenic Mount Kumgang, he added.But few expect any ""big agreements"" from the vice ministerial dialogue.""There are big differences in issues that can be agreed upon at the minister-level and vice ministerial talks (between the two Koreas),"" Cheong Seong-chang, senior fellow at the Sejong Institute pointed out. If the North has the ""strong will"" for improved ties with the South, Kim Yang-gon, the top communist party official in charge of daily inter-Korean affairs, should come to the bargaining table himself, Cheong stressed.Kim joined the so-called two-plus-two negotiations on Aug. 25 which also involved Hwang Pyong-so, the North's chief military official on political affairs. Their southern counterparts were President Park Geun-hye's top security advisor Kim Kwan-jin and Unification Minister Hong Yong-pyo.They produced a set of landmark deals on ending a military crisis and paving the way for additional dialogue.Analysts also took issue with the venue for the upcoming meeting.South Korea hoped to hold it in either Seoul or Pyongyang as agreed in the Aug. 25 accord. The North, however, apparently refused to do so.""The results of the working-level contact this time is no more or less than maintaining the momentum of implementing the Aug. 25 agreement,"" said Yang Moo-jin, a professor at the University of North Korean Studies. ""The choice of the venue indicates the North's intent not to hold government-level talks in Seoul and Pyongyang on a regular basis.""The experts shared the view that in the Dec. 11 meeting the two Koreas would just exchange their opinions on thorny issues and that full-scale negotiations would be possible in ministerial talks later on, if at all. (Yonhap)","said friday after marathon working ,after marathon working level talks ,friday after marathon working level ,friday after marathon working ,the upcoming meeting south korea","['North Korea', 'Panmunjom', 'inter - korean', 'Kim Yong - hyun', 'Dongguk University', 'Mount Kumgang', 'Koreas', 'Cheong Seong - chang', 'the Sejong Institute', 'Kim Yang - gon', 'inter - korean', 'Cheong', 'Kim', 'Hwang Pyong - so', ""Park Geun - hye 's"", 'Kim Kwan - jin', 'Unification', 'Hong Yong - pyo', 'South Korea', 'Seoul', 'Pyongyang', 'Yang Moo - jin', 'the University of North Korean Studies', 'Seoul', 'Pyongyang', 'Koreas']",0,"[ 0.          0.          0.         ... -0.44400081  0.55354112
  0.1032438 ]"
5,5,5,Park to attend climate change summit in Paris,"President Park Geun-hye will leave for Paris on Sunday to attend a global summit set to discuss ways to tackle climate change, Cheong Wa Dae said Wednesday.After Paris, Park will fly to Prague for an official visit to upgrade bilateral ties with the European country and hold a separate meeting with so-called Visegrad Group countries ― the Czech Republic, Hungary, Poland and Slovakia, the office said.The seven-day tr...","President Park Geun-hye will leave for Paris on Sunday to attend a global summit set to discuss ways to tackle climate change, Cheong Wa Dae said Wednesday.After Paris, Park will fly to Prague for an official visit to upgrade bilateral ties with the European country and hold a separate meeting with so-called Visegrad Group countries ― the Czech Republic, Hungary, Poland and Slovakia, the office said.The seven-day trip follows a three-nation tour for a string of high-profile regional summits.Despite “the considerably tight schedules,” Park’s top aide on foreign affairs Kim Kyou-hyun said Park decided to attend the climate change meeting to seize new business opportunities in the areas of renewable energy technology, with South Korea being a founding member of a new deal to be launched on combating climate change.The deal urges member countries to join efforts to limiting global warming below 2 degrees Celsius.More than 160 countries ― which account for about 90 percent of global emissions ― have put forward climate targets for post-2020.In June, South Korea offered to cut greenhouse gas emissions by 37 percent of business-as-usual levels by 2030, equivalent to 850.6 million tons of carbon dioxide.Also in Paris, Park is set to deliver a speech at UNESCO and meet with the head of the U.N. cultural agency, Kim said.By Cho Chung-un (christory@heraldcorp.com)","sunday to attend global summit ,wednesday after paris park ,on sunday to attend global ,wednesday after paris park will ,leave for paris on sunday","['Park Geun', 'Paris', 'Paris', 'Park', 'Prague', 'european', 'Visegrad Group', 'the Czech Republic', 'Hungary', 'Poland', 'Slovakia', 'Kim Kyou - hyun', 'South Korea', 'South Korea', 'Paris', 'Park', 'UNESCO', 'U.N.', 'Kim', 'Cho Chung - un']",5,"[ 0.          0.          0.         ... -0.2847254   0.53670382
  0.29324919]"
6,6,6,City recruits foreign interns,"Seoul City is recruiting dozens of foreign student interns who will participate in the city’s administrative and volunteer work, officials said. Seoul Metropolitan Government said it would pick 30 foreign students for Seoul City’s global internship next month.The city government has run the global internship program twice a year since 2008 to offer opportunities for foreign students to work for the city.Students wi...","Seoul City is recruiting dozens of foreign student interns who will participate in the city’s administrative and volunteer work, officials said. Seoul Metropolitan Government said it would pick 30 foreign students for Seoul City’s global internship next month.The city government has run the global internship program twice a year since 2008 to offer opportunities for foreign students to work for the city.Students will be dispatched to Seoul City Hall or affiliated organizations and support administrative work. They will also take part in volunteer jobs at facilities for the disabled and visit a number of local sightseeing spots, officials said. The seven-week-long program will run from Jan. 4 to Feb. 23. Only college and graduate students who are permitted to stay in the country until Feb. 23 are eligible to apply. The deadline of the application is Dec. 2. The final result will be released on Dec. 24 after two rounds of screening. As of this summer, over 460 expats from 68 countries had participated in the global internship program, the city said, More information is available by calling (02) 2133-5076. By Lee Hyun-jeong (rene@heraldcorp.com)","30 foreign students for seoul ,global internship program twice year ,city global internship next month ,seoul city is recruiting dozens ,students for seoul city global","['Seoul City', 'Seoul Metropolitan Government', 'Seoul City ’s', 'Seoul City Hall', 'Lee Hyun - jeong']",5,"[ 0.          0.          0.         ... -0.56654102  0.33116069
  0.36897296]"
7,7,7,Gov't OKs traffic route change for Seoul Station overpass,"The Transport Ministry on Wednesday approved Seoul City’s plan to tear down the outdated overpass near Seoul Station and alter routes for smoother traffic flow.The ministry, however, said it was not a consent to the city’s controversial plan to create a pedestrian park on the 1-kilometer flyover, and that the approval was only given as new traffic routes submitted by the city did not pose any problems.“This means ...","The Transport Ministry on Wednesday approved Seoul City’s plan to tear down the outdated overpass near Seoul Station and alter routes for smoother traffic flow.The ministry, however, said it was not a consent to the city’s controversial plan to create a pedestrian park on the 1-kilometer flyover, and that the approval was only given as new traffic routes submitted by the city did not pose any problems.“This means we are approving a detour from the Seoul Station overpass, it does not mean that the overall traffic measure is perfect or that we are approving the creation of the park,” the ministry said of the decision that came after months of deliberation.It added that while they are responsible for greenlighting the route changes, the traffic measures must be discussed with the police. Plans to use the overpass for other purposes, such as a park, should also be discussed with the Korea Rail Network Authority, it added.Seoul City, adamant about carrying out the project that has become one of Mayor Park Won-soon’s signature urban projects, said it will be closing the overpass from Dec. 13. The overpass, which was constructed in the 1970s, received a grade “D” in a safety test in 2006. Instead of tearing it down, the mayor vowed last year to transform it into an elevated pedestrian park similar to the High Line Park in New York City as part of the city’s urban restoration project. The plan, however, has faced hurdles, as the police delayed the review of the city’s traffic measures, citing them as insufficient and saying the Transport Ministry’s approval was required first. The city argued the police were deliberately delaying it on political motives. Some raised speculation the police had been influenced by the central government to contain Park, who is considered a potential presidential candidate for the main opposition party.The city had threatened to close the overpass from Nov. 29 and partially tear it down for safety purposes on its own authority. It is authorized to discretionally tear down construction or control and restrict traffic if there are obvious public safety risks. By Lee Hyun-jeong (rene@heraldcorp.com)","wednesday approved seoul city plan ,ministry on wednesday approved seoul ,on wednesday approved seoul city ,the outdated overpass near seoul ,wednesday approved seoul city","['the Transport Ministry', 'Seoul City ’s', 'Seoul Station', 'the Korea Rail Network Authority', 'Seoul City', 'Park Won - soon', 'New York City', 'the Transport Ministry ’s', 'Park', 'Lee Hyun - jeong']",5,"[ 0.          0.          0.         ... -0.56296813  0.59596187
  0.36992484]"
8,8,8,"Korea, Egypt agree to jointly fight terrorism","The foreign ministers of South Korea and Egypt agreed Tuesday to work together to combat the growing threat of terrorism in the world, the Foreign Ministry said.Foreign Minister Yun Byung-se and his Egyptian counterpart, Sameh Shoukry, held talks on a wide range of issues, including bilateral ties, regional issues and cooperation on the global stage, the ministry said in a press release.Citing the Nov. 13 Paris terro...","The foreign ministers of South Korea and Egypt agreed Tuesday to work together to combat the growing threat of terrorism in the world, the Foreign Ministry said.Foreign Minister Yun Byung-se and his Egyptian counterpart, Sameh Shoukry, held talks on a wide range of issues, including bilateral ties, regional issues and cooperation on the global stage, the ministry said in a press release.Citing the Nov. 13 Paris terrorist attacks, Shoukry said the international community must work together to fight terrorism.Yun noted Egypt's efforts to bring political stability to the Middle East and condemned the recent terrorist acts by ISIL and other extremist groups. He also pledged South Korea's commitment to ongoing international efforts to root out terrorism.The meeting came as the two countries mark the 20th anniversary of bilateral diplomatic ties.The ministers agreed to strengthen economic cooperation in areas such as infrastructure and energy as well as broaden their scope of cooperation to development, culture and global affairs, the ministry said. (Yonhap)","korea and egypt agreed tuesday ,recent terrorist acts by isil ,egypt agreed tuesday to work ,fight terrorism yun noted egypt ,root out terrorism the meeting","['South Korea', 'Egypt', 'the Foreign Ministry', 'Yun Byung - se', 'egyptian', 'Sameh Shoukry', 'Paris', 'Shoukry', 'Egypt', 'ISIL', ""South Korea 's""]",5,"[ 0.          0.          0.         ... -0.38723806  0.8907336
 -0.07119945]"
9,9,9,U.S. congressman urges Japan to resolve sex slave issue,"A U.S. congressman urged Japan on Tuesday to resolve the grievances of Korean women who were forced into sexual slavery for Japanese soldiers during World War II, saying the issue is ""solely in the hands"" of the Japanese government.  Rep. Mike Kelly made the remark during a lecture at the Asan Institute for Policy Studies, a private think tank in Seoul, where he spoke about the South Korea-U.S. alliance and other r...","A U.S. congressman urged Japan on Tuesday to resolve the grievances of Korean women who were forced into sexual slavery for Japanese soldiers during World War II, saying the issue is ""solely in the hands"" of the Japanese government.  Rep. Mike Kelly made the remark during a lecture at the Asan Institute for Policy Studies, a private think tank in Seoul, where he spoke about the South Korea-U.S. alliance and other regional issues.  Kelly currently serves as co-chair of the Congressional Caucus on Korea.  ""It's my hope that we will soon realize closer and more consolidated ties between Korea and Japan, which is critical to America's national security interest,"" he said. ""But in order to achieve this, Japan must act first and squarely address the lingering issue of the terrible injustice committed against the comfort women.""  More than 200,000 women, mostly Koreans, were forced to work at Japanese military brothels during World War II, according to historians.  South Korea has demanded Japan offer a sincere apology and provide proper compensation to the Korean victims, but Tokyo insists the issue was settled in a package deal under the 1965 treaty that normalized bilateral ties.  Japan ruled the Korean Peninsula as a colony from 1910-45.  ""We need healing, reconciliation and dignity restored to the survivors,"" Kelly said. ""It's solely in the hands of the Japanese government's leadership to address and resolve the comfort women issue once and for all."" (Yonhap)","congressman urged japan on tuesday ,sexual slavery for japanese soldiers ,japan on tuesday to resolve ,korean victims but tokyo insists ,urged japan on tuesday","['U.S.', 'Japan', 'korean', 'japanese', 'japanese', 'Mike Kelly', 'the Asan Institute for Policy Studies', 'Seoul', 'South Korea', 'U.S.', 'the Congressional Caucus', 'Korea', 'Korea', 'Japan', 'America', 'Japan', 'Koreans', 'japanese', 'South Korea', 'Japan', 'korean', 'Tokyo', 'Kelly', 'japanese']",14,"[ 0.          0.          0.         ... -0.18190688  0.40410396
 -0.08241462]"
