,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,0,Nearly 80% of workers donated to charities this year: survey,"Nearly 8 out of 10 salaried people made donations to charities this year, a survey showed Thursday.Of the 849 workers polled recently, 77.9 percent said they gave money to charities, the survey conducted by Hunet, a career education institute, showed.The average donation stood at 161,000 won ($149) this year, up 16,000 won from three years earlier.About 31.5 percent said they donated more than 300,000 won, while 25.5...","Nearly 8 out of 10 salaried people made donations to charities this year, a survey showed Thursday.Of the 849 workers polled recently, 77.9 percent said they gave money to charities, the survey conducted by Hunet, a career education institute, showed.The average donation stood at 161,000 won  this year, up 16,000 won from three years earlier.About 31.5 percent said they donated more than 300,000 won, while 25.5 percent said they contributed between 10,000 won and 50,000 won. About 16.1 percent said they donated between 100,000 won and 200,000 won, 14.1 percent contributed between 50,000 won and 100,000 won, and 9.4 percent donated between 200,000 won and 300,000 won.Those in their 50s donated the most at 195,000 won, followed by those in their 40s at 180,200 won. People in their 60s gave 151,000 won, with those in their 30s at 117,000 won. The number for people in their 20s stood at 30,600 won. Social welfare facilities were the most popular destinations for donations, with 43 percent of those polled said they sent money to such causes.Nongovernmental organizations came in second with 40.9 percent.About 26.2 percent said they had some money deducted from their salaries for donations, while 14.1 percent said they donated money over the phone and 11.4 percent said they donated money to specific persons.The reason for making donations was to help the needy , while 16.8 percent said they donated to feel the joy of sharing something and 3.4 percent said they donated to get year-end tax deductions.About 60.7 percent of those who did not donate said they did not think donations would be spent in a transparent manner, while 39.3 percent said they did not have enough money to donate.","80 of workers donated ,849 workers polled recently ,donated more than 300 ,workers donated to charities ,the 849 workers polled",['Hunet'],29,"[ 1.          0.          0.         ... -0.29713288  0.72762281
  0.12733877]",Yonhap,Social affairs,12,2017,"the 849 workers polled recently ,10 salaried people made donations ,they donated more than 300 ,16 percent said they donated ,thursday of the 849 workers",['Hunet'],1,"[ 1.          0.          0.         ... -0.29713288  0.72762281
  0.12733877]"
1,1,1,[Graphic News] Teacher is most-desired job for S. Korean students,"　School teacher topped the list of most-wanted job among all levels of Korean students, the Education Ministry said, based on an online survey conducted from June 26 to July 21.　Software programmer and mechanical engineer were also desired jobs in a survey of high school students.　The Ministry of Education and Korea Vocational Training Center surveyed 51,494 students, teachers and parents at 1,200 schools from all...","School teacher topped the list of most-wanted job among all levels of Korean students, the Education Ministry said, based on an online survey conducted from June 26 to July 21.Software programmer and mechanical engineer were also desired jobs in a survey of high school students.The Ministry of Education and Korea Vocational Training Center surveyed 51,494 students, teachers and parents at 1,200 schools from all over the country.","korean students school teacher ,parents at 200 schools ,job for korean students ,teacher topped the list ,korean students the education","['korean', 'the Education Ministry', 'the Ministry of Education', 'Korea Vocational Training Center']",29,"[ 0.          1.          1.         ... -0.52511913  0.37405518
  0.43170065]",Nam Kyung-don,National,12,2017,"parents at 200 schools ,surveyed 51 494 students teachers ,494 students teachers and parents ,korean students the education ministry ,school teacher topped the list","['korean', 'the Education Ministry', 'the Ministry of Education', 'Korea Vocational Training Center']",4,"[ 0.          1.          1.         ... -0.52511913  0.37405518
  0.43170065]"
2,2,2,[Best Brand] Spine therapist offers solution to gadgets-related back pain,"Mobile devices have become far more abundant in recent years, and so have a series of stress injuries on the neck and spine. A prolonged duration of the stress and lack of preventive measures can lead to other serious medical conditions, says Kim Dong-yeon, a spinal manipulation therapist and head of Well 206 Clinics in Seoul. Well 206 Clinics“A typical adult human skeleton consists of 206 bones, while joints form ...","Mobile devices have become far more abundant in recent years, and so have a series of stress injuries on the neck and spine. A prolonged duration of the stress and lack of preventive measures can lead to other serious medical conditions, says Kim Dong-yeon, a spinal manipulation therapist and head of Well 206 Clinics in Seoul. Well 206 Clinics“A typical adult human skeleton consists of 206 bones, while joints form the connections between the bones. Any damage to the joints or muscle around them can cause a lot of pain,” Kim said. Joint pain occurs as a result of a wide range of conditions, but in many cases the culprit can be an excessive use of smartphone, according to Kim In fact, it is now a common sight in South Korea to see children busy with smartphones and tablets for hours, which can cause repetitive strain injury to the spine as well as hand joints, Kim said. “Adolescent idiopathic scoliosis should be timely treated, which can affect a child‘s growth and decrease concentration in school. Manual therapy on spinal articulations is important to prevent growth plate injuries,” Kim said. Spinal manipulation modestly improves pain and function in acute low back pain, according to Kim. “The statistics of disease last year suggests that growth plate injuries were ranked fourth,” Kim said, suggesting that a timely intervention is crucial among children.By Bak Se-hwan","best brand spine therapist ,206 clinics in seoul ,spinal manipulation therapist ,seoul well 206 clinics ,well 206 clinics typical","['mobile', 'Kim Dong - yeon', 'well 206 Clinics', 'Seoul']",29,"[ 0.          0.          0.         ... -0.19508366  0.44065884
  0.36360326]",Bak Se-hwan,Social affairs,12,2017,"smartphones and tablets for hours ,spinal articulations is important ,clinics in seoul well 206 ,an excessive use of smartphone ,have series of stress injuries","['mobile', 'Kim Dong - yeon', 'well 206 Clinics', 'Seoul', 'Kim', 'Kim', 'South Korea', 'Kim', 'Kim', 'Kim', 'Kim', 'Bak Se - hwan']",10,"[ 0.          0.          0.         ... -0.19508366  0.44065884
  0.36360326]"
3,3,3,"1 in 10 primary, middle school students have curved spines","One out of every 10 students in primary or middle school in Korea suffer from scoliosis, Yonhap News Agency reported Wednesday. The Korea Unversity Guro Hospital orthopedic office conducted scoliosis examinations of 73,243 students -- 37,409 male students and 35,834 female students -- and found 7.55 percent of male and 13.28 percent of female students required treatment, as their spines had curved more than 5 degrees...","One out of every 10 students in primary or middle school in Korea suffer from scoliosis, Yonhap News Agency reported Wednesday. The Korea Unversity Guro Hospital orthopedic office conducted scoliosis examinations of 73,243 students -- 37,409 male students and 35,834 female students -- and found 7.55 percent of male and 13.28 percent of female students required treatment, as their spines had curved more than 5 degrees. Scoliosis is a medical condition that occurs when a person’s spine curves in S or C shape. If the curved spine is untreated, it can result in different heights of the left and right shoulders and protruding backbones. In severe cases, the ribs can press down on the pelvis and lung, interfering with breathing and digestion. Female students tend to have higher instances of curved spines than male students, as they have relatively weak and flexible ligaments and muscles, Dr. Seo Seung-woo told the news provider.By Park Ju-young","35 834 female students ,every 10 students in ,409 male students and ,834 female students ,834 female students and","['Korea', 'Yonhap News Agency', 'the Korea Unversity Guro Hospital']",29,[0.         0.         0.         ... 0.22862759 0.80014175 0.67340893],Park Ju-young,Social affairs,12,2017,"834 female students and found ,middle school in korea suffer ,and 35 834 female students ,wednesday the korea unversity guro ,out of every 10 students","['Korea', 'Yonhap News Agency', 'the Korea Unversity Guro Hospital', 'Seo Seung - woo', 'Park Ju - young']",8,[0.         0.         0.         ... 0.22862759 0.80014175 0.67340893]
4,4,4,How’s the tap water in Korea?,"While a majority of Koreans are content with tap water here, less than half of the population actually drinks it, a survey showed Monday. The Tap Water Public Relations Association and Citizen’s Network for Tap Water released the results of a joint survey.  (Yonhap)According to the survey of 12,196 adults, 92.6 percent of respondents said they are content with tap water, but only 49.4 percent actually drink it on a...","While a majority of Koreans are content with tap water here, less than half of the population actually drinks it, a survey showed Monday. The Tap Water Public Relations Association and Citizen’s Network for Tap Water released the results of a joint survey.  According to the survey of 12,196 adults, 92.6 percent of respondents said they are content with tap water, but only 49.4 percent actually drink it on a regular basis.Those who use water purifiers or mineral water bottles said the reason for opting out of tap water is down to safety. An official from Korea Water and Wastewater Works Association, which funded the survey, said, “Tap water is a human right for the people to maintain a healthy and safe life. With the survey, we will work on improving the quality of tap water.” By Im Eun-byel","majority of koreans are ,majority of koreans ,while majority of koreans ,49 percent actually drink ,196 adults 92 percent","['Koreans', 'the Tap Water Public Relations Association', 'Citizen ’s Network for Tap Water']",29,"[ 0.          0.          0.         ... -0.3978259   0.80405873
  0.11895134]",Im Eun-byel,Social affairs,12,2017,"majority of koreans are content ,only 49 percent actually drink ,monday the tap water public ,tap water but only 49 ,survey of 12 196 adults","['Koreans', 'the Tap Water Public Relations Association', 'Citizen ’s Network for Tap Water', 'Korea Water and Wastewater Works Association']",15,"[ 0.          0.          0.         ... -0.3978259   0.80405873
  0.11895134]"
5,5,5,"Men on paternity leave on steady rise, working hours down in 2016","More South Korean men are taking paternity leave nowadays, but their number still pales in comparison to that of women, data showed Friday.The data compiled by Statistics Korea showed that the number of male employees getting paternity leave came to 7,616 in 2016, up from 4,872 in 2015, 3,412 in 2014 and 1,402 in 2011.In comparison, the number of female workers that took maternity leave to care for their children sto...","More South Korean men are taking paternity leave nowadays, but their number still pales in comparison to that of women, data showed Friday.The data compiled by Statistics Korea showed that the number of male employees getting paternity leave came to 7,616 in 2016, up from 4,872 in 2015, 3,412 in 2014 and 1,402 in 2011.In comparison, the number of female workers that took maternity leave to care for their children stood at 82,179 in 2016, slightly down from 82,467 in 2015 but up from 73,412 in 2014 and 56,735 in 2011.The move illustrated the widespread perception in South Korea that women should take care of children. South Korea has been encouraging paternity leave, including turning the unpaid leave into paid leave in 2001, as part of its efforts to boost South Korea's low birthrate and ease the burden of child care.Childbirths in South Korea dropped to a record low last year despite decade-long efforts to tackle the country's chronically low birthrate.The number of babies born in 2016 reached 406,300, down 7.3 percent, or 32,100, from a year earlier, according to the data.The figure marked the lowest number of newborns since 1970, when the statistics agency started to compile such data.The statistics office said the ratio of employees who work in the same companies after either paternity or maternity leave came to 75.5 percent in 2015, down from 76.4 percent in 2014. But the 2015 reading is higher than the 71.2 percent in 2012 and the 67.6 percent in 2010.The ratio has been on the rise as South Korea has pushed to bring stay-at-home moms back to work in recent years.The statistics office said 46.3 percent of more than 5.51 million married women quit their jobs in 2016 due mainly to marriages, pregnancy and childbirth.South Korea's female labor participation is among the lowest in the world as many women leave work to take care of kids.The data showed that male employees worked an average 45.4 hours a week last year, down 36 minutes from a year earlier, with the corresponding figure for female workers being 39.7 hours, also down 42 minutes.The average working hours a month totaled 176.9 hours last year, down 14.3 hours from a decade ago, with workers' monthly overtime falling 4.4 hours to 12.7 hours, the data showed.","more south korean men ,women data showed friday ,male employees getting paternity ,2016 more south korean ,employees getting paternity leave","['south korean', 'Statistics Korea']",29,"[ 0.          0.          0.         ... -0.73224491  0.6368798
  0.08111331]",Yonhap,Social affairs,12,2017,"with workers monthly overtime falling ,51 million married women quit ,male employees getting paternity leave ,workers monthly overtime falling hours ,than 51 million married women","['south korean', 'Statistics Korea', 'South Korea', 'South Korea', ""South Korea 's"", 'childbirth', 'South Korea', 'South Korea', ""South Korea 's""]",12,"[ 0.          0.          0.         ... -0.73224491  0.6368798
  0.08111331]"
6,6,6,Why Arabic is so popular among South Korean students,"More than seven out of 10 Suneung test-takers chose Arabic as a second foreign language this year, a surprisingly high number given that the language is rarely taught in schools here. Students check the results of the Nov. 23 Suneung college entrance exam Tuesday. YonhapAccording to the Korea Institute for Curriculum and Evaluation, 73.5 percent, or 51,882, of students who sat for the second foreign language test in...","More than seven out of 10 Suneung test-takers chose Arabic as a second foreign language this year, a surprisingly high number given that the language is rarely taught in schools here. Students check the results of the Nov. 23 Suneung college entrance exam Tuesday. YonhapAccording to the Korea Institute for Curriculum and Evaluation, 73.5 percent, or 51,882, of students who sat for the second foreign language test in the annual multi-subject college entrance exam, chose Arabic among nine foreign languages available. The eight others are German, French, Spanish, Chinese, Japanese, Russian, Vietnamese and Classical Chinese. A second foreign language is one of the five subjects of Suneung, which is equivalent to the US’ SAT. Although it is not mandatory, some top tier universities require applicants to submit test scores in the subject.  The number of students choosing Arabic has been growing sharply since 2005 when the language was first introduced to the Suneung. In 2005, 531 students took the Arabic test, but the number rose sharply to 37,526, over half of the whole second language test-takers, in 2016 and finally over 51,800 this year. The popularity of Arabic, however, is unlikely a reflection of the young generation’s genuine interest in the language or the region. Rather, it is a strategic decision for students to score high and get an upper hand over other test-takers, experts say. “Students have found a way of cutting corners in the current assessment system of ,” Lim Sung-ho, head of Jongro Academy, one of the biggest hagwon chains here, told The Korea Herald. Since test scores are relatively determined by that of competitors, it incentivizes students to choose a less popular language in which there aren‘t many high performers as is in the case of more commonly taught languages such as Chinese and Japanese. Arabic is taught in just six high schools nationwide. “In Arabic, even those poorly-prepared students easily get levels 4 or 5 . If they put in just a little more effort, they are more likely to score well,” Lim said. Educations authorities are well aware of this. The Education Ministry announced in August a plan to revise the Suneung rules to adopt absolute grading in second foreign language tests. By Bak Se-hwan","college entrance exam tuesday ,among south korean students ,entrance exam tuesday yonhapaccording ,korean students more than ,exam tuesday yonhapaccording","['Suneung', 'Suneung', 'the Korea Institute for Curriculum and Evaluation']",29,"[ 0.          0.          0.         ... -0.0559865   0.4273814
  0.82282501]",Bak Se-hwan,Education,12,2017,"college entrance exam tuesday yonhapaccording ,531 students took the arabic ,college entrance exam tuesday ,suneung college entrance exam tuesday ,entrance exam tuesday yonhapaccording","['Suneung', 'Suneung', 'the Korea Institute for Curriculum and Evaluation', 'german', 'french', 'chinese', 'japanese', 'russian', 'vietnamese', 'Chinese', 'Suneung', 'US', 'SAT', 'Suneung', 'arabic', 'Lim Sung - ho', 'Jongro Academy', 'the Korea Herald', 'chinese', 'Japanese', 'Lim', 'the Education Ministry', 'Suneung', 'Bak Se - hwan']",4,"[ 0.          0.          0.         ... -0.0559865   0.4273814
  0.82282501]"
7,7,7,Koreans value life quality more than size of paycheck: survey,"Young Koreans are feeling the need for flexible working hours to balance their life with work, research agency Nielsen Korea said Monday.The agency conducted an online survey targeting 1,000 men and women between the ages 19 and 70 from Nov. 13-20, with the aim to understand the public sentiments toward flextime. Of the surveyed, 74 percent said they think flexible working hours would enhance their quality of life. T...","Young Koreans are feeling the need for flexible working hours to balance their life with work, research agency Nielsen Korea said Monday.The agency conducted an online survey targeting 1,000 men and women between the ages 19 and 70 from Nov. 13-20, with the aim to understand the public sentiments toward flextime. Of the surveyed, 74 percent said they think flexible working hours would enhance their quality of life. Those in their 20s and 30s felt the need more strongly than the older generation, with 80 percent and 78 percent from the respective age groups taking sides with flextime. When asked to choose between a company where the pay was proportional to the heavy workload, and a company where the salary was relatively low but after-work life was respected, 75.5 percent of the surveyed chose the latter. Further analysis on the respondents showed that their answers were not affected by their marital status, but that those with children preferred a balanced lifestyle more than those without. As for the efficacy of the flextime, 63 percent of the respondents believed it would boost productivity at work, while 30 percent were skeptical of the actual effect.  By Lim Jeong-yeo","paycheck survey young koreans ,koreans value life quality ,survey young koreans ,koreans value life ,survey targeting 000 men","['Koreans', 'Nielsen Korea']",29,"[ 0.          0.          0.         ... -0.61058861  0.59243655
  0.48404825]",Lim Jeong-yeo,Social affairs,12,2017,"online survey targeting 000 men ,koreans are feeling the need ,targeting 000 men and women ,an online survey targeting 000 ,survey targeting 000 men","['Koreans', 'Nielsen Korea', 'Lim Jeong - yeo']",4,"[ 0.          0.          0.         ... -0.61058861  0.59243655
  0.48404825]"
8,8,8,23 solicited recruitment cases at public firms referred to prosecutors,"Some 20 job favor cases at public firms were referred to state prosecutors, the country's finance ministry said Friday, adding that it will finalize its investigation of all recruitment cases at state firms by the end of the month.The ministry said it has also taken punitive and administration actions against 143 cases.In October, the government launched a probe of all state-funded firms to find out if any job favors...","Some 20 job favor cases at public firms were referred to state prosecutors, the country's finance ministry said Friday, adding that it will finalize its investigation of all recruitment cases at state firms by the end of the month.The ministry said it has also taken punitive and administration actions against 143 cases.In October, the government launched a probe of all state-funded firms to find out if any job favors were given to children of influential people in politics and business circles amid rising public anger over reports of illicit employment. Kangwon Land casino in Jeongseon, South Korea","prosecutors some 20 job ,23 solicited recruitment cases ,to prosecutors some 20 ,20 job favor cases ,prosecutors some 20",[],29,"[ 0.          0.          0.         ... -0.32104787  0.10413458
  0.53314888]",Yonhap,Social affairs,12,2017,"some 20 job favor cases ,october the government launched probe ,20 job favor cases at ,rising public anger over reports ,illicit employment kangwon land casino","['Kangwon Land', 'Jeongseon', 'South Korea']",18,"[ 0.          0.          0.         ... -0.32104787  0.10413458
  0.53314888]"
9,9,9,Over half of student nurses experienced sexual harassment while in training: poll,"More than half of student nurses experienced some form of sexual harassment while undergoing training at hospitals, a survey showed Friday.As many as 97 students, or 50.8 percent of the 191 surveyed, said they experienced unwanted attention, according to the survey carried out between May and June last year that was featured in the December edition of the Korean Journal of Women Health Nursing.The students reported 1...","More than half of student nurses experienced some form of sexual harassment while undergoing training at hospitals, a survey showed Friday.As many as 97 students, or 50.8 percent of the 191 surveyed, said they experienced unwanted attention, according to the survey carried out between May and June last year that was featured in the December edition of the Korean Journal of Women Health Nursing.The students reported 147 harassment cases such as intentional blocking of passage, overt gazes, hugging and other forms of unwanted physical contact.Also reported were 72 verbal and 55 visual harassment cases.Verbal harassment included obscene jokes, conversations and phone calls, while visual harassment centered on staring at parts of their body.  They also reported 46 cases of gender-role-related harassment such as forcing them to sit next to someone regardless of their preferences.About 71.1 percent of victims said they were harassed more than twice, with 93.8 percent or 91 assailants being patients and 6.2 percent or 6 being their guardians.By age, those in their 40s and 50s accounted for 77.4 percent of harassment cases.About 84.5 percent or 82 victims of the sexual harassment, however, did not take any action against the perpetrators, while only 15.5 percent said they lodged a complaint.The reason why they did not respond was that they did not know what to do , they felt they would not be able to get help , they did not have the courage to respond  and they were afraid of retaliation by those they reported on .","half of student nurses ,nurses experienced sexual harassment ,student nurses experienced sexual ,student nurses experienced some ,of student nurses experienced",['the Korean Journal of Women Health Nursing'],29,"[ 0.          0.          0.         ... -0.5897581   0.24784839
  0.47320893]",Yonhap,Social affairs,12,2017,"students reported 147 harassment cases ,the students reported 147 harassment ,half of student nurses experienced ,students reported 147 harassment ,nursing the students reported 147","['the Korean Journal of Women Health Nursing', 'verbal']",8,"[ 0.          0.          0.         ... -0.5897581   0.24784839
  0.47320893]"
